dataID	context	indices_target_token	indices_target_sentence	lemma
1021	Advanced users can build sophisticated search criteria with multiple keywords joined by Boolean operators, but most users just enter a single word or, perhaps, a two- to three-word phrase. The search engine then scans its index looking for Web pages that match the visitor 's search criteria and returns a list of matching pages , usually ordered by relevance . The challenge for a Web builder seeking to drive traffic to a site is to anticipate what keywords potential visitors will use to search for sites on a given topic and then engineer the Web pages to get the highest possible relevance ranking in the search engine for those keywords.	339:347	189:361	order.v
1022	Angas &amp; Moore Streets, Adelaide Tickets $ 20 Adults, $ 16 Conc Discounts available for group bookings over 10 For tickets phone ph. 8396 4748 Tickets can be ordered through Allison at CONCESSION PRICE of $ 16 . Simply fill out the form in the Studio hallway.	161:169	136:214	order.v
1023	She did n't notice a pair of toffee eyes watching her; fear and confusion disguised with interest; at first darting around the room, searching for a remembered enemy, then calmer trying to remember a familiar place. The first time Beverly saw those eyes was after the majority of her patients had been sent away to their quarters and ordered to rest . Only then did she look through the glass door into the High Dependency Unit and see Julian watching her.	334:342	216:351	order.v
1024	Judging is concerned with organising and processing information. Thus , people who prefer this mental process for receiving information about the world , like to plan and organise , as they order and regulate events. iNtuiting involves going beyond the information provided by the senses to discover possibilities which might not be immediately obvious from sensory data . Thus, people who prefer this form of perceiving have a preference for focusing on theoretical issues and hidden patterns of meaning.	190:196	65:372	order.v
1025	A man sent to collect the corpses reported to the hospital the only living thing he found in the area was a hen. Iraqi bomb disposal officers were ordered into the villages yesterday afternoon to clear the unexploded ordnance . Needless to say, it is not the first time cluster bombs have been used against civilians.	147:155	113:227	order.v
1026	""" Organization helps us enhance our capabilities. If we order our lives well , and carefully manage those placed in our charge , our churches will shine brightly , as lights set on a hill . "" Decisionmaking is easy when values are clear."	56:62	50:189	order.v
1027	Because of the wide variety of names most of our items are available in, we typically do not have large quantities of the same item. If you are ordering several of one item , please allow us enough time to compile the order . If we are out of stock of a particular item, you will receive an e-mail notification telling you of an approximate shipping time.	144:153	133:225	order.v
1028	""" The President justified his actions by declaring that the United States must become the "" arsenal of democracy. "" In the summer of 1941 , Roosevelt ordered the Navy to escort merchant convoys as far as Iceland . This order resulted in an undeclared war between American destroyers and German submarines, and led to the sinking of the destroyer Reuben James by the Germans on 31 October 1941."	150:158	114:213	order.v
1029	The discoveries of the Rainbow Bridge-Monument Valley expeditions also helped add to the advance of archeological knowledge in the region. With the methods to date and order the prehistoric past , archeologists could use data to systematically categorize the past . Accurate chronological sequencing was developed, and the addition of information from the surveys gave a broad-based picture of the level of technology, the nature of trade, and many other aspects of prehistoric life.	168:174	139:265	order.v
1030	Telephone tapping Bugging homes N Use of technical aids to monitor living accomodations for law enforcement purposes is possible in specified cases. This must be ordered by the criminal court division located where the competent public prosecutor has his seat . In the case of imminent danger, the presiding judge can issue the order.	162:170	149:261	order.v
1531	Care Pack services provide a range of life cycle support options that let you choose the service levels that meet your business requirements, from basic to mission-critical. A full range of HP Care Pack hardware and software services are available including : Installation and start up Education courses Extended onsite hardware coverage hours from Next Business Day to 24 hours a day , 7 days a week with options including 4-hour response or 6-hour Call To Repair Comprehensive range of software technical support for Microsoft and Linux-based IT solutions helping to deliver high level of application availability . Response times range from 30 mins for critical problems to 2 hours.	181:187	174:617	range.n
1532	"Just make sure it does n't come at the expense of making your daughters and wives uncomfortable with a typically male sport like shooting. The guy down the range gave his son something smaller than he had been shooting ( I did n't ever go look at it ) and his kid responded , "" I do n't want to shoot those girly bullets . "" First, they are cartridges or ammunition, not bullets."	156:162	139:322	range.n
1533	These are being replaced with the electrically driven Mk 8 Mod 1. In 2001, HMS Norfolk was the first ship to be fitted with the new gun. Both Mod 0 and Mod 1 guns have the capability to fire the new High Explosive Extended Range ammunition developed by RO Defence , which extends the surface range to 27km . HMS Richmond was the first RN vessel to receive the HE ER round in April 2004.	292:298	137:307	range.n
1534	Although it is not necessary to have been raised bilingual to succeed, many interpreters and translators grew up speaking two languages. In high school , students can prepare for these careers by taking a broad range of courses that include English writing and comprehension , foreign languages , and basic computer proficiency . Other helpful pursuits include spending time abroad, engaging in comparable forms of direct contact with foreign cultures, and reading extensively on a variety of subjects in English and at least one other language.	211:217	137:329	range.n
1535	Thus, the restriction on disk targets is minor since the effect of a disk partition target can be achieved under pgmeter by specifying as the file name to the pgmeter command the block device name of an entire partition. Also not implemented in pgmeter are a wide range of features supported by Iometer , including , a graphical configuration user interface , the ability to create , modify and save configuration files , and a fully graphical display of results . ( For our purposes under Linux, we have found ÂviÂ to be an acceptable substitute for the graphical configuration interface of Iometer, since in most cases we are simply modifying an existing.icf file. )	264:270	221:464	range.n
1536	) She even told us to take the portable phone to her if she was using the restroom and received a call! She had two small dogs that peed on everything , and had free range of the office and clients ' portfolios . But, her home office hell turned on her one day during an important meeting.	166:172	104:212	range.n
1537	Remember, the less information you provide here, the larger your results will be. First , choose a date range for your search . Enter the dates in any standard date format ( mm/dd/yyyy, mm-dd-yyyy, etc.	104:110	82:127	range.n
1538	"Conservationists and the U.S. Air Force have signed a truce in the decade-long war over the fate of Idaho 's Owyhee plateau. A variety of outdoor and environmental groups hammered out an agreement in July with the Air Force , which has used the fragile canyonlands-home to elk , deer , and bighorn sheep , and beloved by river rafters-as a bombing range . Roger Singer, conservation coordinator for the Middle Snake Group and the Sierra Club 's representative in the talks, says the settlement "" puts real, court-enforceable limitations on the Air Force 's maneuverings in the air above nearly 2 million acres of public land, and on ground-disturbing activities affecting wildlife and recreation."	348:354	125:355	range.n
1539	""" Forum on Children and Violence Â£15,000 over three years ( Â£6,000, Â£5,000 and Â£4,000 ) towards the core costs of the Forum. "" The Forum on Children and Violence is a membership organisation bringing together a wide range of people committed to the goal of creating a nonviolent society . The focus is on children because research shows that what happens in the early years lies at the root of violent behaviour."	220:226	129:292	range.n
1540	Back in 1990 when TidBITS was born, internet users were a small and elite subset of Mac users, who were themselves a small and elite subset of computer users. TidBITS was a way for this rarefied group of people to get the information they needed on a very narrow range of topics . Because the subscribers who originally made up the TidBITS audience were mostly academics and programmers, they tended to be very intelligent and have a low tolerance for fluff, so the publication&amp;#8217;s focus and style were tailored to this group&amp;#8217;s expectations.	263:269	159:280	range.n
1851	They ran in all directions and some of them jumped into the water of the channel. The Panther fired at the bridge and hit a truck . More Panthers suddenly came out of the blue and they fired at the houses on the other side of the channel.	94:100	82:131	fire.v
1852	The cymeks, oblivious to the trap, charged after their prey, smashing salty encrustations, pursuing the natives into the reeking mists. They shot more blobs of gelfire , fired explosive projectiles . Another daring man died, his chest blasted into a smoking crater.	170:176	136:199	fire.v
1853	Why did you leave? Stern : I was fired from the Avengers , and with the exception of Jim Salicrup , no Marvel editor would return my calls . Jim very kindly offered me a Spider-Man assignment, but Peter Parker had just gotten married to Mary Jane Watson, which was -- I thought then, and still do - just a terrible move that ignored every good thing that had been developed for both characters.	33:39	19:140	fire.v
1854	During the first four months of that year, 5,370 railroad workers were laid off in the Black Sea port of Odessa. At least eight other railroad systems followed suit , bringing the total of railroad workers fired to more than 200,000 in 1986 alone . In November 1987, the Communist Party paper announced another round of 60,000 layoffs of government employees in Moscow in 1988 and 1989.	206:212	113:248	fire.v
1855	Threaten forceful occupation IDEA event forms are not bound to actors so references to military actors in MID need to be filtered in a post coding procedure. Threat to use force Threat by one state to use its regular armed forces to fire upon the armed forces or violate the territory of another state . Threaten forceful attack IDEA event forms are not bound to actors so references to military actors in MID need to be filtered in a post coding procedure.	233:238	158:303	fire.v
1856	Click here for a summary of this incident. At the Cincinatti Enquirer , reporter Mike Gallagher was fired for stealing voice mail messages in the course of writing a piece on the Chiquita Banana company , aided , it seems , by an employee of the company . The Enquirer has run an apology to the company on its front page.	100:106	43:255	fire.v
1857	The second thing that practice does is to teach a person to know when he needs a better rest. Centerfire rifles can be accurately fired to great distances , but the greater the distance , the steadier the rifle must be during the aiming . The bottom line is that you need to learn to evaluate whether your rest is up to the shot before you fire.	130:136	94:238	fire.v
1858	"Also of particular interest are events surrounding the controversial phrase "" axis of evil "": Frum helps coin it, his wife boasts of that fact in an e-mail to friends, the e-mail is widely forwarded, and, soon after, Frum resigns. While both he and the White House deny he was fired , Frum is so insistent on the fact that he quit on his own that it really makes you wonder . The Right Man is a multifaceted glimpse at the life of a White House insider and a president in a time of crisis; it should appeal to readers curious to learn about the inner workings of the American presidency."	277:283	231:375	fire.v
1859	The bolt can only travel 9 cm as it 's still attached to the pistol. Cattle to be killed are driven single file into a roofless metal box one at a time , the pistol is placed against their forehead and the bolt fired into their brain . Done properly the animal will immediately lose consciousness but often it is n't done properly.	211:217	69:235	fire.v
1860	A very good rundown of the events, especially not having all of the facts thanks to the ASP. Don 's second caller was purportedly a former neighbor of Tropper Norman , the office that fired the shot that killed Erin Hamley. he said that Norman is a good guy and has to be going through hell right now . I do n't doubt either of those things, nor am I assigning any dark motives to the officer.	184:190	93:302	fire.v
1641	In diastolic dysfunction, the heart is stiff and does not relax normally after contracting. Even though it may be able to pump a normal amount of blood out of the ventricles , the stiff heart does not allow as much blood to enter its chambers from the veins . As in systolic dysfunction, the blood returning to the heart then accumulates in the veins.	180:186	92:259	stiff.a
1642	If this analysis is confusing, let me explain. The classic symptom of a shaft that is too stiff is a low fade . A good player should be able to produce a draw at an appropriate trajectory.	90:96	47:111	stiff.a
1643	He knew the rapidity with which Youth recovered, and he knew that Sandel was his if he could prevent that recovery. One stiff punch would do it . Sandel was his, indubitably his.	120:126	116:145	stiff.a
1644	"The salary level of EU officials Pension and sickness insurance Maximum pension of 70 % of salary Sickness insurance with individual contribution of between 15 % and 20 % Leave and secondment Leave on personal grounds Secondment in the interest of the service Hours of work: fixed or flexi-time Right of association: Staff Committee and unions Sport and culture Supranational salaries - What is different? The employer must also be a "" substitute state "" In times of increasing globalisation , the Commission faces stiff competition from other international businesses and organisations for the best people on the world job market . An attractive salary is a major factor in helping to secure the highly qualified staff needed to put the European ideal into practice."	515:521	406:632	stiff.a
1645	What makes them so special? CHARLES UMBENHAUER , ABATE OF PENNSYLVANIA RACING CHAMPION STOPPED BY STIFF NECK Former world champion racecar driver Michael Schumacher had to abandon testing of Ferrari 's new Formula One car recently in Fiorano , Italy , because of a stiff neck after just four laps . According to a REUTERS news release dated February 10, 2000, Schumacher was testing the F1-2000 car for the first time, and said afterwards he had been bothered by feeling gusts of wind coming in under his helmet.	265:271	28:298	stiff.a
1646	"New York Post And as this marriage goes, that will go as bliss. "" He told me he was stiff , he said go to Jamal ( Crawford ) , "" Brown said yesterday after the Knicks ' optional practice in Greenburgh . "" I 've said the same thing for four days now."	84:90	64:202	stiff.a
1647	"And, although he 's gone now, his memory and his art remain to inspire us. "" In 1968 when originally commissioned to do a cigarstore Indian , he rejected the stiff image of the adorned and phony native and carved "" Blue Nose , "" replica of a Delaware Indian . "" Blue Nose, "" is now part of the permanent collection of the Reading Public Museum &amp; Art Gallery, Reading, PA."	158:164	75:259	stiff.a
1648	Stiffer penalties for virus writers are not the answer.  Stiffer penalties for virus writers--no matter how tempting they seem right now--are not the answer . We 've had no major viruses for a year, which Attorney General John Ashcroft and others ascribe to the stiffer penalties imposed after 9/11.	57:65	56:158	stiff.a
1649	"The presto is a 16 "" wheeled three speed compact folder. It 's aluminium frame delivers a a stiff and responsive ride which gives it the feel of a performance rather than a recreational folder . It 's faster than you might imagine, so if you 're a bit of a hardcore rider but need a nifty commuter then this is the one!"	92:98	57:194	stiff.a
1650	We want to keep DDS open and dynamic. At this stage there is fairly stiff pressure to go the commercial way . We will do that to some extent, by allowing some room for advertisements.	68:74	38:109	stiff.a
1151	"Buy it here. Peter Vardy The Puzzle of Ethics ( Fount - HarperCollins ISBN 0 00 627701 2 ) Vardy gives a readable account of the major theories and asks some probing questions without displaying any religous bias . Stephen Law The Philosophy Gym: 25 Short Adventures in Thinking ( Headline ) "" A vivid,enlightening introduction to clear thinking "" Philip Pullman Buy it here Mary Warnock An Intelligent Person 's Guide to Ethics ( Duckworth, ISBN 0 7156 2841 0 ) Clearly written, humanist in outlook ( though it never mentions the word ), and an excellent introduction to the subject, well suited to sixth formers."	114:122	13:214	account.n
