senseID	definition	lemma
account%1:07:00::	the quality of taking advantage	account.n
account%1:07:01::	importance or value	account.n
account%1:10:00::	a record or narrative description of past events	account.n
account%1:10:02::	an itemized statement of money owed for goods shipped or services rendered	account.n
account%1:10:03::	a short account of the news	account.n
account%1:10:04::	a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.	account.n
account%1:10:05::	the act of informing by verbal report	account.n
account%1:16:00::	grounds	account.n
account%1:21:02::	a statement of recent transactions and the resulting balance	account.n
account%1:26:00::	a formal contractual relationship established to provide for regular banking or brokerage or business services	account.n
