instanceID	label	comment	annotator
1-bright%3:00:00::	0	-	C
1-bright%3:00:02::	0	-	C
1-bright%5:00:00:auspicious:00	1	-	C
1-bright%5:00:00:colorful:00	0	-	C
1-bright%5:00:00:glorious:00	0	-	C
1-bright%5:00:00:happy:00	0	-	C
1-bright%5:00:00:intelligent:00	1	-	C
1-bright%5:00:00:light:06	0	-	C
1-bright%5:00:00:polished:00	0	-	C
1-bright%5:00:00:reverberant:00	0	-	C
2-bright%3:00:00::	1	-	C
2-bright%3:00:02::	0	-	C
2-bright%5:00:00:auspicious:00	0	-	C
2-bright%5:00:00:colorful:00	0	-	C
2-bright%5:00:00:glorious:00	0	-	C
2-bright%5:00:00:happy:00	0	-	C
2-bright%5:00:00:intelligent:00	0	-	C
2-bright%5:00:00:light:06	1	-	C
2-bright%5:00:00:polished:00	0	-	C
2-bright%5:00:00:reverberant:00	0	-	C
3-bright%3:00:00::	0	-	C
3-bright%3:00:02::	0	-	C
3-bright%5:00:00:auspicious:00	0	-	C
3-bright%5:00:00:colorful:00	0	-	C
3-bright%5:00:00:glorious:00	0	-	C
3-bright%5:00:00:happy:00	1	-	C
3-bright%5:00:00:intelligent:00	0	-	C
3-bright%5:00:00:light:06	0	-	C
3-bright%5:00:00:polished:00	0	-	C
3-bright%5:00:00:reverberant:00	0	-	C
4-bright%3:00:00::	0	-	C
4-bright%3:00:02::	0	-	C
4-bright%5:00:00:auspicious:00	1	-	C
4-bright%5:00:00:colorful:00	0	-	C
4-bright%5:00:00:glorious:00	0	-	C
4-bright%5:00:00:happy:00	0	-	C
4-bright%5:00:00:intelligent:00	1	-	C
4-bright%5:00:00:light:06	0	-	C
4-bright%5:00:00:polished:00	0	-	C
4-bright%5:00:00:reverberant:00	0	-	C
5-bright%3:00:00::	0	-	C
5-bright%3:00:02::	0	-	C
5-bright%5:00:00:auspicious:00	1	-	C
5-bright%5:00:00:colorful:00	0	-	C
5-bright%5:00:00:glorious:00	0	-	C
5-bright%5:00:00:happy:00	0	-	C
5-bright%5:00:00:intelligent:00	1	-	C
5-bright%5:00:00:light:06	0	-	C
5-bright%5:00:00:polished:00	0	-	C
5-bright%5:00:00:reverberant:00	0	-	C
6-bright%3:00:00::	0	-	C
6-bright%3:00:02::	0	-	C
6-bright%5:00:00:auspicious:00	1	-	C
6-bright%5:00:00:colorful:00	0	-	C
6-bright%5:00:00:glorious:00	0	-	C
6-bright%5:00:00:happy:00	0	-	C
6-bright%5:00:00:intelligent:00	0	-	C
6-bright%5:00:00:light:06	0	-	C
6-bright%5:00:00:polished:00	0	-	C
6-bright%5:00:00:reverberant:00	0	-	C
7-bright%3:00:00::	0	-	C
7-bright%3:00:02::	0	-	C
7-bright%5:00:00:auspicious:00	1	-	C
7-bright%5:00:00:colorful:00	0	-	C
7-bright%5:00:00:glorious:00	0	-	C
7-bright%5:00:00:happy:00	0	-	C
7-bright%5:00:00:intelligent:00	0	-	C
7-bright%5:00:00:light:06	0	-	C
7-bright%5:00:00:polished:00	0	-	C
7-bright%5:00:00:reverberant:00	0	-	C
8-bright%3:00:00::	0	-	C
8-bright%3:00:02::	0	-	C
8-bright%5:00:00:auspicious:00	0	-	C
8-bright%5:00:00:colorful:00	1	-	C
8-bright%5:00:00:glorious:00	0	-	C
8-bright%5:00:00:happy:00	0	-	C
8-bright%5:00:00:intelligent:00	0	-	C
8-bright%5:00:00:light:06	0	-	C
8-bright%5:00:00:polished:00	0	-	C
