instanceID	dataIDs	label_set	non_label
391-coach%1:06:00::	391,coach%1:06:00::	1,0	-
391-coach%1:06:01::	391,coach%1:06:01::	1,0	-
391-coach%1:06:02::	391,coach%1:06:02::	1,0	-
391-coach%1:18:00::	391,coach%1:18:00::	1,0	-
391-coach%1:18:01::	391,coach%1:18:01::	1,0	-
392-coach%1:06:00::	392,coach%1:06:00::	1,0	-
392-coach%1:06:01::	392,coach%1:06:01::	1,0	-
392-coach%1:06:02::	392,coach%1:06:02::	1,0	-
392-coach%1:18:00::	392,coach%1:18:00::	1,0	-
392-coach%1:18:01::	392,coach%1:18:01::	1,0	-
393-coach%1:06:00::	393,coach%1:06:00::	1,0	-
393-coach%1:06:01::	393,coach%1:06:01::	1,0	-
393-coach%1:06:02::	393,coach%1:06:02::	1,0	-
393-coach%1:18:00::	393,coach%1:18:00::	1,0	-
393-coach%1:18:01::	393,coach%1:18:01::	1,0	-
394-coach%1:06:00::	394,coach%1:06:00::	1,0	-
394-coach%1:06:01::	394,coach%1:06:01::	1,0	-
394-coach%1:06:02::	394,coach%1:06:02::	1,0	-
394-coach%1:18:00::	394,coach%1:18:00::	1,0	-
394-coach%1:18:01::	394,coach%1:18:01::	1,0	-
395-coach%1:06:00::	395,coach%1:06:00::	1,0	-
395-coach%1:06:01::	395,coach%1:06:01::	1,0	-
395-coach%1:06:02::	395,coach%1:06:02::	1,0	-
395-coach%1:18:00::	395,coach%1:18:00::	1,0	-
395-coach%1:18:01::	395,coach%1:18:01::	1,0	-
396-coach%1:06:00::	396,coach%1:06:00::	1,0	-
396-coach%1:06:01::	396,coach%1:06:01::	1,0	-
396-coach%1:06:02::	396,coach%1:06:02::	1,0	-
396-coach%1:18:00::	396,coach%1:18:00::	1,0	-
396-coach%1:18:01::	396,coach%1:18:01::	1,0	-
397-coach%1:06:00::	397,coach%1:06:00::	1,0	-
397-coach%1:06:01::	397,coach%1:06:01::	1,0	-
397-coach%1:06:02::	397,coach%1:06:02::	1,0	-
397-coach%1:18:00::	397,coach%1:18:00::	1,0	-
397-coach%1:18:01::	397,coach%1:18:01::	1,0	-
398-coach%1:06:00::	398,coach%1:06:00::	1,0	-
398-coach%1:06:01::	398,coach%1:06:01::	1,0	-
398-coach%1:06:02::	398,coach%1:06:02::	1,0	-
398-coach%1:18:00::	398,coach%1:18:00::	1,0	-
398-coach%1:18:01::	398,coach%1:18:01::	1,0	-
399-coach%1:06:00::	399,coach%1:06:00::	1,0	-
399-coach%1:06:01::	399,coach%1:06:01::	1,0	-
399-coach%1:06:02::	399,coach%1:06:02::	1,0	-
399-coach%1:18:00::	399,coach%1:18:00::	1,0	-
399-coach%1:18:01::	399,coach%1:18:01::	1,0	-
400-coach%1:06:00::	400,coach%1:06:00::	1,0	-
400-coach%1:06:01::	400,coach%1:06:01::	1,0	-
400-coach%1:06:02::	400,coach%1:06:02::	1,0	-
400-coach%1:18:00::	400,coach%1:18:00::	1,0	-
400-coach%1:18:01::	400,coach%1:18:01::	1,0	-
