instanceID	label	comment	annotator
391-coach%1:06:00::	1	-	C
391-coach%1:06:01::	0	-	C
391-coach%1:06:02::	0	-	C
391-coach%1:18:00::	0	-	C
391-coach%1:18:01::	0	-	C
392-coach%1:06:00::	0	-	C
392-coach%1:06:01::	0	-	C
392-coach%1:06:02::	0	-	C
392-coach%1:18:00::	0	-	C
392-coach%1:18:01::	1	-	C
393-coach%1:06:00::	0	-	C
393-coach%1:06:01::	0	-	C
393-coach%1:06:02::	0	-	C
393-coach%1:18:00::	1	-	C
393-coach%1:18:01::	0	-	C
394-coach%1:06:00::	0	-	C
394-coach%1:06:01::	0	-	C
394-coach%1:06:02::	0	-	C
394-coach%1:18:00::	1	-	C
394-coach%1:18:01::	0	-	C
395-coach%1:06:00::	0	-	C
395-coach%1:06:01::	0	-	C
395-coach%1:06:02::	0	-	C
395-coach%1:18:00::	0	-	C
395-coach%1:18:01::	1	-	C
396-coach%1:06:00::	0	-	C
396-coach%1:06:01::	0	-	C
396-coach%1:06:02::	1	-	C
396-coach%1:18:00::	0	-	C
396-coach%1:18:01::	0	-	C
397-coach%1:06:00::	0	-	C
397-coach%1:06:01::	0	-	C
397-coach%1:06:02::	1	-	C
397-coach%1:18:00::	0	-	C
397-coach%1:18:01::	0	-	C
398-coach%1:06:00::	0	-	C
398-coach%1:06:01::	1	-	C
398-coach%1:06:02::	0	-	C
398-coach%1:18:00::	0	-	C
398-coach%1:18:01::	0	-	C
399-coach%1:06:00::	0	-	C
399-coach%1:06:01::	0	-	C
399-coach%1:06:02::	1	-	C
399-coach%1:18:00::	0	-	C
399-coach%1:18:01::	0	-	C
400-coach%1:06:00::	0	-	C
400-coach%1:06:01::	0	-	C
400-coach%1:06:02::	0	-	C
400-coach%1:18:00::	1	-	C
400-coach%1:18:01::	0	-	C
391-coach%1:06:00::	1	-	A
391-coach%1:06:01::	0	-	A
391-coach%1:06:02::	0	-	A
391-coach%1:18:00::	0	-	A
391-coach%1:18:01::	0	-	A
392-coach%1:06:00::	0	-	A
392-coach%1:06:01::	0	-	A
392-coach%1:06:02::	0	-	A
392-coach%1:18:00::	0	-	A
392-coach%1:18:01::	1	-	A
393-coach%1:06:00::	0	-	A
393-coach%1:06:01::	0	-	A
393-coach%1:06:02::	0	-	A
393-coach%1:18:00::	1	-	A
393-coach%1:18:01::	0	-	A
394-coach%1:06:00::	0	-	A
394-coach%1:06:01::	0	-	A
394-coach%1:06:02::	0	-	A
394-coach%1:18:00::	1	-	A
394-coach%1:18:01::	0	-	A
395-coach%1:06:00::	0	-	A
395-coach%1:06:01::	0	-	A
395-coach%1:06:02::	0	-	A
395-coach%1:18:00::	0	-	A
395-coach%1:18:01::	1	-	A
396-coach%1:06:00::	0	-	A
396-coach%1:06:01::	0	-	A
396-coach%1:06:02::	1	-	A
396-coach%1:18:00::	0	-	A
396-coach%1:18:01::	0	-	A
397-coach%1:06:00::	0	-	A
397-coach%1:06:01::	0	-	A
397-coach%1:06:02::	1	-	A
397-coach%1:18:00::	0	-	A
397-coach%1:18:01::	0	-	A
398-coach%1:06:00::	0	-	A
398-coach%1:06:01::	1	-	A
398-coach%1:06:02::	0	-	A
398-coach%1:18:00::	0	-	A
398-coach%1:18:01::	0	-	A
399-coach%1:06:00::	0	-	A
399-coach%1:06:01::	0	-	A
399-coach%1:06:02::	1	-	A
399-coach%1:18:00::	0	-	A
399-coach%1:18:01::	0	-	A
400-coach%1:06:00::	0	-	A
400-coach%1:06:01::	0	-	A
400-coach%1:06:02::	0	-	A
400-coach%1:18:00::	1	-	A
400-coach%1:18:01::	0	-	A
391-coach%1:06:00::	1	-	F
391-coach%1:06:01::	0	-	F
391-coach%1:06:02::	0	-	F
391-coach%1:18:00::	0	-	F
391-coach%1:18:01::	0	-	F
392-coach%1:06:00::	0	-	F
392-coach%1:06:01::	0	-	F
392-coach%1:06:02::	0	-	F
392-coach%1:18:00::	0	-	F
392-coach%1:18:01::	1	-	F
393-coach%1:06:00::	0	-	F
393-coach%1:06:01::	0	-	F
393-coach%1:06:02::	0	-	F
393-coach%1:18:00::	1	-	F
393-coach%1:18:01::	1	-	F
394-coach%1:06:00::	0	-	F
394-coach%1:06:01::	0	-	F
394-coach%1:06:02::	0	-	F
394-coach%1:18:00::	1	-	F
394-coach%1:18:01::	0	-	F
395-coach%1:06:00::	0	-	F
395-coach%1:06:01::	0	-	F
395-coach%1:06:02::	0	-	F
395-coach%1:18:00::	0	-	F
395-coach%1:18:01::	1	-	F
396-coach%1:06:00::	0	-	F
396-coach%1:06:01::	0	-	F
396-coach%1:06:02::	1	-	F
396-coach%1:18:00::	0	-	F
396-coach%1:18:01::	0	-	F
397-coach%1:06:00::	0	-	F
397-coach%1:06:01::	0	-	F
397-coach%1:06:02::	1	-	F
397-coach%1:18:00::	0	-	F
397-coach%1:18:01::	0	-	F
398-coach%1:06:00::	0	-	F
398-coach%1:06:01::	1	-	F
398-coach%1:06:02::	0	-	F
398-coach%1:18:00::	0	-	F
398-coach%1:18:01::	0	-	F
399-coach%1:06:00::	0	-	F
399-coach%1:06:01::	0	-	F
399-coach%1:06:02::	1	-	F
399-coach%1:18:00::	0	-	F
399-coach%1:18:01::	0	-	F
400-coach%1:06:00::	0	-	F
400-coach%1:06:01::	0	-	F
400-coach%1:06:02::	0	-	F
400-coach%1:18:00::	1	-	F
400-coach%1:18:01::	0	-	F
391-coach%1:06:00::	1	-	G
391-coach%1:06:01::	0	-	G
391-coach%1:06:02::	0	-	G
391-coach%1:18:00::	0	-	G
391-coach%1:18:01::	0	-	G
392-coach%1:06:00::	0	-	G
392-coach%1:06:01::	0	-	G
392-coach%1:06:02::	0	-	G
392-coach%1:18:00::	1	-	G
392-coach%1:18:01::	0	-	G
393-coach%1:06:00::	0	-	G
393-coach%1:06:01::	0	-	G
393-coach%1:06:02::	0	-	G
393-coach%1:18:00::	0	-	G
393-coach%1:18:01::	1	-	G
394-coach%1:06:00::	0	-	G
394-coach%1:06:01::	0	-	G
394-coach%1:06:02::	0	-	G
394-coach%1:18:00::	1	-	G
394-coach%1:18:01::	1	-	G
395-coach%1:06:00::	0	-	G
395-coach%1:06:01::	0	-	G
395-coach%1:06:02::	0	-	G
395-coach%1:18:00::	0	-	G
395-coach%1:18:01::	1	-	G
396-coach%1:06:00::	0	-	G
396-coach%1:06:01::	0	-	G
396-coach%1:06:02::	1	-	G
396-coach%1:18:00::	0	-	G
396-coach%1:18:01::	0	-	G
397-coach%1:06:00::	0	-	G
397-coach%1:06:01::	0	-	G
397-coach%1:06:02::	1	-	G
397-coach%1:18:00::	0	-	G
397-coach%1:18:01::	0	-	G
398-coach%1:06:00::	0	-	G
398-coach%1:06:01::	1	-	G
398-coach%1:06:02::	0	-	G
398-coach%1:18:00::	0	-	G
398-coach%1:18:01::	0	-	G
399-coach%1:06:00::	0	-	G
399-coach%1:06:01::	0	-	G
399-coach%1:06:02::	1	-	G
399-coach%1:18:00::	0	-	G
399-coach%1:18:01::	0	-	G
400-coach%1:06:00::	0	-	G
400-coach%1:06:01::	0	-	G
400-coach%1:06:02::	0	-	G
400-coach%1:18:00::	1	-	G
400-coach%1:18:01::	1	-	G
391-coach%1:06:00::	1	-	D
