instanceID	label	comment	annotator
901-dismiss%2:30:09::	0	-	C
901-dismiss%2:32:00::	0	-	C
901-dismiss%2:32:01::	0	-	C
901-dismiss%2:32:02::	0	-	C
901-dismiss%2:41:00::	1	-	C
901-dismiss%2:41:01::	0	-	C
902-dismiss%2:30:09::	0	-	C
902-dismiss%2:32:00::	1	-	C
902-dismiss%2:32:01::	0	-	C
902-dismiss%2:32:02::	0	-	C
902-dismiss%2:41:00::	0	-	C
902-dismiss%2:41:01::	0	-	C
903-dismiss%2:30:09::	0	-	C
903-dismiss%2:32:00::	0	-	C
903-dismiss%2:32:01::	1	-	C
903-dismiss%2:32:02::	0	-	C
903-dismiss%2:41:00::	0	-	C
903-dismiss%2:41:01::	0	-	C
904-dismiss%2:30:09::	0	-	C
904-dismiss%2:32:00::	0	-	C
904-dismiss%2:32:01::	0	-	C
904-dismiss%2:32:02::	0	-	C
904-dismiss%2:41:00::	1	-	C
904-dismiss%2:41:01::	0	-	C
905-dismiss%2:30:09::	0	-	C
905-dismiss%2:32:00::	1	-	C
905-dismiss%2:32:01::	0	-	C
905-dismiss%2:32:02::	0	-	C
905-dismiss%2:41:00::	0	-	C
905-dismiss%2:41:01::	0	-	C
906-dismiss%2:30:09::	0	-	C
906-dismiss%2:32:00::	1	-	C
906-dismiss%2:32:01::	0	-	C
906-dismiss%2:32:02::	0	-	C
906-dismiss%2:41:00::	0	-	C
906-dismiss%2:41:01::	0	-	C
907-dismiss%2:30:09::	0	-	C
907-dismiss%2:32:00::	0	-	C
907-dismiss%2:32:01::	1	-	C
907-dismiss%2:32:02::	0	-	C
907-dismiss%2:41:00::	0	-	C
907-dismiss%2:41:01::	0	-	C
908-dismiss%2:30:09::	0	-	C
908-dismiss%2:32:00::	0	-	C
908-dismiss%2:32:01::	1	-	C
908-dismiss%2:32:02::	0	-	C
908-dismiss%2:41:00::	0	-	C
908-dismiss%2:41:01::	0	-	C
909-dismiss%2:30:09::	0	-	C
909-dismiss%2:32:00::	0	-	C
909-dismiss%2:32:01::	0	-	C
909-dismiss%2:32:02::	0	-	C
909-dismiss%2:41:00::	1	-	C
909-dismiss%2:41:01::	0	-	C
910-dismiss%2:30:09::	0	-	C
910-dismiss%2:32:00::	0	-	C
910-dismiss%2:32:01::	0	-	C
910-dismiss%2:32:02::	0	-	C
910-dismiss%2:41:00::	1	-	C
910-dismiss%2:41:01::	0	-	C
901-dismiss%2:30:09::	0	-	A
901-dismiss%2:32:00::	0	-	A
901-dismiss%2:32:01::	0	-	A
901-dismiss%2:32:02::	0	-	A
901-dismiss%2:41:00::	1	-	A
901-dismiss%2:41:01::	0	-	A
902-dismiss%2:30:09::	0	-	A
902-dismiss%2:32:00::	1	-	A
902-dismiss%2:32:01::	0	-	A
902-dismiss%2:32:02::	0	-	A
902-dismiss%2:41:00::	0	-	A
902-dismiss%2:41:01::	0	-	A
903-dismiss%2:30:09::	0	-	A
903-dismiss%2:32:00::	0	-	A
903-dismiss%2:32:01::	1	-	A
903-dismiss%2:32:02::	0	-	A
903-dismiss%2:41:00::	0	-	A
903-dismiss%2:41:01::	0	-	A
904-dismiss%2:30:09::	0	-	A
904-dismiss%2:32:00::	0	-	A
904-dismiss%2:32:01::	0	-	A
904-dismiss%2:32:02::	0	-	A
904-dismiss%2:41:00::	1	-	A
904-dismiss%2:41:01::	0	-	A
905-dismiss%2:30:09::	0	-	A
905-dismiss%2:32:00::	1	-	A
905-dismiss%2:32:01::	0	-	A
