instanceID	dataIDs	label_set	non_label
1851-fire%2:30:00::	1851,fire%2:30:00::	1,0	-
1851-fire%2:30:01::	1851,fire%2:30:01::	1,0	-
1851-fire%2:33:00::	1851,fire%2:33:00::	1,0	-
1851-fire%2:33:01::	1851,fire%2:33:01::	1,0	-
1851-fire%2:33:02::	1851,fire%2:33:02::	1,0	-
1851-fire%2:37:00::	1851,fire%2:37:00::	1,0	-
1851-fire%2:38:02::	1851,fire%2:38:02::	1,0	-
1851-fire%2:40:00::	1851,fire%2:40:00::	1,0	-
1851-fire%2:41:00::	1851,fire%2:41:00::	1,0	-
1852-fire%2:30:00::	1852,fire%2:30:00::	1,0	-
1852-fire%2:30:01::	1852,fire%2:30:01::	1,0	-
1852-fire%2:33:00::	1852,fire%2:33:00::	1,0	-
1852-fire%2:33:01::	1852,fire%2:33:01::	1,0	-
1852-fire%2:33:02::	1852,fire%2:33:02::	1,0	-
1852-fire%2:37:00::	1852,fire%2:37:00::	1,0	-
1852-fire%2:38:02::	1852,fire%2:38:02::	1,0	-
1852-fire%2:40:00::	1852,fire%2:40:00::	1,0	-
1852-fire%2:41:00::	1852,fire%2:41:00::	1,0	-
1853-fire%2:30:00::	1853,fire%2:30:00::	1,0	-
1853-fire%2:30:01::	1853,fire%2:30:01::	1,0	-
1853-fire%2:33:00::	1853,fire%2:33:00::	1,0	-
1853-fire%2:33:01::	1853,fire%2:33:01::	1,0	-
1853-fire%2:33:02::	1853,fire%2:33:02::	1,0	-
1853-fire%2:37:00::	1853,fire%2:37:00::	1,0	-
1853-fire%2:38:02::	1853,fire%2:38:02::	1,0	-
1853-fire%2:40:00::	1853,fire%2:40:00::	1,0	-
1853-fire%2:41:00::	1853,fire%2:41:00::	1,0	-
1854-fire%2:30:00::	1854,fire%2:30:00::	1,0	-
1854-fire%2:30:01::	1854,fire%2:30:01::	1,0	-
1854-fire%2:33:00::	1854,fire%2:33:00::	1,0	-
1854-fire%2:33:01::	1854,fire%2:33:01::	1,0	-
1854-fire%2:33:02::	1854,fire%2:33:02::	1,0	-
1854-fire%2:37:00::	1854,fire%2:37:00::	1,0	-
1854-fire%2:38:02::	1854,fire%2:38:02::	1,0	-
1854-fire%2:40:00::	1854,fire%2:40:00::	1,0	-
1854-fire%2:41:00::	1854,fire%2:41:00::	1,0	-
1855-fire%2:30:00::	1855,fire%2:30:00::	1,0	-
1855-fire%2:30:01::	1855,fire%2:30:01::	1,0	-
1855-fire%2:33:00::	1855,fire%2:33:00::	1,0	-
1855-fire%2:33:01::	1855,fire%2:33:01::	1,0	-
1855-fire%2:33:02::	1855,fire%2:33:02::	1,0	-
1855-fire%2:37:00::	1855,fire%2:37:00::	1,0	-
1855-fire%2:38:02::	1855,fire%2:38:02::	1,0	-
1855-fire%2:40:00::	1855,fire%2:40:00::	1,0	-
1855-fire%2:41:00::	1855,fire%2:41:00::	1,0	-
1856-fire%2:30:00::	1856,fire%2:30:00::	1,0	-
1856-fire%2:30:01::	1856,fire%2:30:01::	1,0	-
1856-fire%2:33:00::	1856,fire%2:33:00::	1,0	-
1856-fire%2:33:01::	1856,fire%2:33:01::	1,0	-
1856-fire%2:33:02::	1856,fire%2:33:02::	1,0	-
1856-fire%2:37:00::	1856,fire%2:37:00::	1,0	-
1856-fire%2:38:02::	1856,fire%2:38:02::	1,0	-
1856-fire%2:40:00::	1856,fire%2:40:00::	1,0	-
1856-fire%2:41:00::	1856,fire%2:41:00::	1,0	-
1857-fire%2:30:00::	1857,fire%2:30:00::	1,0	-
1857-fire%2:30:01::	1857,fire%2:30:01::	1,0	-
1857-fire%2:33:00::	1857,fire%2:33:00::	1,0	-
1857-fire%2:33:01::	1857,fire%2:33:01::	1,0	-
1857-fire%2:33:02::	1857,fire%2:33:02::	1,0	-
1857-fire%2:37:00::	1857,fire%2:37:00::	1,0	-
1857-fire%2:38:02::	1857,fire%2:38:02::	1,0	-
1857-fire%2:40:00::	1857,fire%2:40:00::	1,0	-
1857-fire%2:41:00::	1857,fire%2:41:00::	1,0	-
1858-fire%2:30:00::	1858,fire%2:30:00::	1,0	-
1858-fire%2:30:01::	1858,fire%2:30:01::	1,0	-
1858-fire%2:33:00::	1858,fire%2:33:00::	1,0	-
1858-fire%2:33:01::	1858,fire%2:33:01::	1,0	-
1858-fire%2:33:02::	1858,fire%2:33:02::	1,0	-
1858-fire%2:37:00::	1858,fire%2:37:00::	1,0	-
1858-fire%2:38:02::	1858,fire%2:38:02::	1,0	-
1858-fire%2:40:00::	1858,fire%2:40:00::	1,0	-
1858-fire%2:41:00::	1858,fire%2:41:00::	1,0	-
1859-fire%2:30:00::	1859,fire%2:30:00::	1,0	-
1859-fire%2:30:01::	1859,fire%2:30:01::	1,0	-
1859-fire%2:33:00::	1859,fire%2:33:00::	1,0	-
1859-fire%2:33:01::	1859,fire%2:33:01::	1,0	-
1859-fire%2:33:02::	1859,fire%2:33:02::	1,0	-
1859-fire%2:37:00::	1859,fire%2:37:00::	1,0	-
1859-fire%2:38:02::	1859,fire%2:38:02::	1,0	-
1859-fire%2:40:00::	1859,fire%2:40:00::	1,0	-
1859-fire%2:41:00::	1859,fire%2:41:00::	1,0	-
1860-fire%2:30:00::	1860,fire%2:30:00::	1,0	-
1860-fire%2:30:01::	1860,fire%2:30:01::	1,0	-
1860-fire%2:33:00::	1860,fire%2:33:00::	1,0	-
1860-fire%2:33:01::	1860,fire%2:33:01::	1,0	-
1860-fire%2:33:02::	1860,fire%2:33:02::	1,0	-
1860-fire%2:37:00::	1860,fire%2:37:00::	1,0	-
1860-fire%2:38:02::	1860,fire%2:38:02::	1,0	-
1860-fire%2:40:00::	1860,fire%2:40:00::	1,0	-
1860-fire%2:41:00::	1860,fire%2:41:00::	1,0	-
