instanceID	label	comment	annotator
1851-fire%2:30:00::	0	-	C
1851-fire%2:30:01::	0	-	C
1851-fire%2:33:00::	1	-	C
1851-fire%2:33:01::	0	-	C
1851-fire%2:33:02::	0	-	C
1851-fire%2:37:00::	0	-	C
1851-fire%2:38:02::	0	-	C
1851-fire%2:40:00::	0	-	C
1851-fire%2:41:00::	0	-	C
1852-fire%2:30:00::	0	-	C
1852-fire%2:30:01::	0	-	C
1852-fire%2:33:00::	1	-	C
1852-fire%2:33:01::	1	-	C
1852-fire%2:33:02::	0	-	C
1852-fire%2:37:00::	0	-	C
1852-fire%2:38:02::	0	-	C
1852-fire%2:40:00::	0	-	C
1852-fire%2:41:00::	0	-	C
1853-fire%2:30:00::	0	-	C
1853-fire%2:30:01::	0	-	C
1853-fire%2:33:00::	0	-	C
1853-fire%2:33:01::	0	-	C
1853-fire%2:33:02::	0	-	C
1853-fire%2:37:00::	0	-	C
1853-fire%2:38:02::	0	-	C
1853-fire%2:40:00::	0	-	C
1853-fire%2:41:00::	1	-	C
1854-fire%2:30:00::	0	-	C
1854-fire%2:30:01::	0	-	C
1854-fire%2:33:00::	0	-	C
1854-fire%2:33:01::	0	-	C
1854-fire%2:33:02::	0	-	C
1854-fire%2:37:00::	0	-	C
1854-fire%2:38:02::	0	-	C
1854-fire%2:40:00::	0	-	C
1854-fire%2:41:00::	1	-	C
1855-fire%2:30:00::	0	-	C
1855-fire%2:30:01::	0	-	C
1855-fire%2:33:00::	1	-	C
1855-fire%2:33:01::	1	-	C
1855-fire%2:33:02::	0	-	C
1855-fire%2:37:00::	0	-	C
1855-fire%2:38:02::	0	-	C
1855-fire%2:40:00::	0	-	C
1855-fire%2:41:00::	0	-	C
1856-fire%2:30:00::	0	-	C
1856-fire%2:30:01::	0	-	C
1856-fire%2:33:00::	0	-	C
1856-fire%2:33:01::	0	-	C
1856-fire%2:33:02::	0	-	C
1856-fire%2:37:00::	0	-	C
1856-fire%2:38:02::	0	-	C
1856-fire%2:40:00::	0	-	C
1856-fire%2:41:00::	1	-	C
1857-fire%2:30:00::	0	-	C
1857-fire%2:30:01::	0	-	C
1857-fire%2:33:00::	1	-	C
1857-fire%2:33:01::	1	-	C
1857-fire%2:33:02::	1	-	C
1857-fire%2:37:00::	0	-	C
1857-fire%2:38:02::	0	-	C
1857-fire%2:40:00::	0	-	C
1857-fire%2:41:00::	0	-	C
1858-fire%2:30:00::	0	-	C
1858-fire%2:30:01::	0	-	C
1858-fire%2:33:00::	0	-	C
1858-fire%2:33:01::	0	-	C
1858-fire%2:33:02::	0	-	C
1858-fire%2:37:00::	0	-	C
1858-fire%2:38:02::	0	-	C
1858-fire%2:40:00::	0	-	C
1858-fire%2:41:00::	1	-	C
1859-fire%2:30:00::	0	-	C
1859-fire%2:30:01::	0	-	C
1859-fire%2:33:00::	1	-	C
1859-fire%2:33:01::	0	-	C
1859-fire%2:33:02::	0	-	C
1859-fire%2:37:00::	0	-	C
1859-fire%2:38:02::	0	-	C
1859-fire%2:40:00::	0	-	C
1859-fire%2:41:00::	0	-	C
1860-fire%2:30:00::	0	-	C
1860-fire%2:30:01::	0	-	C
1860-fire%2:33:00::	1	-	C
1860-fire%2:33:01::	0	-	C
1860-fire%2:33:02::	0	-	C
1860-fire%2:37:00::	0	-	C
1860-fire%2:38:02::	0	-	C
1860-fire%2:40:00::	0	-	C
1860-fire%2:41:00::	0	-	C
1851-fire%2:30:00::	0	-	A
1851-fire%2:30:01::	0	-	A
1851-fire%2:33:00::	1	-	A
1851-fire%2:33:01::	0	-	A
1851-fire%2:33:02::	0	-	A
1851-fire%2:37:00::	0	-	A
1851-fire%2:38:02::	0	-	A
1851-fire%2:40:00::	0	-	A
1851-fire%2:41:00::	0	-	A
1852-fire%2:30:00::	0	-	A
1852-fire%2:30:01::	0	-	A
1852-fire%2:33:00::	1	-	A
1852-fire%2:33:01::	1	-	A
1852-fire%2:33:02::	0	-	A
1852-fire%2:37:00::	0	-	A
1852-fire%2:38:02::	0	-	A
1852-fire%2:40:00::	0	-	A
1852-fire%2:41:00::	0	-	A
1853-fire%2:30:00::	0	-	A
1853-fire%2:30:01::	0	-	A
1853-fire%2:33:00::	0	-	A
1853-fire%2:33:01::	0	-	A
1853-fire%2:33:02::	0	-	A
1853-fire%2:37:00::	0	-	A
1853-fire%2:38:02::	0	-	A
1853-fire%2:40:00::	0	-	A
1853-fire%2:41:00::	1	-	A
1854-fire%2:30:00::	0	-	A
1854-fire%2:30:01::	0	-	A
1854-fire%2:33:00::	0	-	A
1854-fire%2:33:01::	0	-	A
1854-fire%2:33:02::	0	-	A
1854-fire%2:37:00::	0	-	A
1854-fire%2:38:02::	0	-	A
1854-fire%2:40:00::	0	-	A
1854-fire%2:41:00::	1	-	A
1855-fire%2:30:00::	0	-	A
1855-fire%2:30:01::	1	-	A
1855-fire%2:33:00::	0	-	A
1855-fire%2:33:01::	1	-	A
1855-fire%2:33:02::	0	-	A
1855-fire%2:37:00::	0	-	A
1855-fire%2:38:02::	0	-	A
1855-fire%2:40:00::	0	-	A
1855-fire%2:41:00::	0	-	A
1856-fire%2:30:00::	0	-	A
1856-fire%2:30:01::	0	-	A
1856-fire%2:33:00::	0	-	A
1856-fire%2:33:01::	0	-	A
1856-fire%2:33:02::	0	-	A
1856-fire%2:37:00::	0	-	A
1856-fire%2:38:02::	0	-	A
1856-fire%2:40:00::	0	-	A
1856-fire%2:41:00::	1	-	A
1857-fire%2:30:00::	0	-	A
1857-fire%2:30:01::	0	-	A
1857-fire%2:33:00::	1	-	A
1857-fire%2:33:01::	0	-	A
1857-fire%2:33:02::	1	-	A
1857-fire%2:37:00::	0	-	A
1857-fire%2:38:02::	0	-	A
1857-fire%2:40:00::	0	-	A
1857-fire%2:41:00::	0	-	A
1858-fire%2:30:00::	0	-	A
1858-fire%2:30:01::	0	-	A
1858-fire%2:33:00::	0	-	A
1858-fire%2:33:01::	0	-	A
1858-fire%2:33:02::	0	-	A
1858-fire%2:37:00::	0	-	A
1858-fire%2:38:02::	0	-	A
1858-fire%2:40:00::	0	-	A
1858-fire%2:41:00::	1	-	A
1859-fire%2:30:00::	0	-	A
1859-fire%2:30:01::	0	-	A
1859-fire%2:33:00::	0	-	A
1859-fire%2:33:01::	0	-	A
1859-fire%2:33:02::	1	-	A
1859-fire%2:37:00::	0	-	A
1859-fire%2:38:02::	0	-	A
1859-fire%2:40:00::	0	-	A
1859-fire%2:41:00::	0	-	A
1860-fire%2:30:00::	0	-	A
1860-fire%2:30:01::	0	-	A
1860-fire%2:33:00::	1	-	A
1860-fire%2:33:01::	1	-	A
1860-fire%2:33:02::	0	-	A
1860-fire%2:37:00::	0	-	A
1860-fire%2:38:02::	0	-	A
1860-fire%2:40:00::	0	-	A
1860-fire%2:41:00::	0	-	A
1851-fire%2:30:00::	0	-	F
1851-fire%2:30:01::	0	-	F
1851-fire%2:33:00::	1	-	F
1851-fire%2:33:01::	1	-	F
1851-fire%2:33:02::	1	-	F
1851-fire%2:37:00::	0	-	F
1851-fire%2:38:02::	0	-	F
1851-fire%2:40:00::	0	-	F
1851-fire%2:41:00::	0	-	F
1852-fire%2:30:00::	0	-	F
1852-fire%2:30:01::	0	-	F
1852-fire%2:33:00::	1	-	F
1852-fire%2:33:01::	1	-	F
1852-fire%2:33:02::	1	-	F
1852-fire%2:37:00::	0	-	F
1852-fire%2:38:02::	0	-	F
1852-fire%2:40:00::	0	-	F
1852-fire%2:41:00::	0	-	F
1853-fire%2:30:00::	0	-	F
1853-fire%2:30:01::	0	-	F
1853-fire%2:33:00::	0	-	F
1853-fire%2:33:01::	0	-	F
1853-fire%2:33:02::	0	-	F
1853-fire%2:37:00::	0	-	F
1853-fire%2:38:02::	0	-	F
1853-fire%2:40:00::	0	-	F
1853-fire%2:41:00::	1	-	F
1854-fire%2:30:00::	0	-	F
1854-fire%2:30:01::	0	-	F
1854-fire%2:33:00::	0	-	F
1854-fire%2:33:01::	0	-	F
1854-fire%2:33:02::	0	-	F
1854-fire%2:37:00::	0	-	F
1854-fire%2:38:02::	0	-	F
1854-fire%2:40:00::	0	-	F
1854-fire%2:41:00::	1	-	F
1855-fire%2:30:00::	0	-	F
1855-fire%2:30:01::	0	-	F
1855-fire%2:33:00::	0	-	F
1855-fire%2:33:01::	1	-	F
1855-fire%2:33:02::	0	-	F
1855-fire%2:37:00::	0	-	F
1855-fire%2:38:02::	0	-	F
1855-fire%2:40:00::	0	-	F
1855-fire%2:41:00::	0	-	F
