instanceID	dataIDs	label_set	non_label
81-fix%2:29:00::	81,fix%2:29:00::	1,0	-
81-fix%2:30:00::	81,fix%2:30:00::	1,0	-
81-fix%2:30:01::	81,fix%2:30:01::	1,0	-
81-fix%2:30:02::	81,fix%2:30:02::	1,0	-
81-fix%2:30:03::	81,fix%2:30:03::	1,0	-
81-fix%2:32:03::	81,fix%2:32:03::	1,0	-
81-fix%2:33:00::	81,fix%2:33:00::	1,0	-
81-fix%2:35:00::	81,fix%2:35:00::	1,0	-
81-fix%2:35:01::	81,fix%2:35:01::	1,0	-
81-fix%2:36:00::	81,fix%2:36:00::	1,0	-
81-fix%2:36:01::	81,fix%2:36:01::	1,0	-
81-fix%2:41:04::	81,fix%2:41:04::	1,0	-
82-fix%2:29:00::	82,fix%2:29:00::	1,0	-
82-fix%2:30:00::	82,fix%2:30:00::	1,0	-
82-fix%2:30:01::	82,fix%2:30:01::	1,0	-
82-fix%2:30:02::	82,fix%2:30:02::	1,0	-
82-fix%2:30:03::	82,fix%2:30:03::	1,0	-
82-fix%2:32:03::	82,fix%2:32:03::	1,0	-
82-fix%2:33:00::	82,fix%2:33:00::	1,0	-
82-fix%2:35:00::	82,fix%2:35:00::	1,0	-
82-fix%2:35:01::	82,fix%2:35:01::	1,0	-
82-fix%2:36:00::	82,fix%2:36:00::	1,0	-
82-fix%2:36:01::	82,fix%2:36:01::	1,0	-
82-fix%2:41:04::	82,fix%2:41:04::	1,0	-
83-fix%2:29:00::	83,fix%2:29:00::	1,0	-
83-fix%2:30:00::	83,fix%2:30:00::	1,0	-
83-fix%2:30:01::	83,fix%2:30:01::	1,0	-
83-fix%2:30:02::	83,fix%2:30:02::	1,0	-
83-fix%2:30:03::	83,fix%2:30:03::	1,0	-
83-fix%2:32:03::	83,fix%2:32:03::	1,0	-
83-fix%2:33:00::	83,fix%2:33:00::	1,0	-
83-fix%2:35:00::	83,fix%2:35:00::	1,0	-
83-fix%2:35:01::	83,fix%2:35:01::	1,0	-
83-fix%2:36:00::	83,fix%2:36:00::	1,0	-
83-fix%2:36:01::	83,fix%2:36:01::	1,0	-
83-fix%2:41:04::	83,fix%2:41:04::	1,0	-
84-fix%2:29:00::	84,fix%2:29:00::	1,0	-
84-fix%2:30:00::	84,fix%2:30:00::	1,0	-
84-fix%2:30:01::	84,fix%2:30:01::	1,0	-
84-fix%2:30:02::	84,fix%2:30:02::	1,0	-
84-fix%2:30:03::	84,fix%2:30:03::	1,0	-
84-fix%2:32:03::	84,fix%2:32:03::	1,0	-
84-fix%2:33:00::	84,fix%2:33:00::	1,0	-
84-fix%2:35:00::	84,fix%2:35:00::	1,0	-
84-fix%2:35:01::	84,fix%2:35:01::	1,0	-
84-fix%2:36:00::	84,fix%2:36:00::	1,0	-
84-fix%2:36:01::	84,fix%2:36:01::	1,0	-
84-fix%2:41:04::	84,fix%2:41:04::	1,0	-
85-fix%2:29:00::	85,fix%2:29:00::	1,0	-
85-fix%2:30:00::	85,fix%2:30:00::	1,0	-
