instanceID	label	comment	annotator
81-fix%2:29:00::	0	-	C
81-fix%2:30:00::	0	-	C
81-fix%2:30:01::	1	-	C
81-fix%2:30:02::	0	-	C
81-fix%2:30:03::	0	-	C
81-fix%2:32:03::	0	-	C
81-fix%2:33:00::	0	-	C
81-fix%2:35:00::	0	-	C
81-fix%2:35:01::	0	-	C
81-fix%2:36:00::	0	-	C
81-fix%2:36:01::	0	-	C
81-fix%2:41:04::	0	-	C
82-fix%2:29:00::	0	-	C
82-fix%2:30:00::	0	-	C
82-fix%2:30:01::	1	-	C
82-fix%2:30:02::	0	-	C
82-fix%2:30:03::	1	-	C
82-fix%2:32:03::	0	-	C
82-fix%2:33:00::	0	-	C
82-fix%2:35:00::	0	-	C
82-fix%2:35:01::	0	-	C
82-fix%2:36:00::	0	-	C
82-fix%2:36:01::	0	-	C
82-fix%2:41:04::	0	-	C
83-fix%2:29:00::	0	-	C
83-fix%2:30:00::	0	-	C
83-fix%2:30:01::	1	-	C
83-fix%2:30:02::	0	-	C
83-fix%2:30:03::	0	-	C
83-fix%2:32:03::	0	-	C
83-fix%2:33:00::	0	-	C
83-fix%2:35:00::	0	-	C
83-fix%2:35:01::	0	-	C
83-fix%2:36:00::	0	-	C
83-fix%2:36:01::	0	-	C
83-fix%2:41:04::	0	-	C
84-fix%2:29:00::	0	-	C
84-fix%2:30:00::	0	-	C
84-fix%2:30:01::	1	-	C
84-fix%2:30:02::	0	-	C
84-fix%2:30:03::	0	-	C
84-fix%2:32:03::	0	-	C
84-fix%2:33:00::	0	-	C
84-fix%2:35:00::	0	-	C
84-fix%2:35:01::	0	-	C
84-fix%2:36:00::	0	-	C
84-fix%2:36:01::	0	-	C
84-fix%2:41:04::	0	-	C
85-fix%2:29:00::	0	-	C
85-fix%2:30:00::	1	-	C
85-fix%2:30:01::	0	-	C
85-fix%2:30:02::	0	-	C
85-fix%2:30:03::	0	-	C
85-fix%2:32:03::	0	-	C
85-fix%2:33:00::	0	-	C
85-fix%2:35:00::	0	-	C
85-fix%2:35:01::	0	-	C
85-fix%2:36:00::	0	-	C
85-fix%2:36:01::	0	-	C
85-fix%2:41:04::	0	-	C
86-fix%2:29:00::	0	-	C
86-fix%2:30:00::	0	-	C
86-fix%2:30:01::	1	-	C
86-fix%2:30:02::	0	-	C
86-fix%2:30:03::	0	-	C
86-fix%2:32:03::	0	-	C
86-fix%2:33:00::	0	-	C
86-fix%2:35:00::	0	-	C
86-fix%2:35:01::	0	-	C
86-fix%2:36:00::	0	-	C
86-fix%2:36:01::	0	-	C
86-fix%2:41:04::	0	-	C
87-fix%2:29:00::	0	-	C
87-fix%2:30:00::	0	-	C
87-fix%2:30:01::	1	-	C
87-fix%2:30:02::	0	-	C
87-fix%2:30:03::	0	-	C
87-fix%2:32:03::	0	-	C
87-fix%2:33:00::	0	-	C
87-fix%2:35:00::	0	-	C
87-fix%2:35:01::	0	-	C
87-fix%2:36:00::	0	-	C
87-fix%2:36:01::	0	-	C
87-fix%2:41:04::	0	-	C
88-fix%2:29:00::	0	-	C
88-fix%2:30:00::	0	-	C
88-fix%2:30:01::	1	-	C
88-fix%2:30:02::	0	-	C
88-fix%2:30:03::	0	-	C
88-fix%2:32:03::	0	-	C
88-fix%2:33:00::	0	-	C
88-fix%2:35:00::	0	-	C
88-fix%2:35:01::	0	-	C
88-fix%2:36:00::	0	-	C
88-fix%2:36:01::	0	-	C
88-fix%2:41:04::	0	-	C
89-fix%2:29:00::	0	-	C
89-fix%2:30:00::	0	-	C
89-fix%2:30:01::	1	-	C
89-fix%2:30:02::	0	-	C
89-fix%2:30:03::	0	-	C
89-fix%2:32:03::	0	-	C
89-fix%2:33:00::	0	-	C
89-fix%2:35:00::	0	-	C
89-fix%2:35:01::	0	-	C
89-fix%2:36:00::	0	-	C
89-fix%2:36:01::	0	-	C
89-fix%2:41:04::	0	-	C
90-fix%2:29:00::	0	-	C
90-fix%2:30:00::	0	-	C
90-fix%2:30:01::	0	-	C
90-fix%2:30:02::	0	-	C
90-fix%2:30:03::	0	-	C
90-fix%2:32:03::	1	-	C
90-fix%2:33:00::	0	-	C
90-fix%2:35:00::	0	-	C
90-fix%2:35:01::	0	-	C
90-fix%2:36:00::	0	-	C
90-fix%2:36:01::	0	-	C
90-fix%2:41:04::	0	-	C
81-fix%2:29:00::	0	-	A
81-fix%2:30:00::	0	-	A
81-fix%2:30:01::	1	-	A
81-fix%2:30:02::	0	-	A
81-fix%2:30:03::	0	-	A
