instanceID	label	comment	annotator
1861-function%1:04:00::	0	-	C
1861-function%1:07:00::	1	-	C
1861-function%1:10:00::	0	-	C
1861-function%1:11:00::	0	-	C
1861-function%1:14:00::	0	-	C
1861-function%1:24:00::	0	-	C
1861-function%1:24:01::	0	-	C
1862-function%1:04:00::	0	-	C
1862-function%1:07:00::	0	-	C
1862-function%1:10:00::	1	-	C
1862-function%1:11:00::	0	-	C
1862-function%1:14:00::	0	-	C
1862-function%1:24:00::	0	-	C
1862-function%1:24:01::	0	-	C
1863-function%1:04:00::	0	-	C
1863-function%1:07:00::	0	-	C
1863-function%1:10:00::	1	-	C
1863-function%1:11:00::	0	-	C
1863-function%1:14:00::	0	-	C
1863-function%1:24:00::	0	-	C
1863-function%1:24:01::	0	-	C
1864-function%1:04:00::	0	-	C
1864-function%1:07:00::	1	-	C
1864-function%1:10:00::	0	-	C
1864-function%1:11:00::	0	-	C
1864-function%1:14:00::	0	-	C
1864-function%1:24:00::	0	-	C
1864-function%1:24:01::	0	-	C
1865-function%1:04:00::	0	-	C
1865-function%1:07:00::	0	-	C
1865-function%1:10:00::	0	-	C
1865-function%1:11:00::	0	-	C
1865-function%1:14:00::	0	-	C
1865-function%1:24:00::	0	-	C
1865-function%1:24:01::	1	-	C
1866-function%1:04:00::	0	-	C
1866-function%1:07:00::	1	-	C
1866-function%1:10:00::	0	-	C
1866-function%1:11:00::	0	-	C
1866-function%1:14:00::	0	-	C
1866-function%1:24:00::	0	-	C
1866-function%1:24:01::	0	-	C
1867-function%1:04:00::	0	-	C
1867-function%1:07:00::	1	-	C
1867-function%1:10:00::	0	-	C
1867-function%1:11:00::	0	-	C
1867-function%1:14:00::	0	-	C
1867-function%1:24:00::	0	-	C
1867-function%1:24:01::	0	-	C
1868-function%1:04:00::	0	-	C
1868-function%1:07:00::	1	-	C
1868-function%1:10:00::	0	-	C
1868-function%1:11:00::	0	-	C
1868-function%1:14:00::	0	-	C
1868-function%1:24:00::	0	-	C
1868-function%1:24:01::	0	-	C
1869-function%1:04:00::	0	-	C
1869-function%1:07:00::	1	-	C
1869-function%1:10:00::	0	-	C
1869-function%1:11:00::	0	-	C
1869-function%1:14:00::	0	-	C
1869-function%1:24:00::	0	-	C
1869-function%1:24:01::	0	-	C
1870-function%1:04:00::	0	-	C
1870-function%1:07:00::	0	-	C
1870-function%1:10:00::	0	-	C
1870-function%1:11:00::	0	-	C
1870-function%1:14:00::	0	-	C
1870-function%1:24:00::	1	-	C
1870-function%1:24:01::	0	-	C
1861-function%1:04:00::	1	-	A
1861-function%1:07:00::	0	-	A
1861-function%1:10:00::	0	-	A
1861-function%1:11:00::	0	-	A
1861-function%1:14:00::	0	-	A
1861-function%1:24:00::	0	-	A
1861-function%1:24:01::	1	-	A
1862-function%1:04:00::	0	-	A
1862-function%1:07:00::	0	-	A
1862-function%1:10:00::	0	-	A
1862-function%1:11:00::	0	-	A
1862-function%1:14:00::	0	-	A
1862-function%1:24:00::	1	-	A
1862-function%1:24:01::	0	-	A
1863-function%1:04:00::	0	-	A
1863-function%1:07:00::	1	-	A
1863-function%1:10:00::	1	-	A
1863-function%1:11:00::	0	-	A
1863-function%1:14:00::	0	-	A
1863-function%1:24:00::	0	-	A
