instanceID	dataIDs	label_set	non_label
1021-order%2:30:00::	1021,order%2:30:00::	1,0	-
1021-order%2:30:01::	1021,order%2:30:01::	1,0	-
1021-order%2:31:00::	1021,order%2:31:00::	1,0	-
1021-order%2:31:01::	1021,order%2:31:01::	1,0	-
1021-order%2:32:00::	1021,order%2:32:00::	1,0	-
1021-order%2:32:01::	1021,order%2:32:01::	1,0	-
1021-order%2:32:02::	1021,order%2:32:02::	1,0	-
1021-order%2:41:01::	1021,order%2:41:01::	1,0	-
1021-order%2:41:02::	1021,order%2:41:02::	1,0	-
1022-order%2:30:00::	1022,order%2:30:00::	1,0	-
1022-order%2:30:01::	1022,order%2:30:01::	1,0	-
1022-order%2:31:00::	1022,order%2:31:00::	1,0	-
1022-order%2:31:01::	1022,order%2:31:01::	1,0	-
1022-order%2:32:00::	1022,order%2:32:00::	1,0	-
1022-order%2:32:01::	1022,order%2:32:01::	1,0	-
1022-order%2:32:02::	1022,order%2:32:02::	1,0	-
1022-order%2:41:01::	1022,order%2:41:01::	1,0	-
1022-order%2:41:02::	1022,order%2:41:02::	1,0	-
1023-order%2:30:00::	1023,order%2:30:00::	1,0	-
1023-order%2:30:01::	1023,order%2:30:01::	1,0	-
1023-order%2:31:00::	1023,order%2:31:00::	1,0	-
1023-order%2:31:01::	1023,order%2:31:01::	1,0	-
1023-order%2:32:00::	1023,order%2:32:00::	1,0	-
1023-order%2:32:01::	1023,order%2:32:01::	1,0	-
1023-order%2:32:02::	1023,order%2:32:02::	1,0	-
1023-order%2:41:01::	1023,order%2:41:01::	1,0	-
1023-order%2:41:02::	1023,order%2:41:02::	1,0	-
1024-order%2:30:00::	1024,order%2:30:00::	1,0	-
1024-order%2:30:01::	1024,order%2:30:01::	1,0	-
1024-order%2:31:00::	1024,order%2:31:00::	1,0	-
1024-order%2:31:01::	1024,order%2:31:01::	1,0	-
1024-order%2:32:00::	1024,order%2:32:00::	1,0	-
1024-order%2:32:01::	1024,order%2:32:01::	1,0	-
1024-order%2:32:02::	1024,order%2:32:02::	1,0	-
1024-order%2:41:01::	1024,order%2:41:01::	1,0	-
1024-order%2:41:02::	1024,order%2:41:02::	1,0	-
1025-order%2:30:00::	1025,order%2:30:00::	1,0	-
1025-order%2:30:01::	1025,order%2:30:01::	1,0	-
1025-order%2:31:00::	1025,order%2:31:00::	1,0	-
1025-order%2:31:01::	1025,order%2:31:01::	1,0	-
1025-order%2:32:00::	1025,order%2:32:00::	1,0	-
1025-order%2:32:01::	1025,order%2:32:01::	1,0	-
1025-order%2:32:02::	1025,order%2:32:02::	1,0	-
1025-order%2:41:01::	1025,order%2:41:01::	1,0	-
