instanceID	label	comment	annotator
1411-investigator%1:18:00::	0	-	C
1411-investigator%1:18:01::	1	-	C
1411-investigator%1:18:02::	0	-	C
1412-investigator%1:18:00::	0	-	C
1412-investigator%1:18:01::	0	-	C
1412-investigator%1:18:02::	1	-	C
1413-investigator%1:18:00::	0	-	C
1413-investigator%1:18:01::	0	-	C
1413-investigator%1:18:02::	1	-	C
1414-investigator%1:18:00::	0	-	C
1414-investigator%1:18:01::	1	-	C
1414-investigator%1:18:02::	0	-	C
1415-investigator%1:18:00::	0	-	C
1415-investigator%1:18:01::	0	-	C
1415-investigator%1:18:02::	1	-	C
1416-investigator%1:18:00::	0	-	C
1416-investigator%1:18:01::	1	-	C
1416-investigator%1:18:02::	0	-	C
1417-investigator%1:18:00::	0	-	C
1417-investigator%1:18:01::	0	-	C
1417-investigator%1:18:02::	1	-	C
1418-investigator%1:18:00::	1	-	C
1418-investigator%1:18:01::	0	-	C
1418-investigator%1:18:02::	0	-	C
1419-investigator%1:18:00::	1	-	C
1419-investigator%1:18:01::	0	-	C
1419-investigator%1:18:02::	0	-	C
1420-investigator%1:18:00::	0	-	C
1420-investigator%1:18:01::	1	-	C
1420-investigator%1:18:02::	0	-	C
1411-investigator%1:18:00::	0	-	A
1411-investigator%1:18:01::	1	-	A
1411-investigator%1:18:02::	0	-	A
1412-investigator%1:18:00::	0	-	A
1412-investigator%1:18:01::	0	-	A
1412-investigator%1:18:02::	1	-	A
1413-investigator%1:18:00::	1	-	A
1413-investigator%1:18:01::	0	-	A
1413-investigator%1:18:02::	0	-	A
1414-investigator%1:18:00::	1	-	A
1414-investigator%1:18:01::	1	-	A
1414-investigator%1:18:02::	0	-	A
1415-investigator%1:18:00::	0	-	A
1415-investigator%1:18:01::	0	-	A
1415-investigator%1:18:02::	1	-	A
1416-investigator%1:18:00::	1	-	A
1416-investigator%1:18:01::	1	-	A
1416-investigator%1:18:02::	0	-	A
1417-investigator%1:18:00::	1	-	A
1417-investigator%1:18:01::	0	-	A
1417-investigator%1:18:02::	0	-	A
1418-investigator%1:18:00::	1	-	A
1418-investigator%1:18:01::	0	-	A
1418-investigator%1:18:02::	0	-	A
1419-investigator%1:18:00::	1	-	A
1419-investigator%1:18:01::	1	-	A
1419-investigator%1:18:02::	0	-	A
1420-investigator%1:18:00::	0	-	A
1420-investigator%1:18:01::	1	-	A
