instanceID	label	comment	annotator
1021-order%2:30:00::	0	-	C
1021-order%2:30:01::	1	-	C
1021-order%2:31:00::	0	-	C
1021-order%2:31:01::	0	-	C
1021-order%2:32:00::	0	-	C
1021-order%2:32:01::	0	-	C
1021-order%2:32:02::	0	-	C
1021-order%2:41:01::	0	-	C
1021-order%2:41:02::	0	-	C
1022-order%2:30:00::	0	-	C
1022-order%2:30:01::	0	-	C
1022-order%2:31:00::	0	-	C
1022-order%2:31:01::	0	-	C
1022-order%2:32:00::	1	-	C
1022-order%2:32:01::	0	-	C
1022-order%2:32:02::	0	-	C
1022-order%2:41:01::	0	-	C
1022-order%2:41:02::	0	-	C
1023-order%2:30:00::	0	-	C
1023-order%2:30:01::	0	-	C
1023-order%2:31:00::	0	-	C
1023-order%2:31:01::	0	-	C
1023-order%2:32:00::	0	-	C
1023-order%2:32:01::	1	-	C
1023-order%2:32:02::	1	-	C
1023-order%2:41:01::	0	-	C
1023-order%2:41:02::	0	-	C
1024-order%2:30:00::	0	-	C
1024-order%2:30:01::	0	-	C
1024-order%2:31:00::	0	-	C
1024-order%2:31:01::	1	-	C
1024-order%2:32:00::	0	-	C
1024-order%2:32:01::	0	-	C
1024-order%2:32:02::	0	-	C
1024-order%2:41:01::	0	-	C
1024-order%2:41:02::	0	-	C
1025-order%2:30:00::	0	-	C
1025-order%2:30:01::	0	-	C
1025-order%2:31:00::	0	-	C
1025-order%2:31:01::	0	-	C
1025-order%2:32:00::	0	-	C
1025-order%2:32:01::	1	-	C
1025-order%2:32:02::	1	-	C
1025-order%2:41:01::	0	-	C
1025-order%2:41:02::	0	-	C
1026-order%2:30:00::	0	-	C
1026-order%2:30:01::	0	-	C
1026-order%2:31:00::	0	-	C
1026-order%2:31:01::	1	-	C
1026-order%2:32:00::	0	-	C
1026-order%2:32:01::	0	-	C
1026-order%2:32:02::	0	-	C
1026-order%2:41:01::	0	-	C
1026-order%2:41:02::	0	-	C
1027-order%2:30:00::	0	-	C
1027-order%2:30:01::	0	-	C
1027-order%2:31:00::	0	-	C
1027-order%2:31:01::	0	-	C
1027-order%2:32:00::	1	-	C
1027-order%2:32:01::	0	-	C
1027-order%2:32:02::	0	-	C
1027-order%2:41:01::	0	-	C
1027-order%2:41:02::	0	-	C
1028-order%2:30:00::	0	-	C
1028-order%2:30:01::	0	-	C
1028-order%2:31:00::	0	-	C
1028-order%2:31:01::	0	-	C
1028-order%2:32:00::	1	-	C
1028-order%2:32:01::	1	-	C
1028-order%2:32:02::	0	-	C
1028-order%2:41:01::	0	-	C
1028-order%2:41:02::	0	-	C
1029-order%2:30:00::	0	-	C
1029-order%2:30:01::	1	-	C
1029-order%2:31:00::	0	-	C
1029-order%2:31:01::	0	-	C
1029-order%2:32:00::	0	-	C
1029-order%2:32:01::	0	-	C
1029-order%2:32:02::	0	-	C
1029-order%2:41:01::	0	-	C
1029-order%2:41:02::	0	-	C
1030-order%2:30:00::	0	-	C
1030-order%2:30:01::	0	-	C
1030-order%2:31:00::	0	-	C
1030-order%2:31:01::	0	-	C
1030-order%2:32:00::	0	-	C
1030-order%2:32:01::	0	-	C
1030-order%2:32:02::	1	-	C
1030-order%2:41:01::	0	-	C
1030-order%2:41:02::	0	-	C
1021-order%2:30:00::	0	-	A
1021-order%2:30:01::	1	-	A
1021-order%2:31:00::	1	-	A
1021-order%2:31:01::	0	-	A
1021-order%2:32:00::	0	-	A
1021-order%2:32:01::	0	-	A
1021-order%2:32:02::	0	-	A
1021-order%2:41:01::	0	-	A
1021-order%2:41:02::	0	-	A
1022-order%2:30:00::	0	-	A
1022-order%2:30:01::	0	-	A
1022-order%2:31:00::	0	-	A
1022-order%2:31:01::	0	-	A
1022-order%2:32:00::	1	-	A
1022-order%2:32:01::	0	-	A
1022-order%2:32:02::	0	-	A
1022-order%2:41:01::	0	-	A
1022-order%2:41:02::	0	-	A
1023-order%2:30:00::	0	-	A
1023-order%2:30:01::	0	-	A
1023-order%2:31:00::	0	-	A
1023-order%2:31:01::	0	-	A
1023-order%2:32:00::	0	-	A
1023-order%2:32:01::	1	-	A
1023-order%2:32:02::	1	-	A
1023-order%2:41:01::	0	-	A
1023-order%2:41:02::	0	-	A
1024-order%2:30:00::	0	-	A
1024-order%2:30:01::	0	-	A
1024-order%2:31:00::	0	-	A
1024-order%2:31:01::	1	-	A
1024-order%2:32:00::	0	-	A
1024-order%2:32:01::	0	-	A
1024-order%2:32:02::	0	-	A
1024-order%2:41:01::	0	-	A
1024-order%2:41:02::	0	-	A
1025-order%2:30:00::	0	-	A
1025-order%2:30:01::	0	-	A
1025-order%2:31:00::	0	-	A
1025-order%2:31:01::	0	-	A
1025-order%2:32:00::	0	-	A
1025-order%2:32:01::	1	-	A
1025-order%2:32:02::	1	-	A
1025-order%2:41:01::	0	-	A
1025-order%2:41:02::	0	-	A
1026-order%2:30:00::	0	-	A
1026-order%2:30:01::	0	-	A
1026-order%2:31:00::	0	-	A
1026-order%2:31:01::	1	-	A
1026-order%2:32:00::	0	-	A
1026-order%2:32:01::	0	-	A
1026-order%2:32:02::	0	-	A
1026-order%2:41:01::	0	-	A
1026-order%2:41:02::	0	-	A
1027-order%2:30:00::	0	-	A
1027-order%2:30:01::	0	-	A
1027-order%2:31:00::	0	-	A
1027-order%2:31:01::	0	-	A
1027-order%2:32:00::	1	-	A
1027-order%2:32:01::	0	-	A
1027-order%2:32:02::	0	-	A
1027-order%2:41:01::	0	-	A
1027-order%2:41:02::	0	-	A
1028-order%2:30:00::	0	-	A
1028-order%2:30:01::	0	-	A
1028-order%2:31:00::	0	-	A
1028-order%2:31:01::	0	-	A
1028-order%2:32:00::	0	-	A
1028-order%2:32:01::	0	-	A
1028-order%2:32:02::	1	-	A
1028-order%2:41:01::	0	-	A
1028-order%2:41:02::	0	-	A
1029-order%2:30:00::	0	-	A
1029-order%2:30:01::	1	-	A
1029-order%2:31:00::	0	-	A
1029-order%2:31:01::	0	-	A
1029-order%2:32:00::	0	-	A
1029-order%2:32:01::	0	-	A
1029-order%2:32:02::	0	-	A
1029-order%2:41:01::	0	-	A
1029-order%2:41:02::	0	-	A
1030-order%2:30:00::	0	-	A
1030-order%2:30:01::	0	-	A
