instanceID	dataIDs	label_set	non_label
1881-lead%1:04:00::	1881,lead%1:04:00::	1,0	-
1881-lead%1:04:01::	1881,lead%1:04:01::	1,0	-
1881-lead%1:06:00::	1881,lead%1:06:00::	1,0	-
1881-lead%1:06:01::	1881,lead%1:06:01::	1,0	-
1881-lead%1:06:02::	1881,lead%1:06:02::	1,0	-
1881-lead%1:06:03::	1881,lead%1:06:03::	1,0	-
1881-lead%1:07:01::	1881,lead%1:07:01::	1,0	-
1881-lead%1:07:02::	1881,lead%1:07:02::	1,0	-
1881-lead%1:09:00::	1881,lead%1:09:00::	1,0	-
1881-lead%1:10:00::	1881,lead%1:10:00::	1,0	-
1881-lead%1:10:01::	1881,lead%1:10:01::	1,0	-
1881-lead%1:10:02::	1881,lead%1:10:02::	1,0	-
1881-lead%1:15:00::	1881,lead%1:15:00::	1,0	-
1881-lead%1:18:00::	1881,lead%1:18:00::	1,0	-
1881-lead%1:23:00::	1881,lead%1:23:00::	1,0	-
1881-lead%1:25:00::	1881,lead%1:25:00::	1,0	-
1881-lead%1:27:00::	1881,lead%1:27:00::	1,0	-
1882-lead%1:04:00::	1882,lead%1:04:00::	1,0	-
1882-lead%1:04:01::	1882,lead%1:04:01::	1,0	-
1882-lead%1:06:00::	1882,lead%1:06:00::	1,0	-
1882-lead%1:06:01::	1882,lead%1:06:01::	1,0	-
1882-lead%1:06:02::	1882,lead%1:06:02::	1,0	-
1882-lead%1:06:03::	1882,lead%1:06:03::	1,0	-
1882-lead%1:07:01::	1882,lead%1:07:01::	1,0	-
1882-lead%1:07:02::	1882,lead%1:07:02::	1,0	-
1882-lead%1:09:00::	1882,lead%1:09:00::	1,0	-
1882-lead%1:10:00::	1882,lead%1:10:00::	1,0	-
1882-lead%1:10:01::	1882,lead%1:10:01::	1,0	-
1882-lead%1:10:02::	1882,lead%1:10:02::	1,0	-
1882-lead%1:15:00::	1882,lead%1:15:00::	1,0	-
1882-lead%1:18:00::	1882,lead%1:18:00::	1,0	-
1882-lead%1:23:00::	1882,lead%1:23:00::	1,0	-
1882-lead%1:25:00::	1882,lead%1:25:00::	1,0	-
1882-lead%1:27:00::	1882,lead%1:27:00::	1,0	-
1883-lead%1:04:00::	1883,lead%1:04:00::	1,0	-
1883-lead%1:04:01::	1883,lead%1:04:01::	1,0	-
1883-lead%1:06:00::	1883,lead%1:06:00::	1,0	-
1883-lead%1:06:01::	1883,lead%1:06:01::	1,0	-
1883-lead%1:06:02::	1883,lead%1:06:02::	1,0	-
1883-lead%1:06:03::	1883,lead%1:06:03::	1,0	-
1883-lead%1:07:01::	1883,lead%1:07:01::	1,0	-
1883-lead%1:07:02::	1883,lead%1:07:02::	1,0	-
1883-lead%1:09:00::	1883,lead%1:09:00::	1,0	-
1883-lead%1:10:00::	1883,lead%1:10:00::	1,0	-
1883-lead%1:10:01::	1883,lead%1:10:01::	1,0	-
1883-lead%1:10:02::	1883,lead%1:10:02::	1,0	-
