instanceID	label	comment	annotator
1881-lead%1:04:00::	0	-	C
1881-lead%1:04:01::	0	-	C
1881-lead%1:06:00::	0	-	C
1881-lead%1:06:01::	1	-	C
1881-lead%1:06:02::	0	-	C
1881-lead%1:06:03::	0	-	C
1881-lead%1:07:01::	0	-	C
1881-lead%1:07:02::	0	-	C
1881-lead%1:09:00::	0	-	C
1881-lead%1:10:00::	0	-	C
1881-lead%1:10:01::	0	-	C
1881-lead%1:10:02::	0	-	C
1881-lead%1:15:00::	0	-	C
1881-lead%1:18:00::	0	-	C
1881-lead%1:23:00::	0	-	C
1881-lead%1:25:00::	0	-	C
1881-lead%1:27:00::	0	-	C
1882-lead%1:04:00::	0	-	C
1882-lead%1:04:01::	1	-	C
1882-lead%1:06:00::	0	-	C
1882-lead%1:06:01::	0	-	C
1882-lead%1:06:02::	0	-	C
1882-lead%1:06:03::	0	-	C
1882-lead%1:07:01::	0	-	C
1882-lead%1:07:02::	0	-	C
1882-lead%1:09:00::	0	-	C
1882-lead%1:10:00::	0	-	C
1882-lead%1:10:01::	0	-	C
1882-lead%1:10:02::	0	-	C
1882-lead%1:15:00::	0	-	C
1882-lead%1:18:00::	0	-	C
1882-lead%1:23:00::	0	-	C
1882-lead%1:25:00::	0	-	C
1882-lead%1:27:00::	0	-	C
1883-lead%1:04:00::	0	-	C
1883-lead%1:04:01::	0	-	C
1883-lead%1:06:00::	0	-	C
1883-lead%1:06:01::	0	-	C
1883-lead%1:06:02::	0	-	C
1883-lead%1:06:03::	1	-	C
1883-lead%1:07:01::	0	-	C
1883-lead%1:07:02::	0	-	C
1883-lead%1:09:00::	0	-	C
1883-lead%1:10:00::	0	-	C
1883-lead%1:10:01::	0	-	C
1883-lead%1:10:02::	0	-	C
1883-lead%1:15:00::	0	-	C
1883-lead%1:18:00::	0	-	C
1883-lead%1:23:00::	0	-	C
1883-lead%1:25:00::	0	-	C
1883-lead%1:27:00::	0	-	C
1884-lead%1:04:00::	0	-	C
1884-lead%1:04:01::	1	-	C
1884-lead%1:06:00::	0	-	C
1884-lead%1:06:01::	0	-	C
1884-lead%1:06:02::	0	-	C
1884-lead%1:06:03::	0	-	C
1884-lead%1:07:01::	0	-	C
1884-lead%1:07:02::	0	-	C
1884-lead%1:09:00::	0	-	C
1884-lead%1:10:00::	0	-	C
1884-lead%1:10:01::	0	-	C
1884-lead%1:10:02::	0	-	C
1884-lead%1:15:00::	0	-	C
1884-lead%1:18:00::	0	-	C
1884-lead%1:23:00::	0	-	C
1884-lead%1:25:00::	0	-	C
1884-lead%1:27:00::	0	-	C
1885-lead%1:04:00::	0	-	C
1885-lead%1:04:01::	1	-	C
1885-lead%1:06:00::	0	-	C
1885-lead%1:06:01::	0	-	C
1885-lead%1:06:02::	0	-	C
1885-lead%1:06:03::	0	-	C
1885-lead%1:07:01::	0	-	C
1885-lead%1:07:02::	0	-	C
1885-lead%1:09:00::	0	-	C
1885-lead%1:10:00::	0	-	C
1885-lead%1:10:01::	0	-	C
1885-lead%1:10:02::	0	-	C
1885-lead%1:15:00::	0	-	C
1885-lead%1:18:00::	0	-	C
1885-lead%1:23:00::	0	-	C
1885-lead%1:25:00::	0	-	C
1885-lead%1:27:00::	0	-	C
1886-lead%1:04:00::	0	-	C
1886-lead%1:04:01::	1	-	C
1886-lead%1:06:00::	0	-	C
1886-lead%1:06:01::	0	-	C
1886-lead%1:06:02::	0	-	C
1886-lead%1:06:03::	0	-	C
1886-lead%1:07:01::	0	-	C
1886-lead%1:07:02::	0	-	C
1886-lead%1:09:00::	0	-	C
1886-lead%1:10:00::	0	-	C
1886-lead%1:10:01::	0	-	C
1886-lead%1:10:02::	0	-	C
1886-lead%1:15:00::	0	-	C
1886-lead%1:18:00::	0	-	C
1886-lead%1:23:00::	0	-	C
1886-lead%1:25:00::	0	-	C
1886-lead%1:27:00::	0	-	C
1887-lead%1:04:00::	0	-	C
1887-lead%1:04:01::	0	-	C
1887-lead%1:06:00::	0	-	C
1887-lead%1:06:01::	1	-	C
