instanceID	label	comment	annotator
101-neat%5:00:00:adroit:00	0	-	C
101-neat%5:00:00:elegant:00	1	-	C
101-neat%5:00:00:good:01	0	-	C
101-neat%5:00:00:tidy:00	0	-	C
101-neat%5:00:00:undiluted:00	0	-	C
101-neat%5:00:03:tidy:00	0	-	C
102-neat%5:00:00:adroit:00	0	-	C
102-neat%5:00:00:elegant:00	1	-	C
102-neat%5:00:00:good:01	0	-	C
102-neat%5:00:00:tidy:00	0	-	C
102-neat%5:00:00:undiluted:00	0	-	C
102-neat%5:00:03:tidy:00	0	-	C
103-neat%5:00:00:adroit:00	0	-	C
103-neat%5:00:00:elegant:00	0	-	C
103-neat%5:00:00:good:01	0	-	C
103-neat%5:00:00:tidy:00	1	-	C
103-neat%5:00:00:undiluted:00	0	-	C
103-neat%5:00:03:tidy:00	0	-	C
104-neat%5:00:00:adroit:00	0	-	C
104-neat%5:00:00:elegant:00	0	-	C
104-neat%5:00:00:good:01	0	-	C
104-neat%5:00:00:tidy:00	1	-	C
104-neat%5:00:00:undiluted:00	0	-	C
104-neat%5:00:03:tidy:00	0	-	C
105-neat%5:00:00:adroit:00	0	-	C
105-neat%5:00:00:elegant:00	0	-	C
105-neat%5:00:00:good:01	0	-	C
105-neat%5:00:00:tidy:00	1	-	C
105-neat%5:00:00:undiluted:00	0	-	C
105-neat%5:00:03:tidy:00	0	-	C
106-neat%5:00:00:adroit:00	0	-	C
106-neat%5:00:00:elegant:00	0	-	C
106-neat%5:00:00:good:01	1	-	C
106-neat%5:00:00:tidy:00	0	-	C
106-neat%5:00:00:undiluted:00	0	-	C
106-neat%5:00:03:tidy:00	0	-	C
107-neat%5:00:00:adroit:00	0	-	C
107-neat%5:00:00:elegant:00	0	-	C
107-neat%5:00:00:good:01	1	-	C
107-neat%5:00:00:tidy:00	0	-	C
107-neat%5:00:00:undiluted:00	0	-	C
107-neat%5:00:03:tidy:00	0	-	C
108-neat%5:00:00:adroit:00	0	-	C
108-neat%5:00:00:elegant:00	0	-	C
108-neat%5:00:00:good:01	1	-	C
108-neat%5:00:00:tidy:00	0	-	C
108-neat%5:00:00:undiluted:00	0	-	C
108-neat%5:00:03:tidy:00	0	-	C
109-neat%5:00:00:adroit:00	0	-	C
109-neat%5:00:00:elegant:00	0	-	C
109-neat%5:00:00:good:01	0	-	C
109-neat%5:00:00:tidy:00	1	-	C
109-neat%5:00:00:undiluted:00	0	-	C
109-neat%5:00:03:tidy:00	0	-	C
110-neat%5:00:00:adroit:00	0	-	C
110-neat%5:00:00:elegant:00	0	-	C
110-neat%5:00:00:good:01	1	-	C
110-neat%5:00:00:tidy:00	0	-	C
110-neat%5:00:00:undiluted:00	0	-	C
110-neat%5:00:03:tidy:00	0	-	C
101-neat%5:00:00:adroit:00	1	-	A
101-neat%5:00:00:elegant:00	1	-	A
101-neat%5:00:00:good:01	0	-	A
101-neat%5:00:00:tidy:00	1	-	A
101-neat%5:00:00:undiluted:00	0	-	A
101-neat%5:00:03:tidy:00	1	-	A
102-neat%5:00:00:adroit:00	0	-	A
102-neat%5:00:00:elegant:00	0	-	A
102-neat%5:00:00:good:01	0	-	A
102-neat%5:00:00:tidy:00	0	-	A
102-neat%5:00:00:undiluted:00	1	-	A
102-neat%5:00:03:tidy:00	1	-	A
103-neat%5:00:00:adroit:00	1	-	A
103-neat%5:00:00:elegant:00	1	-	A
103-neat%5:00:00:good:01	0	-	A
103-neat%5:00:00:tidy:00	1	-	A
103-neat%5:00:00:undiluted:00	0	-	A
103-neat%5:00:03:tidy:00	0	-	A
104-neat%5:00:00:adroit:00	1	-	A
104-neat%5:00:00:elegant:00	1	-	A
104-neat%5:00:00:good:01	0	-	A
104-neat%5:00:00:tidy:00	1	-	A
104-neat%5:00:00:undiluted:00	0	-	A
104-neat%5:00:03:tidy:00	0	-	A
105-neat%5:00:00:adroit:00	1	-	A
105-neat%5:00:00:elegant:00	0	-	A
105-neat%5:00:00:good:01	0	-	A
105-neat%5:00:00:tidy:00	1	-	A
105-neat%5:00:00:undiluted:00	0	-	A
105-neat%5:00:03:tidy:00	1	-	A
106-neat%5:00:00:adroit:00	0	-	A
106-neat%5:00:00:elegant:00	0	-	A
106-neat%5:00:00:good:01	1	-	A
106-neat%5:00:00:tidy:00	0	-	A
106-neat%5:00:00:undiluted:00	0	-	A
106-neat%5:00:03:tidy:00	0	-	A
107-neat%5:00:00:adroit:00	0	-	A
107-neat%5:00:00:elegant:00	1	-	A
107-neat%5:00:00:good:01	0	-	A
107-neat%5:00:00:tidy:00	0	-	A
107-neat%5:00:00:undiluted:00	1	-	A
107-neat%5:00:03:tidy:00	0	-	A
108-neat%5:00:00:adroit:00	0	-	A
108-neat%5:00:00:elegant:00	0	-	A
108-neat%5:00:00:good:01	1	-	A
108-neat%5:00:00:tidy:00	0	-	A
108-neat%5:00:00:undiluted:00	0	-	A
108-neat%5:00:03:tidy:00	0	-	A
109-neat%5:00:00:adroit:00	1	-	A
109-neat%5:00:00:elegant:00	1	-	A
109-neat%5:00:00:good:01	0	-	A
109-neat%5:00:00:tidy:00	1	-	A
109-neat%5:00:00:undiluted:00	0	-	A
109-neat%5:00:03:tidy:00	1	-	A
110-neat%5:00:00:adroit:00	0	-	A
110-neat%5:00:00:elegant:00	0	-	A
110-neat%5:00:00:good:01	1	-	A
110-neat%5:00:00:tidy:00	0	-	A
110-neat%5:00:00:undiluted:00	0	-	A
110-neat%5:00:03:tidy:00	0	-	A
101-neat%5:00:00:adroit:00	0	-	F
101-neat%5:00:00:elegant:00	0	-	F
101-neat%5:00:00:good:01	1	-	F
101-neat%5:00:00:tidy:00	0	-	F
101-neat%5:00:00:undiluted:00	0	-	F
101-neat%5:00:03:tidy:00	0	-	F
102-neat%5:00:00:adroit:00	0	-	F
