instanceID	dataIDs	label_set	non_label
451-new%3:00:00::	451,new%3:00:00::	1,0	-
451-new%3:00:09::	451,new%3:00:09::	1,0	-
451-new%5:00:00:early:02	451,new%5:00:00:early:02	1,0	-
451-new%5:00:00:inexperienced:00	451,new%5:00:00:inexperienced:00	1,0	-
451-new%5:00:00:original:00	451,new%5:00:00:original:00	1,0	-
451-new%5:00:00:other:00	451,new%5:00:00:other:00	1,0	-
451-new%5:00:00:unaccustomed:00	451,new%5:00:00:unaccustomed:00	1,0	-
451-new%5:00:00:unprecedented:00	451,new%5:00:00:unprecedented:00	1,0	-
451-new%5:00:01:late:01	451,new%5:00:01:late:01	1,0	-
451-new%5:00:02:late:01	451,new%5:00:02:late:01	1,0	-
451-new%5:00:02:original:00	451,new%5:00:02:original:00	1,0	-
452-new%3:00:00::	452,new%3:00:00::	1,0	-
452-new%3:00:09::	452,new%3:00:09::	1,0	-
452-new%5:00:00:early:02	452,new%5:00:00:early:02	1,0	-
452-new%5:00:00:inexperienced:00	452,new%5:00:00:inexperienced:00	1,0	-
452-new%5:00:00:original:00	452,new%5:00:00:original:00	1,0	-
452-new%5:00:00:other:00	452,new%5:00:00:other:00	1,0	-
452-new%5:00:00:unaccustomed:00	452,new%5:00:00:unaccustomed:00	1,0	-
452-new%5:00:00:unprecedented:00	452,new%5:00:00:unprecedented:00	1,0	-
452-new%5:00:01:late:01	452,new%5:00:01:late:01	1,0	-
452-new%5:00:02:late:01	452,new%5:00:02:late:01	1,0	-
452-new%5:00:02:original:00	452,new%5:00:02:original:00	1,0	-
453-new%3:00:00::	453,new%3:00:00::	1,0	-
453-new%3:00:09::	453,new%3:00:09::	1,0	-
453-new%5:00:00:early:02	453,new%5:00:00:early:02	1,0	-
453-new%5:00:00:inexperienced:00	453,new%5:00:00:inexperienced:00	1,0	-
453-new%5:00:00:original:00	453,new%5:00:00:original:00	1,0	-
453-new%5:00:00:other:00	453,new%5:00:00:other:00	1,0	-
453-new%5:00:00:unaccustomed:00	453,new%5:00:00:unaccustomed:00	1,0	-
453-new%5:00:00:unprecedented:00	453,new%5:00:00:unprecedented:00	1,0	-
453-new%5:00:01:late:01	453,new%5:00:01:late:01	1,0	-
453-new%5:00:02:late:01	453,new%5:00:02:late:01	1,0	-
453-new%5:00:02:original:00	453,new%5:00:02:original:00	1,0	-
454-new%3:00:00::	454,new%3:00:00::	1,0	-
454-new%3:00:09::	454,new%3:00:09::	1,0	-
454-new%5:00:00:early:02	454,new%5:00:00:early:02	1,0	-
454-new%5:00:00:inexperienced:00	454,new%5:00:00:inexperienced:00	1,0	-
454-new%5:00:00:original:00	454,new%5:00:00:original:00	1,0	-
454-new%5:00:00:other:00	454,new%5:00:00:other:00	1,0	-
454-new%5:00:00:unaccustomed:00	454,new%5:00:00:unaccustomed:00	1,0	-
454-new%5:00:00:unprecedented:00	454,new%5:00:00:unprecedented:00	1,0	-
454-new%5:00:01:late:01	454,new%5:00:01:late:01	1,0	-
454-new%5:00:02:late:01	454,new%5:00:02:late:01	1,0	-
454-new%5:00:02:original:00	454,new%5:00:02:original:00	1,0	-
455-new%3:00:00::	455,new%3:00:00::	1,0	-
455-new%3:00:09::	455,new%3:00:09::	1,0	-
455-new%5:00:00:early:02	455,new%5:00:00:early:02	1,0	-
455-new%5:00:00:inexperienced:00	455,new%5:00:00:inexperienced:00	1,0	-
455-new%5:00:00:original:00	455,new%5:00:00:original:00	1,0	-
455-new%5:00:00:other:00	455,new%5:00:00:other:00	1,0	-
455-new%5:00:00:unaccustomed:00	455,new%5:00:00:unaccustomed:00	1,0	-
455-new%5:00:00:unprecedented:00	455,new%5:00:00:unprecedented:00	1,0	-
455-new%5:00:01:late:01	455,new%5:00:01:late:01	1,0	-
455-new%5:00:02:late:01	455,new%5:00:02:late:01	1,0	-
455-new%5:00:02:original:00	455,new%5:00:02:original:00	1,0	-
456-new%3:00:00::	456,new%3:00:00::	1,0	-
456-new%3:00:09::	456,new%3:00:09::	1,0	-
456-new%5:00:00:early:02	456,new%5:00:00:early:02	1,0	-
456-new%5:00:00:inexperienced:00	456,new%5:00:00:inexperienced:00	1,0	-
456-new%5:00:00:original:00	456,new%5:00:00:original:00	1,0	-
456-new%5:00:00:other:00	456,new%5:00:00:other:00	1,0	-
456-new%5:00:00:unaccustomed:00	456,new%5:00:00:unaccustomed:00	1,0	-
456-new%5:00:00:unprecedented:00	456,new%5:00:00:unprecedented:00	1,0	-
456-new%5:00:01:late:01	456,new%5:00:01:late:01	1,0	-
456-new%5:00:02:late:01	456,new%5:00:02:late:01	1,0	-
456-new%5:00:02:original:00	456,new%5:00:02:original:00	1,0	-
457-new%3:00:00::	457,new%3:00:00::	1,0	-
457-new%3:00:09::	457,new%3:00:09::	1,0	-
457-new%5:00:00:early:02	457,new%5:00:00:early:02	1,0	-
457-new%5:00:00:inexperienced:00	457,new%5:00:00:inexperienced:00	1,0	-
457-new%5:00:00:original:00	457,new%5:00:00:original:00	1,0	-
457-new%5:00:00:other:00	457,new%5:00:00:other:00	1,0	-
457-new%5:00:00:unaccustomed:00	457,new%5:00:00:unaccustomed:00	1,0	-
457-new%5:00:00:unprecedented:00	457,new%5:00:00:unprecedented:00	1,0	-
457-new%5:00:01:late:01	457,new%5:00:01:late:01	1,0	-
457-new%5:00:02:late:01	457,new%5:00:02:late:01	1,0	-
457-new%5:00:02:original:00	457,new%5:00:02:original:00	1,0	-
458-new%3:00:00::	458,new%3:00:00::	1,0	-
458-new%3:00:09::	458,new%3:00:09::	1,0	-
458-new%5:00:00:early:02	458,new%5:00:00:early:02	1,0	-
458-new%5:00:00:inexperienced:00	458,new%5:00:00:inexperienced:00	1,0	-
458-new%5:00:00:original:00	458,new%5:00:00:original:00	1,0	-
458-new%5:00:00:other:00	458,new%5:00:00:other:00	1,0	-
458-new%5:00:00:unaccustomed:00	458,new%5:00:00:unaccustomed:00	1,0	-
458-new%5:00:00:unprecedented:00	458,new%5:00:00:unprecedented:00	1,0	-
458-new%5:00:01:late:01	458,new%5:00:01:late:01	1,0	-
458-new%5:00:02:late:01	458,new%5:00:02:late:01	1,0	-
458-new%5:00:02:original:00	458,new%5:00:02:original:00	1,0	-
459-new%3:00:00::	459,new%3:00:00::	1,0	-
459-new%3:00:09::	459,new%3:00:09::	1,0	-
459-new%5:00:00:early:02	459,new%5:00:00:early:02	1,0	-
459-new%5:00:00:inexperienced:00	459,new%5:00:00:inexperienced:00	1,0	-
459-new%5:00:00:original:00	459,new%5:00:00:original:00	1,0	-
459-new%5:00:00:other:00	459,new%5:00:00:other:00	1,0	-
459-new%5:00:00:unaccustomed:00	459,new%5:00:00:unaccustomed:00	1,0	-
459-new%5:00:00:unprecedented:00	459,new%5:00:00:unprecedented:00	1,0	-
459-new%5:00:01:late:01	459,new%5:00:01:late:01	1,0	-
459-new%5:00:02:late:01	459,new%5:00:02:late:01	1,0	-
459-new%5:00:02:original:00	459,new%5:00:02:original:00	1,0	-
460-new%3:00:00::	460,new%3:00:00::	1,0	-
460-new%3:00:09::	460,new%3:00:09::	1,0	-
460-new%5:00:00:early:02	460,new%5:00:00:early:02	1,0	-
460-new%5:00:00:inexperienced:00	460,new%5:00:00:inexperienced:00	1,0	-
460-new%5:00:00:original:00	460,new%5:00:00:original:00	1,0	-
460-new%5:00:00:other:00	460,new%5:00:00:other:00	1,0	-
460-new%5:00:00:unaccustomed:00	460,new%5:00:00:unaccustomed:00	1,0	-
460-new%5:00:00:unprecedented:00	460,new%5:00:00:unprecedented:00	1,0	-
460-new%5:00:01:late:01	460,new%5:00:01:late:01	1,0	-
460-new%5:00:02:late:01	460,new%5:00:02:late:01	1,0	-
460-new%5:00:02:original:00	460,new%5:00:02:original:00	1,0	-
