senseID	definition	lemma
new%3:00:00::	not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered	new.a
new%3:00:09::	unaffected by use or exposure	new.a
new%5:00:00:early:02	(of crops) harvested at an early stage of development; before complete maturity	new.a
new%5:00:00:inexperienced:00	lacking training or experience	new.a
new%5:00:00:original:00	original and of a kind not seen before	new.a
new%5:00:00:other:00	other than the former one(s); different	new.a
new%5:00:00:unaccustomed:00	unfamiliar	new.a
new%5:00:00:unprecedented:00	having no previous example or precedent or parallel	new.a
new%5:00:01:late:01	used of a living language; being the current stage in its development	new.a
new%5:00:02:late:01	in use after medieval times	new.a
new%5:00:02:original:00	(of a new kind or fashion) gratuitously new	new.a
