instanceID	dataIDs	label_set	non_label
1531-range%1:06:00::	1531,range%1:06:00::	1,0	-
1531-range%1:06:01::	1531,range%1:06:01::	1,0	-
1531-range%1:07:00::	1531,range%1:07:00::	1,0	-
1531-range%1:09:00::	1531,range%1:09:00::	1,0	-
1531-range%1:14:00::	1531,range%1:14:00::	1,0	-
1531-range%1:14:01::	1531,range%1:14:01::	1,0	-
1531-range%1:15:01::	1531,range%1:15:01::	1,0	-
1531-range%1:15:02::	1531,range%1:15:02::	1,0	-
1531-range%1:17:00::	1531,range%1:17:00::	1,0	-
1532-range%1:06:00::	1532,range%1:06:00::	1,0	-
1532-range%1:06:01::	1532,range%1:06:01::	1,0	-
1532-range%1:07:00::	1532,range%1:07:00::	1,0	-
1532-range%1:09:00::	1532,range%1:09:00::	1,0	-
1532-range%1:14:00::	1532,range%1:14:00::	1,0	-
1532-range%1:14:01::	1532,range%1:14:01::	1,0	-
1532-range%1:15:01::	1532,range%1:15:01::	1,0	-
1532-range%1:15:02::	1532,range%1:15:02::	1,0	-
1532-range%1:17:00::	1532,range%1:17:00::	1,0	-
1533-range%1:06:00::	1533,range%1:06:00::	1,0	-
1533-range%1:06:01::	1533,range%1:06:01::	1,0	-
1533-range%1:07:00::	1533,range%1:07:00::	1,0	-
1533-range%1:09:00::	1533,range%1:09:00::	1,0	-
1533-range%1:14:00::	1533,range%1:14:00::	1,0	-
1533-range%1:14:01::	1533,range%1:14:01::	1,0	-
1533-range%1:15:01::	1533,range%1:15:01::	1,0	-
1533-range%1:15:02::	1533,range%1:15:02::	1,0	-
1533-range%1:17:00::	1533,range%1:17:00::	1,0	-
1534-range%1:06:00::	1534,range%1:06:00::	1,0	-
1534-range%1:06:01::	1534,range%1:06:01::	1,0	-
1534-range%1:07:00::	1534,range%1:07:00::	1,0	-
1534-range%1:09:00::	1534,range%1:09:00::	1,0	-
1534-range%1:14:00::	1534,range%1:14:00::	1,0	-
1534-range%1:14:01::	1534,range%1:14:01::	1,0	-
1534-range%1:15:01::	1534,range%1:15:01::	1,0	-
1534-range%1:15:02::	1534,range%1:15:02::	1,0	-
1534-range%1:17:00::	1534,range%1:17:00::	1,0	-
1535-range%1:06:00::	1535,range%1:06:00::	1,0	-
1535-range%1:06:01::	1535,range%1:06:01::	1,0	-
1535-range%1:07:00::	1535,range%1:07:00::	1,0	-
1535-range%1:09:00::	1535,range%1:09:00::	1,0	-
1535-range%1:14:00::	1535,range%1:14:00::	1,0	-
1535-range%1:14:01::	1535,range%1:14:01::	1,0	-
1535-range%1:15:01::	1535,range%1:15:01::	1,0	-
1535-range%1:15:02::	1535,range%1:15:02::	1,0	-
1535-range%1:17:00::	1535,range%1:17:00::	1,0	-
1536-range%1:06:00::	1536,range%1:06:00::	1,0	-
1536-range%1:06:01::	1536,range%1:06:01::	1,0	-
1536-range%1:07:00::	1536,range%1:07:00::	1,0	-
1536-range%1:09:00::	1536,range%1:09:00::	1,0	-
1536-range%1:14:00::	1536,range%1:14:00::	1,0	-
1536-range%1:14:01::	1536,range%1:14:01::	1,0	-
1536-range%1:15:01::	1536,range%1:15:01::	1,0	-
1536-range%1:15:02::	1536,range%1:15:02::	1,0	-
1536-range%1:17:00::	1536,range%1:17:00::	1,0	-
1537-range%1:06:00::	1537,range%1:06:00::	1,0	-
1537-range%1:06:01::	1537,range%1:06:01::	1,0	-
1537-range%1:07:00::	1537,range%1:07:00::	1,0	-
1537-range%1:09:00::	1537,range%1:09:00::	1,0	-
1537-range%1:14:00::	1537,range%1:14:00::	1,0	-
1537-range%1:14:01::	1537,range%1:14:01::	1,0	-
1537-range%1:15:01::	1537,range%1:15:01::	1,0	-
1537-range%1:15:02::	1537,range%1:15:02::	1,0	-
1537-range%1:17:00::	1537,range%1:17:00::	1,0	-
1538-range%1:06:00::	1538,range%1:06:00::	1,0	-
1538-range%1:06:01::	1538,range%1:06:01::	1,0	-
1538-range%1:07:00::	1538,range%1:07:00::	1,0	-
1538-range%1:09:00::	1538,range%1:09:00::	1,0	-
1538-range%1:14:00::	1538,range%1:14:00::	1,0	-
1538-range%1:14:01::	1538,range%1:14:01::	1,0	-
1538-range%1:15:01::	1538,range%1:15:01::	1,0	-
1538-range%1:15:02::	1538,range%1:15:02::	1,0	-
1538-range%1:17:00::	1538,range%1:17:00::	1,0	-
1539-range%1:06:00::	1539,range%1:06:00::	1,0	-
1539-range%1:06:01::	1539,range%1:06:01::	1,0	-
1539-range%1:07:00::	1539,range%1:07:00::	1,0	-
1539-range%1:09:00::	1539,range%1:09:00::	1,0	-
1539-range%1:14:00::	1539,range%1:14:00::	1,0	-
1539-range%1:14:01::	1539,range%1:14:01::	1,0	-
1539-range%1:15:01::	1539,range%1:15:01::	1,0	-
1539-range%1:15:02::	1539,range%1:15:02::	1,0	-
1539-range%1:17:00::	1539,range%1:17:00::	1,0	-
1540-range%1:06:00::	1540,range%1:06:00::	1,0	-
1540-range%1:06:01::	1540,range%1:06:01::	1,0	-
1540-range%1:07:00::	1540,range%1:07:00::	1,0	-
1540-range%1:09:00::	1540,range%1:09:00::	1,0	-
1540-range%1:14:00::	1540,range%1:14:00::	1,0	-
1540-range%1:14:01::	1540,range%1:14:01::	1,0	-
1540-range%1:15:01::	1540,range%1:15:01::	1,0	-
1540-range%1:15:02::	1540,range%1:15:02::	1,0	-
1540-range%1:17:00::	1540,range%1:17:00::	1,0	-
