instanceID	label	comment	annotator
1531-range%1:06:00::	0	-	C
1531-range%1:06:01::	0	-	C
1531-range%1:07:00::	0	-	C
1531-range%1:09:00::	0	-	C
1531-range%1:14:00::	1	-	C
1531-range%1:14:01::	0	-	C
1531-range%1:15:01::	0	-	C
1531-range%1:15:02::	0	-	C
1531-range%1:17:00::	0	-	C
1532-range%1:06:00::	1	-	C
1532-range%1:06:01::	0	-	C
1532-range%1:07:00::	0	-	C
1532-range%1:09:00::	0	-	C
1532-range%1:14:00::	0	-	C
1532-range%1:14:01::	0	-	C
1532-range%1:15:01::	0	-	C
1532-range%1:15:02::	0	-	C
1532-range%1:17:00::	0	-	C
1533-range%1:06:00::	0	-	C
1533-range%1:06:01::	0	-	C
1533-range%1:07:00::	1	-	C
1533-range%1:09:00::	0	-	C
1533-range%1:14:00::	0	-	C
1533-range%1:14:01::	0	-	C
1533-range%1:15:01::	1	-	C
1533-range%1:15:02::	0	-	C
1533-range%1:17:00::	0	-	C
1534-range%1:06:00::	0	-	C
1534-range%1:06:01::	0	-	C
1534-range%1:07:00::	0	-	C
1534-range%1:09:00::	0	-	C
1534-range%1:14:00::	1	-	C
1534-range%1:14:01::	0	-	C
1534-range%1:15:01::	0	-	C
1534-range%1:15:02::	0	-	C
1534-range%1:17:00::	0	-	C
1535-range%1:06:00::	0	-	C
1535-range%1:06:01::	0	-	C
1535-range%1:07:00::	0	-	C
1535-range%1:09:00::	0	-	C
1535-range%1:14:00::	1	-	C
1535-range%1:14:01::	0	-	C
1535-range%1:15:01::	0	-	C
1535-range%1:15:02::	0	-	C
1535-range%1:17:00::	0	-	C
1536-range%1:06:00::	0	-	C
1536-range%1:06:01::	0	-	C
1536-range%1:07:00::	1	-	C
1536-range%1:09:00::	0	-	C
1536-range%1:14:00::	0	-	C
1536-range%1:14:01::	0	-	C
1536-range%1:15:01::	1	-	C
1536-range%1:15:02::	0	-	C
1536-range%1:17:00::	0	-	C
1537-range%1:06:00::	0	-	C
1537-range%1:06:01::	0	-	C
1537-range%1:07:00::	0	-	C
1537-range%1:09:00::	0	-	C
1537-range%1:14:00::	0	-	C
1537-range%1:14:01::	0	-	C
1537-range%1:15:01::	1	-	C
1537-range%1:15:02::	0	-	C
1537-range%1:17:00::	0	-	C
1538-range%1:06:00::	1	-	C
1538-range%1:06:01::	0	-	C
1538-range%1:07:00::	0	-	C
1538-range%1:09:00::	0	-	C
1538-range%1:14:00::	0	-	C
1538-range%1:14:01::	0	-	C
1538-range%1:15:01::	0	-	C
1538-range%1:15:02::	0	-	C
1538-range%1:17:00::	0	-	C
1539-range%1:06:00::	0	-	C
1539-range%1:06:01::	0	-	C
1539-range%1:07:00::	0	-	C
1539-range%1:09:00::	0	-	C
1539-range%1:14:00::	1	-	C
1539-range%1:14:01::	0	-	C
1539-range%1:15:01::	0	-	C
1539-range%1:15:02::	0	-	C
1539-range%1:17:00::	0	-	C
1540-range%1:06:00::	0	-	C
1540-range%1:06:01::	0	-	C
