instanceID	dataIDs	label_set	non_label
111-rich%3:00:00::	111,rich%3:00:00::	1,0	-
111-rich%3:00:02::	111,rich%3:00:02::	1,0	-
111-rich%3:00:03::	111,rich%3:00:03::	1,0	-
111-rich%3:00:04::	111,rich%3:00:04::	1,0	-
111-rich%5:00:00:abundant:00	111,rich%5:00:00:abundant:00	1,0	-
111-rich%5:00:00:colorful:00	111,rich%5:00:00:colorful:00	1,0	-
111-rich%5:00:00:fruitful:00	111,rich%5:00:00:fruitful:00	1,0	-
111-rich%5:00:00:full:01	111,rich%5:00:00:full:01	1,0	-
111-rich%5:00:00:tasty:00	111,rich%5:00:00:tasty:00	1,0	-
111-rich%5:00:00:unwholesome:00	111,rich%5:00:00:unwholesome:00	1,0	-
111-rich%5:00:00:valuable:00	111,rich%5:00:00:valuable:00	1,0	-
111-rich%5:00:02:productive:00	111,rich%5:00:02:productive:00	1,0	-
112-rich%3:00:00::	112,rich%3:00:00::	1,0	-
112-rich%3:00:02::	112,rich%3:00:02::	1,0	-
112-rich%3:00:03::	112,rich%3:00:03::	1,0	-
112-rich%3:00:04::	112,rich%3:00:04::	1,0	-
112-rich%5:00:00:abundant:00	112,rich%5:00:00:abundant:00	1,0	-
112-rich%5:00:00:colorful:00	112,rich%5:00:00:colorful:00	1,0	-
112-rich%5:00:00:fruitful:00	112,rich%5:00:00:fruitful:00	1,0	-
112-rich%5:00:00:full:01	112,rich%5:00:00:full:01	1,0	-
112-rich%5:00:00:tasty:00	112,rich%5:00:00:tasty:00	1,0	-
112-rich%5:00:00:unwholesome:00	112,rich%5:00:00:unwholesome:00	1,0	-
112-rich%5:00:00:valuable:00	112,rich%5:00:00:valuable:00	1,0	-
112-rich%5:00:02:productive:00	112,rich%5:00:02:productive:00	1,0	-
113-rich%3:00:00::	113,rich%3:00:00::	1,0	-
113-rich%3:00:02::	113,rich%3:00:02::	1,0	-
113-rich%3:00:03::	113,rich%3:00:03::	1,0	-
113-rich%3:00:04::	113,rich%3:00:04::	1,0	-
113-rich%5:00:00:abundant:00	113,rich%5:00:00:abundant:00	1,0	-
113-rich%5:00:00:colorful:00	113,rich%5:00:00:colorful:00	1,0	-
113-rich%5:00:00:fruitful:00	113,rich%5:00:00:fruitful:00	1,0	-
113-rich%5:00:00:full:01	113,rich%5:00:00:full:01	1,0	-
113-rich%5:00:00:tasty:00	113,rich%5:00:00:tasty:00	1,0	-
113-rich%5:00:00:unwholesome:00	113,rich%5:00:00:unwholesome:00	1,0	-
113-rich%5:00:00:valuable:00	113,rich%5:00:00:valuable:00	1,0	-
113-rich%5:00:02:productive:00	113,rich%5:00:02:productive:00	1,0	-
114-rich%3:00:00::	114,rich%3:00:00::	1,0	-
114-rich%3:00:02::	114,rich%3:00:02::	1,0	-
114-rich%3:00:03::	114,rich%3:00:03::	1,0	-
114-rich%3:00:04::	114,rich%3:00:04::	1,0	-
114-rich%5:00:00:abundant:00	114,rich%5:00:00:abundant:00	1,0	-
114-rich%5:00:00:colorful:00	114,rich%5:00:00:colorful:00	1,0	-
114-rich%5:00:00:fruitful:00	114,rich%5:00:00:fruitful:00	1,0	-
114-rich%5:00:00:full:01	114,rich%5:00:00:full:01	1,0	-
114-rich%5:00:00:tasty:00	114,rich%5:00:00:tasty:00	1,0	-
114-rich%5:00:00:unwholesome:00	114,rich%5:00:00:unwholesome:00	1,0	-
114-rich%5:00:00:valuable:00	114,rich%5:00:00:valuable:00	1,0	-
114-rich%5:00:02:productive:00	114,rich%5:00:02:productive:00	1,0	-
115-rich%3:00:00::	115,rich%3:00:00::	1,0	-
115-rich%3:00:02::	115,rich%3:00:02::	1,0	-
115-rich%3:00:03::	115,rich%3:00:03::	1,0	-
115-rich%3:00:04::	115,rich%3:00:04::	1,0	-
115-rich%5:00:00:abundant:00	115,rich%5:00:00:abundant:00	1,0	-
115-rich%5:00:00:colorful:00	115,rich%5:00:00:colorful:00	1,0	-
115-rich%5:00:00:fruitful:00	115,rich%5:00:00:fruitful:00	1,0	-
115-rich%5:00:00:full:01	115,rich%5:00:00:full:01	1,0	-
115-rich%5:00:00:tasty:00	115,rich%5:00:00:tasty:00	1,0	-
115-rich%5:00:00:unwholesome:00	115,rich%5:00:00:unwholesome:00	1,0	-
115-rich%5:00:00:valuable:00	115,rich%5:00:00:valuable:00	1,0	-
115-rich%5:00:02:productive:00	115,rich%5:00:02:productive:00	1,0	-
116-rich%3:00:00::	116,rich%3:00:00::	1,0	-
116-rich%3:00:02::	116,rich%3:00:02::	1,0	-
116-rich%3:00:03::	116,rich%3:00:03::	1,0	-
116-rich%3:00:04::	116,rich%3:00:04::	1,0	-
116-rich%5:00:00:abundant:00	116,rich%5:00:00:abundant:00	1,0	-
116-rich%5:00:00:colorful:00	116,rich%5:00:00:colorful:00	1,0	-
116-rich%5:00:00:fruitful:00	116,rich%5:00:00:fruitful:00	1,0	-
116-rich%5:00:00:full:01	116,rich%5:00:00:full:01	1,0	-
116-rich%5:00:00:tasty:00	116,rich%5:00:00:tasty:00	1,0	-
116-rich%5:00:00:unwholesome:00	116,rich%5:00:00:unwholesome:00	1,0	-
116-rich%5:00:00:valuable:00	116,rich%5:00:00:valuable:00	1,0	-
116-rich%5:00:02:productive:00	116,rich%5:00:02:productive:00	1,0	-
117-rich%3:00:00::	117,rich%3:00:00::	1,0	-
117-rich%3:00:02::	117,rich%3:00:02::	1,0	-
117-rich%3:00:03::	117,rich%3:00:03::	1,0	-
117-rich%3:00:04::	117,rich%3:00:04::	1,0	-
117-rich%5:00:00:abundant:00	117,rich%5:00:00:abundant:00	1,0	-
