instanceID	label	comment	annotator
111-rich%3:00:00::	0	-	C
111-rich%3:00:02::	1	-	C
111-rich%3:00:03::	0	-	C
111-rich%3:00:04::	0	-	C
111-rich%5:00:00:abundant:00	0	-	C
111-rich%5:00:00:colorful:00	0	-	C
111-rich%5:00:00:fruitful:00	0	-	C
111-rich%5:00:00:full:01	0	-	C
111-rich%5:00:00:tasty:00	0	-	C
111-rich%5:00:00:unwholesome:00	0	-	C
111-rich%5:00:00:valuable:00	0	-	C
111-rich%5:00:02:productive:00	0	-	C
112-rich%3:00:00::	1	-	C
112-rich%3:00:02::	0	-	C
112-rich%3:00:03::	0	-	C
112-rich%3:00:04::	0	-	C
112-rich%5:00:00:abundant:00	0	-	C
112-rich%5:00:00:colorful:00	0	-	C
112-rich%5:00:00:fruitful:00	0	-	C
112-rich%5:00:00:full:01	0	-	C
112-rich%5:00:00:tasty:00	0	-	C
112-rich%5:00:00:unwholesome:00	0	-	C
112-rich%5:00:00:valuable:00	0	-	C
112-rich%5:00:02:productive:00	0	-	C
113-rich%3:00:00::	1	-	C
113-rich%3:00:02::	0	-	C
113-rich%3:00:03::	0	-	C
113-rich%3:00:04::	0	-	C
113-rich%5:00:00:abundant:00	0	-	C
113-rich%5:00:00:colorful:00	0	-	C
113-rich%5:00:00:fruitful:00	0	-	C
113-rich%5:00:00:full:01	0	-	C
113-rich%5:00:00:tasty:00	0	-	C
113-rich%5:00:00:unwholesome:00	0	-	C
113-rich%5:00:00:valuable:00	0	-	C
113-rich%5:00:02:productive:00	0	-	C
114-rich%3:00:00::	0	-	C
114-rich%3:00:02::	0	-	C
114-rich%3:00:03::	0	-	C
114-rich%3:00:04::	0	-	C
114-rich%5:00:00:abundant:00	0	-	C
114-rich%5:00:00:colorful:00	0	-	C
114-rich%5:00:00:fruitful:00	0	-	C
114-rich%5:00:00:full:01	0	-	C
114-rich%5:00:00:tasty:00	1	-	C
114-rich%5:00:00:unwholesome:00	0	-	C
114-rich%5:00:00:valuable:00	0	-	C
114-rich%5:00:02:productive:00	0	-	C
115-rich%3:00:00::	1	-	C
115-rich%3:00:02::	0	-	C
115-rich%3:00:03::	0	-	C
115-rich%3:00:04::	0	-	C
115-rich%5:00:00:abundant:00	0	-	C
115-rich%5:00:00:colorful:00	0	-	C
115-rich%5:00:00:fruitful:00	0	-	C
115-rich%5:00:00:full:01	0	-	C
115-rich%5:00:00:tasty:00	0	-	C
115-rich%5:00:00:unwholesome:00	0	-	C
115-rich%5:00:00:valuable:00	0	-	C
115-rich%5:00:02:productive:00	0	-	C
116-rich%3:00:00::	1	-	C
116-rich%3:00:02::	0	-	C
116-rich%3:00:03::	0	-	C
116-rich%3:00:04::	0	-	C
116-rich%5:00:00:abundant:00	0	-	C
116-rich%5:00:00:colorful:00	0	-	C
116-rich%5:00:00:fruitful:00	0	-	C
116-rich%5:00:00:full:01	0	-	C
116-rich%5:00:00:tasty:00	0	-	C
116-rich%5:00:00:unwholesome:00	0	-	C
116-rich%5:00:00:valuable:00	0	-	C
116-rich%5:00:02:productive:00	0	-	C
117-rich%3:00:00::	0	-	C
117-rich%3:00:02::	0	-	C
117-rich%3:00:03::	0	-	C
117-rich%3:00:04::	0	-	C
117-rich%5:00:00:abundant:00	0	-	C
117-rich%5:00:00:colorful:00	0	-	C
117-rich%5:00:00:fruitful:00	0	-	C
117-rich%5:00:00:full:01	1	-	C
117-rich%5:00:00:tasty:00	0	-	C
117-rich%5:00:00:unwholesome:00	0	-	C
117-rich%5:00:00:valuable:00	0	-	C
117-rich%5:00:02:productive:00	0	-	C
118-rich%3:00:00::	0	-	C
118-rich%3:00:02::	0	-	C
118-rich%3:00:03::	0	-	C
118-rich%3:00:04::	0	-	C
118-rich%5:00:00:abundant:00	1	-	C
118-rich%5:00:00:colorful:00	0	-	C
118-rich%5:00:00:fruitful:00	0	-	C
118-rich%5:00:00:full:01	0	-	C
118-rich%5:00:00:tasty:00	0	-	C
118-rich%5:00:00:unwholesome:00	0	-	C
118-rich%5:00:00:valuable:00	0	-	C
118-rich%5:00:02:productive:00	0	-	C
119-rich%3:00:00::	1	-	C
119-rich%3:00:02::	0	-	C
119-rich%3:00:03::	0	-	C
119-rich%3:00:04::	0	-	C
119-rich%5:00:00:abundant:00	0	-	C
119-rich%5:00:00:colorful:00	0	-	C
119-rich%5:00:00:fruitful:00	0	-	C
119-rich%5:00:00:full:01	0	-	C
119-rich%5:00:00:tasty:00	0	-	C
119-rich%5:00:00:unwholesome:00	0	-	C
119-rich%5:00:00:valuable:00	0	-	C
119-rich%5:00:02:productive:00	0	-	C
120-rich%3:00:00::	1	-	C
120-rich%3:00:02::	0	-	C
120-rich%3:00:03::	0	-	C
120-rich%3:00:04::	0	-	C
120-rich%5:00:00:abundant:00	0	-	C
120-rich%5:00:00:colorful:00	0	-	C
120-rich%5:00:00:fruitful:00	0	-	C
120-rich%5:00:00:full:01	0	-	C
120-rich%5:00:00:tasty:00	0	-	C
120-rich%5:00:00:unwholesome:00	0	-	C
120-rich%5:00:00:valuable:00	0	-	C
120-rich%5:00:02:productive:00	0	-	C
111-rich%3:00:00::	0	-	A
111-rich%3:00:02::	1	-	A
111-rich%3:00:03::	0	-	A
111-rich%3:00:04::	0	-	A
111-rich%5:00:00:abundant:00	0	-	A
111-rich%5:00:00:colorful:00	0	-	A
111-rich%5:00:00:fruitful:00	0	-	A
111-rich%5:00:00:full:01	0	-	A
111-rich%5:00:00:tasty:00	0	-	A
111-rich%5:00:00:unwholesome:00	0	-	A
111-rich%5:00:00:valuable:00	0	-	A
111-rich%5:00:02:productive:00	0	-	A
112-rich%3:00:00::	1	-	A
112-rich%3:00:02::	1	-	A
112-rich%3:00:03::	0	-	A
112-rich%3:00:04::	0	-	A
112-rich%5:00:00:abundant:00	0	-	A
112-rich%5:00:00:colorful:00	0	-	A
112-rich%5:00:00:fruitful:00	0	-	A
112-rich%5:00:00:full:01	0	-	A
112-rich%5:00:00:tasty:00	0	-	A
112-rich%5:00:00:unwholesome:00	0	-	A
112-rich%5:00:00:valuable:00	1	-	A
112-rich%5:00:02:productive:00	0	-	A
113-rich%3:00:00::	1	-	A
113-rich%3:00:02::	1	-	A
113-rich%3:00:03::	1	-	A
113-rich%3:00:04::	0	-	A
113-rich%5:00:00:abundant:00	0	-	A
113-rich%5:00:00:colorful:00	0	-	A
113-rich%5:00:00:fruitful:00	0	-	A
113-rich%5:00:00:full:01	0	-	A
113-rich%5:00:00:tasty:00	0	-	A
113-rich%5:00:00:unwholesome:00	0	-	A
113-rich%5:00:00:valuable:00	1	-	A
113-rich%5:00:02:productive:00	1	-	A
114-rich%3:00:00::	0	-	A
114-rich%3:00:02::	1	-	A
114-rich%3:00:03::	0	-	A
114-rich%3:00:04::	0	-	A
114-rich%5:00:00:abundant:00	1	-	A
114-rich%5:00:00:colorful:00	0	-	A
114-rich%5:00:00:fruitful:00	0	-	A
114-rich%5:00:00:full:01	0	-	A
114-rich%5:00:00:tasty:00	1	-	A
114-rich%5:00:00:unwholesome:00	0	-	A
114-rich%5:00:00:valuable:00	0	-	A
114-rich%5:00:02:productive:00	0	-	A
115-rich%3:00:00::	0	-	A
115-rich%3:00:02::	1	-	A
115-rich%3:00:03::	0	-	A
115-rich%3:00:04::	0	-	A
115-rich%5:00:00:abundant:00	0	-	A
115-rich%5:00:00:colorful:00	0	-	A
115-rich%5:00:00:fruitful:00	0	-	A
115-rich%5:00:00:full:01	0	-	A
115-rich%5:00:00:tasty:00	0	-	A
115-rich%5:00:00:unwholesome:00	0	-	A
115-rich%5:00:00:valuable:00	0	-	A
115-rich%5:00:02:productive:00	0	-	A
116-rich%3:00:00::	1	-	A
116-rich%3:00:02::	0	-	A
116-rich%3:00:03::	0	-	A
116-rich%3:00:04::	0	-	A
116-rich%5:00:00:abundant:00	0	-	A
116-rich%5:00:00:colorful:00	0	-	A
116-rich%5:00:00:fruitful:00	0	-	A
116-rich%5:00:00:full:01	0	-	A
116-rich%5:00:00:tasty:00	0	-	A
116-rich%5:00:00:unwholesome:00	0	-	A
116-rich%5:00:00:valuable:00	0	-	A
116-rich%5:00:02:productive:00	0	-	A
117-rich%3:00:00::	0	-	A
117-rich%3:00:02::	0	-	A
117-rich%3:00:03::	0	-	A
117-rich%3:00:04::	0	-	A
117-rich%5:00:00:abundant:00	0	-	A
117-rich%5:00:00:colorful:00	1	-	A
117-rich%5:00:00:fruitful:00	0	-	A
117-rich%5:00:00:full:01	0	-	A
117-rich%5:00:00:tasty:00	0	-	A
117-rich%5:00:00:unwholesome:00	0	-	A
117-rich%5:00:00:valuable:00	0	-	A
117-rich%5:00:02:productive:00	0	-	A
118-rich%3:00:00::	0	-	A
118-rich%3:00:02::	1	-	A
118-rich%3:00:03::	0	-	A
118-rich%3:00:04::	0	-	A
118-rich%5:00:00:abundant:00	0	-	A
118-rich%5:00:00:colorful:00	0	-	A
118-rich%5:00:00:fruitful:00	0	-	A
118-rich%5:00:00:full:01	0	-	A
118-rich%5:00:00:tasty:00	0	-	A
118-rich%5:00:00:unwholesome:00	0	-	A
118-rich%5:00:00:valuable:00	0	-	A
118-rich%5:00:02:productive:00	0	-	A
119-rich%3:00:00::	1	-	A
119-rich%3:00:02::	0	-	A
119-rich%3:00:03::	0	-	A
119-rich%3:00:04::	0	-	A
119-rich%5:00:00:abundant:00	0	-	A
119-rich%5:00:00:colorful:00	0	-	A
119-rich%5:00:00:fruitful:00	0	-	A
119-rich%5:00:00:full:01	0	-	A
119-rich%5:00:00:tasty:00	0	-	A
119-rich%5:00:00:unwholesome:00	0	-	A
119-rich%5:00:00:valuable:00	0	-	A
119-rich%5:00:02:productive:00	0	-	A
120-rich%3:00:00::	1	-	A
120-rich%3:00:02::	0	-	A
120-rich%3:00:03::	0	-	A
120-rich%3:00:04::	0	-	A
120-rich%5:00:00:abundant:00	0	-	A
120-rich%5:00:00:colorful:00	0	-	A
120-rich%5:00:00:fruitful:00	0	-	A
120-rich%5:00:00:full:01	0	-	A
120-rich%5:00:00:tasty:00	0	-	A
120-rich%5:00:00:unwholesome:00	0	-	A
120-rich%5:00:00:valuable:00	0	-	A
120-rich%5:00:02:productive:00	0	-	A
111-rich%3:00:00::	0	-	F
111-rich%3:00:02::	0	-	F
111-rich%3:00:03::	0	-	F
111-rich%3:00:04::	0	-	F
111-rich%5:00:00:abundant:00	0	-	F
111-rich%5:00:00:colorful:00	1	-	F
111-rich%5:00:00:fruitful:00	0	-	F
111-rich%5:00:00:full:01	0	-	F
111-rich%5:00:00:tasty:00	0	-	F
111-rich%5:00:00:unwholesome:00	0	-	F
111-rich%5:00:00:valuable:00	0	-	F
111-rich%5:00:02:productive:00	0	-	F
112-rich%3:00:00::	1	-	F
112-rich%3:00:02::	0	-	F
112-rich%3:00:03::	0	-	F
112-rich%3:00:04::	0	-	F
112-rich%5:00:00:abundant:00	0	-	F
112-rich%5:00:00:colorful:00	0	-	F
112-rich%5:00:00:fruitful:00	0	-	F
112-rich%5:00:00:full:01	0	-	F
112-rich%5:00:00:tasty:00	0	-	F
112-rich%5:00:00:unwholesome:00	0	-	F
112-rich%5:00:00:valuable:00	0	-	F
112-rich%5:00:02:productive:00	0	-	F
113-rich%3:00:00::	1	-	F
113-rich%3:00:02::	0	-	F
113-rich%3:00:03::	0	-	F
113-rich%3:00:04::	0	-	F
113-rich%5:00:00:abundant:00	0	-	F
113-rich%5:00:00:colorful:00	0	-	F
113-rich%5:00:00:fruitful:00	0	-	F
113-rich%5:00:00:full:01	0	-	F
113-rich%5:00:00:tasty:00	0	-	F
113-rich%5:00:00:unwholesome:00	0	-	F
113-rich%5:00:00:valuable:00	0	-	F
113-rich%5:00:02:productive:00	0	-	F
114-rich%3:00:00::	0	-	F
114-rich%3:00:02::	1	-	F
114-rich%3:00:03::	0	-	F
114-rich%3:00:04::	0	-	F
114-rich%5:00:00:abundant:00	0	-	F
114-rich%5:00:00:colorful:00	0	-	F
114-rich%5:00:00:fruitful:00	0	-	F
114-rich%5:00:00:full:01	0	-	F
114-rich%5:00:00:tasty:00	0	-	F
114-rich%5:00:00:unwholesome:00	0	-	F
114-rich%5:00:00:valuable:00	0	-	F
114-rich%5:00:02:productive:00	0	-	F
115-rich%3:00:00::	1	-	F
115-rich%3:00:02::	0	-	F
115-rich%3:00:03::	0	-	F
115-rich%3:00:04::	0	-	F
