senseID	definition	lemma
rich%3:00:00::	possessing material wealth	rich.a
rich%3:00:02::	having an abundant supply of desirable qualities or substances (especially natural resources)	rich.a
rich%3:00:03::	suggestive of or characterized by great expense	rich.a
rich%3:00:04::	high in mineral content; having a high proportion of fuel to air; ,	rich.a
rich%5:00:00:abundant:00	affording an abundant supply	rich.a
rich%5:00:00:colorful:00	strong; intense	rich.a
rich%5:00:00:fruitful:00	marked by great fruitfulness	rich.a
rich%5:00:00:full:01	pleasantly full and mellow	rich.a
rich%5:00:00:tasty:00	marked by richness and fullness of flavor	rich.a
rich%5:00:00:unwholesome:00	containing plenty of fat, or eggs, or sugar	rich.a
rich%5:00:00:valuable:00	of great worth or quality	rich.a
rich%5:00:02:productive:00	very productive	rich.a
