instanceID	dataIDs	label_set	non_label
1941-ring%1:06:00::	1941,ring%1:06:00::	1,0	-
1941-ring%1:06:01::	1941,ring%1:06:01::	1,0	-
1941-ring%1:06:02::	1941,ring%1:06:02::	1,0	-
1941-ring%1:06:03::	1941,ring%1:06:03::	1,0	-
1941-ring%1:07:00::	1941,ring%1:07:00::	1,0	-
1941-ring%1:11:00::	1941,ring%1:11:00::	1,0	-
1941-ring%1:14:00::	1941,ring%1:14:00::	1,0	-
1941-ring%1:17:00::	1941,ring%1:17:00::	1,0	-
1941-ring%1:25:00::	1941,ring%1:25:00::	1,0	-
1942-ring%1:06:00::	1942,ring%1:06:00::	1,0	-
1942-ring%1:06:01::	1942,ring%1:06:01::	1,0	-
1942-ring%1:06:02::	1942,ring%1:06:02::	1,0	-
1942-ring%1:06:03::	1942,ring%1:06:03::	1,0	-
1942-ring%1:07:00::	1942,ring%1:07:00::	1,0	-
1942-ring%1:11:00::	1942,ring%1:11:00::	1,0	-
1942-ring%1:14:00::	1942,ring%1:14:00::	1,0	-
1942-ring%1:17:00::	1942,ring%1:17:00::	1,0	-
1942-ring%1:25:00::	1942,ring%1:25:00::	1,0	-
1943-ring%1:06:00::	1943,ring%1:06:00::	1,0	-
1943-ring%1:06:01::	1943,ring%1:06:01::	1,0	-
1943-ring%1:06:02::	1943,ring%1:06:02::	1,0	-
1943-ring%1:06:03::	1943,ring%1:06:03::	1,0	-
1943-ring%1:07:00::	1943,ring%1:07:00::	1,0	-
1943-ring%1:11:00::	1943,ring%1:11:00::	1,0	-
1943-ring%1:14:00::	1943,ring%1:14:00::	1,0	-
1943-ring%1:17:00::	1943,ring%1:17:00::	1,0	-
1943-ring%1:25:00::	1943,ring%1:25:00::	1,0	-
1944-ring%1:06:00::	1944,ring%1:06:00::	1,0	-
1944-ring%1:06:01::	1944,ring%1:06:01::	1,0	-
1944-ring%1:06:02::	1944,ring%1:06:02::	1,0	-
1944-ring%1:06:03::	1944,ring%1:06:03::	1,0	-
1944-ring%1:07:00::	1944,ring%1:07:00::	1,0	-
1944-ring%1:11:00::	1944,ring%1:11:00::	1,0	-
1944-ring%1:14:00::	1944,ring%1:14:00::	1,0	-
1944-ring%1:17:00::	1944,ring%1:17:00::	1,0	-
1944-ring%1:25:00::	1944,ring%1:25:00::	1,0	-
1945-ring%1:06:00::	1945,ring%1:06:00::	1,0	-
1945-ring%1:06:01::	1945,ring%1:06:01::	1,0	-
1945-ring%1:06:02::	1945,ring%1:06:02::	1,0	-
1945-ring%1:06:03::	1945,ring%1:06:03::	1,0	-
1945-ring%1:07:00::	1945,ring%1:07:00::	1,0	-
1945-ring%1:11:00::	1945,ring%1:11:00::	1,0	-
1945-ring%1:14:00::	1945,ring%1:14:00::	1,0	-
1945-ring%1:17:00::	1945,ring%1:17:00::	1,0	-
1945-ring%1:25:00::	1945,ring%1:25:00::	1,0	-
1946-ring%1:06:00::	1946,ring%1:06:00::	1,0	-
1946-ring%1:06:01::	1946,ring%1:06:01::	1,0	-
1946-ring%1:06:02::	1946,ring%1:06:02::	1,0	-
1946-ring%1:06:03::	1946,ring%1:06:03::	1,0	-
1946-ring%1:07:00::	1946,ring%1:07:00::	1,0	-
1946-ring%1:11:00::	1946,ring%1:11:00::	1,0	-
1946-ring%1:14:00::	1946,ring%1:14:00::	1,0	-
1946-ring%1:17:00::	1946,ring%1:17:00::	1,0	-
1946-ring%1:25:00::	1946,ring%1:25:00::	1,0	-
1947-ring%1:06:00::	1947,ring%1:06:00::	1,0	-
1947-ring%1:06:01::	1947,ring%1:06:01::	1,0	-
1947-ring%1:06:02::	1947,ring%1:06:02::	1,0	-
1947-ring%1:06:03::	1947,ring%1:06:03::	1,0	-
1947-ring%1:07:00::	1947,ring%1:07:00::	1,0	-
1947-ring%1:11:00::	1947,ring%1:11:00::	1,0	-
1947-ring%1:14:00::	1947,ring%1:14:00::	1,0	-
1947-ring%1:17:00::	1947,ring%1:17:00::	1,0	-
1947-ring%1:25:00::	1947,ring%1:25:00::	1,0	-
1948-ring%1:06:00::	1948,ring%1:06:00::	1,0	-
1948-ring%1:06:01::	1948,ring%1:06:01::	1,0	-
1948-ring%1:06:02::	1948,ring%1:06:02::	1,0	-
1948-ring%1:06:03::	1948,ring%1:06:03::	1,0	-
1948-ring%1:07:00::	1948,ring%1:07:00::	1,0	-
1948-ring%1:11:00::	1948,ring%1:11:00::	1,0	-
1948-ring%1:14:00::	1948,ring%1:14:00::	1,0	-
1948-ring%1:17:00::	1948,ring%1:17:00::	1,0	-
1948-ring%1:25:00::	1948,ring%1:25:00::	1,0	-
1949-ring%1:06:00::	1949,ring%1:06:00::	1,0	-
1949-ring%1:06:01::	1949,ring%1:06:01::	1,0	-
1949-ring%1:06:02::	1949,ring%1:06:02::	1,0	-
1949-ring%1:06:03::	1949,ring%1:06:03::	1,0	-
1949-ring%1:07:00::	1949,ring%1:07:00::	1,0	-
1949-ring%1:11:00::	1949,ring%1:11:00::	1,0	-
1949-ring%1:14:00::	1949,ring%1:14:00::	1,0	-
1949-ring%1:17:00::	1949,ring%1:17:00::	1,0	-
1949-ring%1:25:00::	1949,ring%1:25:00::	1,0	-
1950-ring%1:06:00::	1950,ring%1:06:00::	1,0	-
1950-ring%1:06:01::	1950,ring%1:06:01::	1,0	-
1950-ring%1:06:02::	1950,ring%1:06:02::	1,0	-
1950-ring%1:06:03::	1950,ring%1:06:03::	1,0	-
1950-ring%1:07:00::	1950,ring%1:07:00::	1,0	-
1950-ring%1:11:00::	1950,ring%1:11:00::	1,0	-
1950-ring%1:14:00::	1950,ring%1:14:00::	1,0	-
1950-ring%1:17:00::	1950,ring%1:17:00::	1,0	-
1950-ring%1:25:00::	1950,ring%1:25:00::	1,0	-
