instanceID	label	comment	annotator
1941-ring%1:06:00::	0	-	C
1941-ring%1:06:01::	0	-	C
1941-ring%1:06:02::	0	-	C
1941-ring%1:06:03::	0	-	C
1941-ring%1:07:00::	0	-	C
1941-ring%1:11:00::	0	-	C
1941-ring%1:14:00::	0	-	C
1941-ring%1:17:00::	0	-	C
1941-ring%1:25:00::	1	-	C
1942-ring%1:06:00::	0	-	C
1942-ring%1:06:01::	0	-	C
1942-ring%1:06:02::	1	-	C
1942-ring%1:06:03::	0	-	C
1942-ring%1:07:00::	0	-	C
1942-ring%1:11:00::	0	-	C
1942-ring%1:14:00::	0	-	C
1942-ring%1:17:00::	0	-	C
1942-ring%1:25:00::	0	-	C
1943-ring%1:06:00::	0	-	C
1943-ring%1:06:01::	0	-	C
1943-ring%1:06:02::	0	-	C
1943-ring%1:06:03::	0	-	C
1943-ring%1:07:00::	0	-	C
1943-ring%1:11:00::	0	-	C
1943-ring%1:14:00::	0	-	C
1943-ring%1:17:00::	0	-	C
1943-ring%1:25:00::	1	-	C
1944-ring%1:06:00::	0	-	C
1944-ring%1:06:01::	0	-	C
1944-ring%1:06:02::	0	-	C
1944-ring%1:06:03::	0	-	C
1944-ring%1:07:00::	0	-	C
1944-ring%1:11:00::	0	-	C
1944-ring%1:14:00::	1	-	C
1944-ring%1:17:00::	0	-	C
1944-ring%1:25:00::	0	-	C
1945-ring%1:06:00::	0	-	C
1945-ring%1:06:01::	0	-	C
1945-ring%1:06:02::	0	-	C
1945-ring%1:06:03::	0	-	C
1945-ring%1:07:00::	0	-	C
1945-ring%1:11:00::	1	-	C
1945-ring%1:14:00::	0	-	C
1945-ring%1:17:00::	0	-	C
1945-ring%1:25:00::	0	-	C
1946-ring%1:06:00::	0	-	C
1946-ring%1:06:01::	0	-	C
1946-ring%1:06:02::	0	-	C
1946-ring%1:06:03::	0	-	C
1946-ring%1:07:00::	1	-	C
1946-ring%1:11:00::	0	-	C
1946-ring%1:14:00::	0	-	C
1946-ring%1:17:00::	0	-	C
1946-ring%1:25:00::	0	-	C
1947-ring%1:06:00::	0	-	C
1947-ring%1:06:01::	0	-	C
1947-ring%1:06:02::	0	-	C
1947-ring%1:06:03::	0	-	C
1947-ring%1:07:00::	0	-	C
1947-ring%1:11:00::	0	-	C
1947-ring%1:14:00::	0	-	C
1947-ring%1:17:00::	0	-	C
1947-ring%1:25:00::	1	-	C
1948-ring%1:06:00::	0	-	C
1948-ring%1:06:01::	0	-	C
1948-ring%1:06:02::	0	-	C
1948-ring%1:06:03::	0	-	C
1948-ring%1:07:00::	0	-	C
1948-ring%1:11:00::	0	-	C
1948-ring%1:14:00::	1	-	C
1948-ring%1:17:00::	0	-	C
1948-ring%1:25:00::	0	-	C
1949-ring%1:06:00::	0	-	C
1949-ring%1:06:01::	0	-	C
1949-ring%1:06:02::	1	-	C
1949-ring%1:06:03::	0	-	C
1949-ring%1:07:00::	0	-	C
1949-ring%1:11:00::	0	-	C
1949-ring%1:14:00::	0	-	C
1949-ring%1:17:00::	0	-	C
1949-ring%1:25:00::	0	-	C
1950-ring%1:06:00::	0	-	C
1950-ring%1:06:01::	0	-	C
1950-ring%1:06:02::	0	-	C
1950-ring%1:06:03::	0	-	C
1950-ring%1:07:00::	0	-	C
1950-ring%1:11:00::	0	-	C
1950-ring%1:14:00::	0	-	C
1950-ring%1:17:00::	1	-	C
1950-ring%1:25:00::	0	-	C
1941-ring%1:06:00::	0	-	A
1941-ring%1:06:01::	1	-	A
1941-ring%1:06:02::	0	-	A
1941-ring%1:06:03::	0	-	A
1941-ring%1:07:00::	0	-	A
1941-ring%1:11:00::	0	-	A
1941-ring%1:14:00::	0	-	A
1941-ring%1:17:00::	0	-	A
1941-ring%1:25:00::	0	-	A
1942-ring%1:06:00::	1	-	A
1942-ring%1:06:01::	1	-	A
1942-ring%1:06:02::	1	-	A
1942-ring%1:06:03::	0	-	A
1942-ring%1:07:00::	0	-	A
1942-ring%1:11:00::	0	-	A
1942-ring%1:14:00::	0	-	A
1942-ring%1:17:00::	0	-	A
1942-ring%1:25:00::	0	-	A
1943-ring%1:06:00::	0	-	A
1943-ring%1:06:01::	0	-	A
1943-ring%1:06:02::	0	-	A
1943-ring%1:06:03::	0	-	A
1943-ring%1:07:00::	0	-	A
1943-ring%1:11:00::	0	-	A
1943-ring%1:14:00::	0	-	A
1943-ring%1:17:00::	0	-	A
1943-ring%1:25:00::	1	-	A
1944-ring%1:06:00::	0	-	A
1944-ring%1:06:01::	0	-	A
1944-ring%1:06:02::	0	-	A
1944-ring%1:06:03::	0	-	A
1944-ring%1:07:00::	0	-	A
1944-ring%1:11:00::	0	-	A
1944-ring%1:14:00::	0	-	A
1944-ring%1:17:00::	0	-	A
1944-ring%1:25:00::	1	-	A
1945-ring%1:06:00::	0	-	A
1945-ring%1:06:01::	0	-	A
1945-ring%1:06:02::	0	-	A
1945-ring%1:06:03::	0	-	A
1945-ring%1:07:00::	0	-	A
1945-ring%1:11:00::	1	-	A
1945-ring%1:14:00::	0	-	A
1945-ring%1:17:00::	0	-	A
1945-ring%1:25:00::	0	-	A
1946-ring%1:06:00::	0	-	A
1946-ring%1:06:01::	0	-	A
1946-ring%1:06:02::	0	-	A
1946-ring%1:06:03::	0	-	A
1946-ring%1:07:00::	1	-	A
1946-ring%1:11:00::	0	-	A
1946-ring%1:14:00::	0	-	A
1946-ring%1:17:00::	0	-	A
1946-ring%1:25:00::	0	-	A
1947-ring%1:06:00::	0	-	A
1947-ring%1:06:01::	0	-	A
1947-ring%1:06:02::	0	-	A
1947-ring%1:06:03::	0	-	A
1947-ring%1:07:00::	0	-	A
1947-ring%1:11:00::	0	-	A
1947-ring%1:14:00::	0	-	A
1947-ring%1:17:00::	1	-	A
1947-ring%1:25:00::	0	-	A
1948-ring%1:06:00::	0	-	A
1948-ring%1:06:01::	0	-	A
1948-ring%1:06:02::	0	-	A
1948-ring%1:06:03::	0	-	A
