instanceID	dataIDs	label_set	non_label
281-rough%3:00:00::	281,rough%3:00:00::	1,0	-
281-rough%3:00:02::	281,rough%3:00:02::	1,0	-
281-rough%3:00:04::	281,rough%3:00:04::	1,0	-
281-rough%3:00:05::	281,rough%3:00:05::	1,0	-
281-rough%5:00:00:aggressive:00	281,rough%5:00:00:aggressive:00	1,0	-
281-rough%5:00:00:cacophonous:00	281,rough%5:00:00:cacophonous:00	1,0	-
281-rough%5:00:00:difficult:00	281,rough%5:00:00:difficult:00	1,0	-
281-rough%5:00:00:inexact:00	281,rough%5:00:00:inexact:00	1,0	-
281-rough%5:00:00:stormy:00	281,rough%5:00:00:stormy:00	1,0	-
281-rough%5:00:00:unkind:00	281,rough%5:00:00:unkind:00	1,0	-
281-rough%5:00:00:unpleasant:00	281,rough%5:00:00:unpleasant:00	1,0	-
281-rough%5:00:00:unpolished:00	281,rough%5:00:00:unpolished:00	1,0	-
281-rough%5:00:00:unrefined:01	281,rough%5:00:00:unrefined:01	1,0	-
281-rough%5:00:00:unskilled:00	281,rough%5:00:00:unskilled:00	1,0	-
282-rough%3:00:00::	282,rough%3:00:00::	1,0	-
282-rough%3:00:02::	282,rough%3:00:02::	1,0	-
282-rough%3:00:04::	282,rough%3:00:04::	1,0	-
282-rough%3:00:05::	282,rough%3:00:05::	1,0	-
282-rough%5:00:00:aggressive:00	282,rough%5:00:00:aggressive:00	1,0	-
282-rough%5:00:00:cacophonous:00	282,rough%5:00:00:cacophonous:00	1,0	-
282-rough%5:00:00:difficult:00	282,rough%5:00:00:difficult:00	1,0	-
282-rough%5:00:00:inexact:00	282,rough%5:00:00:inexact:00	1,0	-
282-rough%5:00:00:stormy:00	282,rough%5:00:00:stormy:00	1,0	-
282-rough%5:00:00:unkind:00	282,rough%5:00:00:unkind:00	1,0	-
282-rough%5:00:00:unpleasant:00	282,rough%5:00:00:unpleasant:00	1,0	-
282-rough%5:00:00:unpolished:00	282,rough%5:00:00:unpolished:00	1,0	-
282-rough%5:00:00:unrefined:01	282,rough%5:00:00:unrefined:01	1,0	-
282-rough%5:00:00:unskilled:00	282,rough%5:00:00:unskilled:00	1,0	-
283-rough%3:00:00::	283,rough%3:00:00::	1,0	-
283-rough%3:00:02::	283,rough%3:00:02::	1,0	-
283-rough%3:00:04::	283,rough%3:00:04::	1,0	-
283-rough%3:00:05::	283,rough%3:00:05::	1,0	-
283-rough%5:00:00:aggressive:00	283,rough%5:00:00:aggressive:00	1,0	-
283-rough%5:00:00:cacophonous:00	283,rough%5:00:00:cacophonous:00	1,0	-
283-rough%5:00:00:difficult:00	283,rough%5:00:00:difficult:00	1,0	-
283-rough%5:00:00:inexact:00	283,rough%5:00:00:inexact:00	1,0	-
283-rough%5:00:00:stormy:00	283,rough%5:00:00:stormy:00	1,0	-
283-rough%5:00:00:unkind:00	283,rough%5:00:00:unkind:00	1,0	-
283-rough%5:00:00:unpleasant:00	283,rough%5:00:00:unpleasant:00	1,0	-
283-rough%5:00:00:unpolished:00	283,rough%5:00:00:unpolished:00	1,0	-
283-rough%5:00:00:unrefined:01	283,rough%5:00:00:unrefined:01	1,0	-
283-rough%5:00:00:unskilled:00	283,rough%5:00:00:unskilled:00	1,0	-
284-rough%3:00:00::	284,rough%3:00:00::	1,0	-
284-rough%3:00:02::	284,rough%3:00:02::	1,0	-
284-rough%3:00:04::	284,rough%3:00:04::	1,0	-
284-rough%3:00:05::	284,rough%3:00:05::	1,0	-
284-rough%5:00:00:aggressive:00	284,rough%5:00:00:aggressive:00	1,0	-
284-rough%5:00:00:cacophonous:00	284,rough%5:00:00:cacophonous:00	1,0	-
284-rough%5:00:00:difficult:00	284,rough%5:00:00:difficult:00	1,0	-
284-rough%5:00:00:inexact:00	284,rough%5:00:00:inexact:00	1,0	-
284-rough%5:00:00:stormy:00	284,rough%5:00:00:stormy:00	1,0	-
284-rough%5:00:00:unkind:00	284,rough%5:00:00:unkind:00	1,0	-
284-rough%5:00:00:unpleasant:00	284,rough%5:00:00:unpleasant:00	1,0	-
284-rough%5:00:00:unpolished:00	284,rough%5:00:00:unpolished:00	1,0	-
284-rough%5:00:00:unrefined:01	284,rough%5:00:00:unrefined:01	1,0	-
284-rough%5:00:00:unskilled:00	284,rough%5:00:00:unskilled:00	1,0	-
