instanceID	label	comment	annotator
281-rough%3:00:00::	0	-	C
281-rough%3:00:02::	0	-	C
281-rough%3:00:04::	0	-	C
281-rough%3:00:05::	0	-	C
281-rough%5:00:00:aggressive:00	0	-	C
281-rough%5:00:00:cacophonous:00	0	-	C
281-rough%5:00:00:difficult:00	0	-	C
281-rough%5:00:00:inexact:00	1	-	C
281-rough%5:00:00:stormy:00	0	-	C
281-rough%5:00:00:unkind:00	0	-	C
281-rough%5:00:00:unpleasant:00	0	-	C
281-rough%5:00:00:unpolished:00	0	-	C
281-rough%5:00:00:unrefined:01	0	-	C
281-rough%5:00:00:unskilled:00	0	-	C
282-rough%3:00:00::	0	-	C
282-rough%3:00:02::	0	-	C
282-rough%3:00:04::	0	-	C
282-rough%3:00:05::	1	-	C
282-rough%5:00:00:aggressive:00	0	-	C
282-rough%5:00:00:cacophonous:00	0	-	C
282-rough%5:00:00:difficult:00	0	-	C
282-rough%5:00:00:inexact:00	0	-	C
282-rough%5:00:00:stormy:00	0	-	C
282-rough%5:00:00:unkind:00	0	-	C
282-rough%5:00:00:unpleasant:00	0	-	C
282-rough%5:00:00:unpolished:00	0	-	C
282-rough%5:00:00:unrefined:01	0	-	C
282-rough%5:00:00:unskilled:00	0	-	C
283-rough%3:00:00::	1	-	C
283-rough%3:00:02::	0	-	C
283-rough%3:00:04::	0	-	C
283-rough%3:00:05::	0	-	C
283-rough%5:00:00:aggressive:00	0	-	C
283-rough%5:00:00:cacophonous:00	0	-	C
283-rough%5:00:00:difficult:00	0	-	C
283-rough%5:00:00:inexact:00	0	-	C
283-rough%5:00:00:stormy:00	0	-	C
283-rough%5:00:00:unkind:00	0	-	C
283-rough%5:00:00:unpleasant:00	0	-	C
283-rough%5:00:00:unpolished:00	0	-	C
283-rough%5:00:00:unrefined:01	0	-	C
283-rough%5:00:00:unskilled:00	0	-	C
284-rough%3:00:00::	0	-	C
284-rough%3:00:02::	0	-	C
284-rough%3:00:04::	0	-	C
284-rough%3:00:05::	0	-	C
284-rough%5:00:00:aggressive:00	0	-	C
284-rough%5:00:00:cacophonous:00	0	-	C
284-rough%5:00:00:difficult:00	0	-	C
284-rough%5:00:00:inexact:00	1	-	C
284-rough%5:00:00:stormy:00	0	-	C
284-rough%5:00:00:unkind:00	0	-	C
284-rough%5:00:00:unpleasant:00	0	-	C
284-rough%5:00:00:unpolished:00	0	-	C
284-rough%5:00:00:unrefined:01	0	-	C
284-rough%5:00:00:unskilled:00	0	-	C
285-rough%3:00:00::	0	-	C
285-rough%3:00:02::	0	-	C
285-rough%3:00:04::	0	-	C
285-rough%3:00:05::	0	-	C
285-rough%5:00:00:aggressive:00	0	-	C
285-rough%5:00:00:cacophonous:00	0	-	C
285-rough%5:00:00:difficult:00	0	-	C
285-rough%5:00:00:inexact:00	1	-	C
285-rough%5:00:00:stormy:00	0	-	C
285-rough%5:00:00:unkind:00	0	-	C
285-rough%5:00:00:unpleasant:00	0	-	C
285-rough%5:00:00:unpolished:00	0	-	C
285-rough%5:00:00:unrefined:01	0	-	C
285-rough%5:00:00:unskilled:00	0	-	C
286-rough%3:00:00::	0	-	C
286-rough%3:00:02::	0	-	C
286-rough%3:00:04::	0	-	C
286-rough%3:00:05::	0	-	C
286-rough%5:00:00:aggressive:00	0	-	C
286-rough%5:00:00:cacophonous:00	0	-	C
286-rough%5:00:00:difficult:00	0	-	C
286-rough%5:00:00:inexact:00	1	-	C
286-rough%5:00:00:stormy:00	0	-	C
286-rough%5:00:00:unkind:00	0	-	C
286-rough%5:00:00:unpleasant:00	0	-	C
286-rough%5:00:00:unpolished:00	0	-	C
286-rough%5:00:00:unrefined:01	0	-	C
286-rough%5:00:00:unskilled:00	0	-	C
287-rough%3:00:00::	0	-	C
287-rough%3:00:02::	0	-	C
287-rough%3:00:04::	0	-	C
287-rough%3:00:05::	0	-	C
287-rough%5:00:00:aggressive:00	0	-	C
287-rough%5:00:00:cacophonous:00	0	-	C
287-rough%5:00:00:difficult:00	0	-	C
287-rough%5:00:00:inexact:00	0	-	C
287-rough%5:00:00:stormy:00	0	-	C
287-rough%5:00:00:unkind:00	1	-	C
287-rough%5:00:00:unpleasant:00	0	-	C
287-rough%5:00:00:unpolished:00	0	-	C
287-rough%5:00:00:unrefined:01	0	-	C
287-rough%5:00:00:unskilled:00	0	-	C
288-rough%3:00:00::	0	-	C
288-rough%3:00:02::	0	-	C
288-rough%3:00:04::	0	-	C
288-rough%3:00:05::	1	-	C
288-rough%5:00:00:aggressive:00	0	-	C
288-rough%5:00:00:cacophonous:00	0	-	C
288-rough%5:00:00:difficult:00	0	-	C
288-rough%5:00:00:inexact:00	0	-	C
288-rough%5:00:00:stormy:00	0	-	C
288-rough%5:00:00:unkind:00	0	-	C
288-rough%5:00:00:unpleasant:00	0	-	C
288-rough%5:00:00:unpolished:00	0	-	C
288-rough%5:00:00:unrefined:01	0	-	C
288-rough%5:00:00:unskilled:00	0	-	C
289-rough%3:00:00::	0	-	C
289-rough%3:00:02::	0	-	C
289-rough%3:00:04::	0	-	C
289-rough%3:00:05::	0	-	C
289-rough%5:00:00:aggressive:00	1	-	C
289-rough%5:00:00:cacophonous:00	0	-	C
289-rough%5:00:00:difficult:00	0	-	C
289-rough%5:00:00:inexact:00	0	-	C
289-rough%5:00:00:stormy:00	0	-	C
289-rough%5:00:00:unkind:00	0	-	C
289-rough%5:00:00:unpleasant:00	0	-	C
289-rough%5:00:00:unpolished:00	0	-	C
289-rough%5:00:00:unrefined:01	0	-	C
289-rough%5:00:00:unskilled:00	0	-	C
290-rough%3:00:00::	0	-	C
290-rough%3:00:02::	0	-	C
290-rough%3:00:04::	0	-	C
290-rough%3:00:05::	0	-	C
290-rough%5:00:00:aggressive:00	0	-	C
290-rough%5:00:00:cacophonous:00	0	-	C
290-rough%5:00:00:difficult:00	1	-	C
290-rough%5:00:00:inexact:00	0	-	C
290-rough%5:00:00:stormy:00	0	-	C
290-rough%5:00:00:unkind:00	0	-	C
290-rough%5:00:00:unpleasant:00	0	-	C
290-rough%5:00:00:unpolished:00	0	-	C
290-rough%5:00:00:unrefined:01	0	-	C
