instanceID	dataIDs	label_set	non_label
1951-scrap%1:04:00::	1951,scrap%1:04:00::	1,0	-
1951-scrap%1:06:00::	1951,scrap%1:06:00::	1,0	-
1951-scrap%1:17:00::	1951,scrap%1:17:00::	1,0	-
1951-scrap%1:27:00::	1951,scrap%1:27:00::	1,0	-
1952-scrap%1:04:00::	1952,scrap%1:04:00::	1,0	-
1952-scrap%1:06:00::	1952,scrap%1:06:00::	1,0	-
1952-scrap%1:17:00::	1952,scrap%1:17:00::	1,0	-
1952-scrap%1:27:00::	1952,scrap%1:27:00::	1,0	-
1953-scrap%1:04:00::	1953,scrap%1:04:00::	1,0	-
1953-scrap%1:06:00::	1953,scrap%1:06:00::	1,0	-
1953-scrap%1:17:00::	1953,scrap%1:17:00::	1,0	-
1953-scrap%1:27:00::	1953,scrap%1:27:00::	1,0	-
1954-scrap%1:04:00::	1954,scrap%1:04:00::	1,0	-
1954-scrap%1:06:00::	1954,scrap%1:06:00::	1,0	-
1954-scrap%1:17:00::	1954,scrap%1:17:00::	1,0	-
1954-scrap%1:27:00::	1954,scrap%1:27:00::	1,0	-
1955-scrap%1:04:00::	1955,scrap%1:04:00::	1,0	-
1955-scrap%1:06:00::	1955,scrap%1:06:00::	1,0	-
1955-scrap%1:17:00::	1955,scrap%1:17:00::	1,0	-
1955-scrap%1:27:00::	1955,scrap%1:27:00::	1,0	-
1956-scrap%1:04:00::	1956,scrap%1:04:00::	1,0	-
1956-scrap%1:06:00::	1956,scrap%1:06:00::	1,0	-
1956-scrap%1:17:00::	1956,scrap%1:17:00::	1,0	-
1956-scrap%1:27:00::	1956,scrap%1:27:00::	1,0	-
1957-scrap%1:04:00::	1957,scrap%1:04:00::	1,0	-
1957-scrap%1:06:00::	1957,scrap%1:06:00::	1,0	-
1957-scrap%1:17:00::	1957,scrap%1:17:00::	1,0	-
1957-scrap%1:27:00::	1957,scrap%1:27:00::	1,0	-
1958-scrap%1:04:00::	1958,scrap%1:04:00::	1,0	-
1958-scrap%1:06:00::	1958,scrap%1:06:00::	1,0	-
1958-scrap%1:17:00::	1958,scrap%1:17:00::	1,0	-
1958-scrap%1:27:00::	1958,scrap%1:27:00::	1,0	-
1959-scrap%1:04:00::	1959,scrap%1:04:00::	1,0	-
1959-scrap%1:06:00::	1959,scrap%1:06:00::	1,0	-
1959-scrap%1:17:00::	1959,scrap%1:17:00::	1,0	-
1959-scrap%1:27:00::	1959,scrap%1:27:00::	1,0	-
1960-scrap%1:04:00::	1960,scrap%1:04:00::	1,0	-
1960-scrap%1:06:00::	1960,scrap%1:06:00::	1,0	-
1960-scrap%1:17:00::	1960,scrap%1:17:00::	1,0	-
1960-scrap%1:27:00::	1960,scrap%1:27:00::	1,0	-
