instanceID	label	comment	annotator
1951-scrap%1:04:00::	0	-	C
1951-scrap%1:06:00::	0	-	C
1951-scrap%1:17:00::	0	-	C
1951-scrap%1:27:00::	1	-	C
1952-scrap%1:04:00::	0	-	C
1952-scrap%1:06:00::	0	-	C
1952-scrap%1:17:00::	0	-	C
1952-scrap%1:27:00::	1	-	C
1953-scrap%1:04:00::	0	-	C
1953-scrap%1:06:00::	1	-	C
1953-scrap%1:17:00::	0	-	C
1953-scrap%1:27:00::	0	-	C
1954-scrap%1:04:00::	0	-	C
1954-scrap%1:06:00::	0	-	C
1954-scrap%1:17:00::	0	-	C
1954-scrap%1:27:00::	1	-	C
1955-scrap%1:04:00::	0	-	C
1955-scrap%1:06:00::	0	-	C
1955-scrap%1:17:00::	0	-	C
1955-scrap%1:27:00::	1	-	C
1956-scrap%1:04:00::	0	-	C
1956-scrap%1:06:00::	0	-	C
1956-scrap%1:17:00::	1	-	C
1956-scrap%1:27:00::	0	-	C
1957-scrap%1:04:00::	0	-	C
1957-scrap%1:06:00::	0	-	C
1957-scrap%1:17:00::	0	-	C
1957-scrap%1:27:00::	1	-	C
1958-scrap%1:04:00::	0	-	C
1958-scrap%1:06:00::	0	-	C
1958-scrap%1:17:00::	0	-	C
1958-scrap%1:27:00::	1	-	C
1959-scrap%1:04:00::	0	-	C
1959-scrap%1:06:00::	0	-	C
1959-scrap%1:17:00::	0	-	C
1959-scrap%1:27:00::	1	-	C
1960-scrap%1:04:00::	0	-	C
1960-scrap%1:06:00::	0	-	C
1960-scrap%1:17:00::	0	-	C
1960-scrap%1:27:00::	1	-	C
1951-scrap%1:04:00::	0	-	A
1951-scrap%1:06:00::	0	-	A
1951-scrap%1:17:00::	0	-	A
1951-scrap%1:27:00::	1	-	A
1952-scrap%1:04:00::	0	-	A
1952-scrap%1:06:00::	0	-	A
1952-scrap%1:17:00::	0	-	A
1952-scrap%1:27:00::	1	-	A
1953-scrap%1:04:00::	0	-	A
1953-scrap%1:06:00::	1	-	A
1953-scrap%1:17:00::	0	-	A
1953-scrap%1:27:00::	0	-	A
1954-scrap%1:04:00::	0	-	A
1954-scrap%1:06:00::	0	-	A
1954-scrap%1:17:00::	1	-	A
1954-scrap%1:27:00::	1	-	A
1955-scrap%1:04:00::	0	-	A
1955-scrap%1:06:00::	0	-	A
1955-scrap%1:17:00::	1	-	A
1955-scrap%1:27:00::	0	-	A
1956-scrap%1:04:00::	0	-	A
1956-scrap%1:06:00::	1	-	A
1956-scrap%1:17:00::	1	-	A
1956-scrap%1:27:00::	0	-	A
1957-scrap%1:04:00::	0	-	A
1957-scrap%1:06:00::	0	-	A
1957-scrap%1:17:00::	0	-	A
1957-scrap%1:27:00::	1	-	A
1958-scrap%1:04:00::	0	-	A
1958-scrap%1:06:00::	0	-	A
1958-scrap%1:17:00::	0	-	A
1958-scrap%1:27:00::	1	-	A
1959-scrap%1:04:00::	0	-	A
1959-scrap%1:06:00::	1	-	A
1959-scrap%1:17:00::	0	-	A
1959-scrap%1:27:00::	0	-	A
1960-scrap%1:04:00::	0	-	A
1960-scrap%1:06:00::	1	-	A
1960-scrap%1:17:00::	1	-	A
1960-scrap%1:27:00::	0	-	A
1951-scrap%1:04:00::	0	-	F
1951-scrap%1:06:00::	0	-	F
1951-scrap%1:17:00::	0	-	F
1951-scrap%1:27:00::	1	-	F
1952-scrap%1:04:00::	0	-	F
1952-scrap%1:06:00::	1	-	F
1952-scrap%1:17:00::	0	-	F
1952-scrap%1:27:00::	0	-	F
1953-scrap%1:04:00::	0	-	F
1953-scrap%1:06:00::	1	-	F
1953-scrap%1:17:00::	0	-	F
1953-scrap%1:27:00::	0	-	F
1954-scrap%1:04:00::	0	-	F
1954-scrap%1:06:00::	0	-	F
1954-scrap%1:17:00::	0	-	F
1954-scrap%1:27:00::	1	-	F
1955-scrap%1:04:00::	0	-	F
1955-scrap%1:06:00::	1	-	F
1955-scrap%1:17:00::	0	-	F
1955-scrap%1:27:00::	0	-	F
1956-scrap%1:04:00::	0	-	F
1956-scrap%1:06:00::	1	-	F
1956-scrap%1:17:00::	0	-	F
1956-scrap%1:27:00::	0	-	F
1957-scrap%1:04:00::	0	-	F
1957-scrap%1:06:00::	0	-	F
1957-scrap%1:17:00::	0	-	F
1957-scrap%1:27:00::	1	-	F
1958-scrap%1:04:00::	0	-	F
1958-scrap%1:06:00::	0	-	F
1958-scrap%1:17:00::	0	-	F
1958-scrap%1:27:00::	1	-	F
1959-scrap%1:04:00::	0	-	F
