senseID	definition	lemma
order%2:30:00::	bring order to or into	order.v
order%2:30:01::	place in a certain order	order.v
order%2:31:00::	assign a rank or rating to	order.v
order%2:31:01::	arrange thoughts, ideas, temporal events	order.v
order%2:32:00::	make a request for something	order.v
order%2:32:01::	give instructions to or direct somebody to do something with authority	order.v
order%2:32:02::	issue commands or orders for	order.v
order%2:41:01::	bring into conformity with rules or principles or usage; impose regulations	order.v
order%2:41:02::	appoint to a clerical posts	order.v
range%1:06:00::	a place for shooting (firing or driving) projectiles of various kinds	range.n
range%1:06:01::	a kitchen appliance used for cooking food	range.n
range%1:07:00::	an area in which something acts or operates or has power or control:	range.n
range%1:09:00::	the limit of capability	range.n
range%1:14:00::	a variety of different things or activities	range.n
range%1:14:01::	(mathematics) the set of values of the dependent variable for which a function is defined	range.n
range%1:15:01::	the limits within which something can be effective	range.n
range%1:15:02::	a large tract of grassy open land on which livestock can graze	range.n
range%1:17:00::	a series of hills or mountains	range.n
fire%2:30:00::	bake in a kiln so as to harden	fire.v
fire%2:30:01::	destroy by fire	fire.v
fire%2:33:00::	cause to go off	fire.v
fire%2:33:01::	start firing a weapon	fire.v
fire%2:33:02::	go off or discharge	fire.v
fire%2:37:00::	call forth (emotions, feelings, and responses)	fire.v
fire%2:38:02::	drive out or away by or as if by fire	fire.v
fire%2:40:00::	provide with fuel	fire.v
fire%2:41:00::	terminate the employment of; discharge from an office or position	fire.v
stiff%3:00:00::	having a strong physiological or chemical effect; ; ; ,	stiff.a
stiff%5:00:00:formal:01	rigidly formal	stiff.a
stiff%5:00:00:immobile:00	not moving or operating freely	stiff.a
stiff%5:00:00:intoxicated:00	very drunk	stiff.a
stiff%5:00:00:resolute:00	marked by firm determination or resolution; not shakable	stiff.a
stiff%5:00:00:strong:00	powerful	stiff.a
stiff%5:00:01:inflexible:01	incapable of or resistant to bending	stiff.a
account%1:07:00::	the quality of taking advantage	account.n
account%1:07:01::	importance or value	account.n
account%1:10:00::	a record or narrative description of past events	account.n
account%1:10:02::	an itemized statement of money owed for goods shipped or services rendered	account.n
account%1:10:03::	a short account of the news	account.n
account%1:10:04::	a statement that makes something comprehensible by describing the relevant structure or operation or circumstances etc.	account.n
account%1:10:05::	the act of informing by verbal report	account.n
account%1:16:00::	grounds	account.n
account%1:21:02::	a statement of recent transactions and the resulting balance	account.n
account%1:26:00::	a formal contractual relationship established to provide for regular banking or brokerage or business services	account.n
ring%1:06:00::	jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger	ring.n
ring%1:06:01::	a strip of material attached to the leg of a bird to identify it (as in studies of bird migration)	ring.n
ring%1:06:02::	a rigid circular band of metal or wood or other material used for holding or fastening or hanging or pulling	ring.n
ring%1:06:03::	a platform usually marked off by ropes in which contestants box or wrestle	ring.n
ring%1:07:00::	a characteristic sound	ring.n
ring%1:11:00::	the sound of a bell ringing; ; ; --E. A. Poe	ring.n
ring%1:14:00::	an association of criminals	ring.n
ring%1:17:00::	(chemistry) a chain of atoms in a molecule that forms a closed loop	ring.n
ring%1:25:00::	a toroidal shape	ring.n
bright%3:00:00::	emitting or reflecting light readily or in large amounts	bright.a
bright%3:00:02::	not made dim or less bright	bright.a
bright%5:00:00:auspicious:00	full or promise	bright.a
bright%5:00:00:colorful:00	having striking color	bright.a
bright%5:00:00:glorious:00	splendid	bright.a
bright%5:00:00:happy:00	characterized by happiness or gladness	bright.a
bright%5:00:00:intelligent:00	characterized by quickness and ease in learning	bright.a
bright%5:00:00:light:06	having lots of light either natural or artificial	bright.a
bright%5:00:00:polished:00	made smooth and bright by or as if by rubbing; reflecting a sheen or glow	bright.a
bright%5:00:00:reverberant:00	clear and sharp and ringing	bright.a
investigator%1:18:00::	someone who investigates	investigator.n
investigator%1:18:01::	a scientist who devotes himself to doing research	investigator.n
investigator%1:18:02::	a police officer who investigates crimes	investigator.n
rich%3:00:00::	possessing material wealth	rich.a
rich%3:00:02::	having an abundant supply of desirable qualities or substances (especially natural resources)	rich.a
rich%3:00:03::	suggestive of or characterized by great expense	rich.a
rich%3:00:04::	high in mineral content; having a high proportion of fuel to air; ,	rich.a
rich%5:00:00:abundant:00	affording an abundant supply	rich.a
rich%5:00:00:colorful:00	strong; intense	rich.a
rich%5:00:00:fruitful:00	marked by great fruitfulness	rich.a
rich%5:00:00:full:01	pleasantly full and mellow	rich.a
rich%5:00:00:tasty:00	marked by richness and fullness of flavor	rich.a
rich%5:00:00:unwholesome:00	containing plenty of fat, or eggs, or sugar	rich.a
rich%5:00:00:valuable:00	of great worth or quality	rich.a
rich%5:00:02:productive:00	very productive	rich.a
