instanceID	label	comment	annotator
121-severely%4:02:01::	0	-	C
121-severely%4:02:02::	1	-	C
121-severely%4:02:03::	0	-	C
122-severely%4:02:01::	1	-	C
122-severely%4:02:02::	0	-	C
122-severely%4:02:03::	0	-	C
123-severely%4:02:01::	1	-	C
123-severely%4:02:02::	0	-	C
123-severely%4:02:03::	0	-	C
124-severely%4:02:01::	0	-	C
124-severely%4:02:02::	1	-	C
124-severely%4:02:03::	0	-	C
125-severely%4:02:01::	1	-	C
125-severely%4:02:02::	0	-	C
125-severely%4:02:03::	0	-	C
126-severely%4:02:01::	1	-	C
126-severely%4:02:02::	0	-	C
126-severely%4:02:03::	0	-	C
127-severely%4:02:01::	1	-	C
127-severely%4:02:02::	0	-	C
127-severely%4:02:03::	0	-	C
128-severely%4:02:01::	1	-	C
128-severely%4:02:02::	0	-	C
128-severely%4:02:03::	0	-	C
129-severely%4:02:01::	1	-	C
129-severely%4:02:02::	0	-	C
129-severely%4:02:03::	0	-	C
130-severely%4:02:01::	1	-	C
130-severely%4:02:02::	0	-	C
130-severely%4:02:03::	0	-	C
121-severely%4:02:01::	1	-	A
121-severely%4:02:02::	0	-	A
121-severely%4:02:03::	0	-	A
122-severely%4:02:01::	1	-	A
122-severely%4:02:02::	0	-	A
122-severely%4:02:03::	0	-	A
123-severely%4:02:01::	1	-	A
123-severely%4:02:02::	0	-	A
123-severely%4:02:03::	0	-	A
124-severely%4:02:01::	0	-	A
124-severely%4:02:02::	1	-	A
124-severely%4:02:03::	0	-	A
125-severely%4:02:01::	1	-	A
125-severely%4:02:02::	0	-	A
125-severely%4:02:03::	0	-	A
126-severely%4:02:01::	0	-	A
126-severely%4:02:02::	0	-	A
126-severely%4:02:03::	1	-	A
127-severely%4:02:01::	1	-	A
127-severely%4:02:02::	0	-	A
127-severely%4:02:03::	1	-	A
128-severely%4:02:01::	0	-	A
128-severely%4:02:02::	0	-	A
128-severely%4:02:03::	1	-	A
129-severely%4:02:01::	0	-	A
129-severely%4:02:02::	0	-	A
129-severely%4:02:03::	1	-	A
130-severely%4:02:01::	0	-	A
130-severely%4:02:02::	1	-	A
130-severely%4:02:03::	0	-	A
121-severely%4:02:01::	1	-	F
121-severely%4:02:02::	0	-	F
121-severely%4:02:03::	0	-	F
122-severely%4:02:01::	1	-	F
122-severely%4:02:02::	0	-	F
122-severely%4:02:03::	0	-	F
123-severely%4:02:01::	1	-	F
123-severely%4:02:02::	0	-	F
123-severely%4:02:03::	0	-	F
124-severely%4:02:01::	0	-	F
124-severely%4:02:02::	1	-	F
124-severely%4:02:03::	0	-	F
125-severely%4:02:01::	1	-	F
125-severely%4:02:02::	0	-	F
125-severely%4:02:03::	0	-	F
126-severely%4:02:01::	1	-	F
126-severely%4:02:02::	0	-	F
126-severely%4:02:03::	0	-	F
127-severely%4:02:01::	1	-	F
127-severely%4:02:02::	0	-	F
127-severely%4:02:03::	0	-	F
128-severely%4:02:01::	1	-	F
128-severely%4:02:02::	0	-	F
128-severely%4:02:03::	0	-	F
129-severely%4:02:01::	1	-	F
129-severely%4:02:02::	0	-	F
129-severely%4:02:03::	0	-	F
130-severely%4:02:01::	1	-	F
130-severely%4:02:02::	0	-	F
130-severely%4:02:03::	0	-	F
121-severely%4:02:01::	0	-	G
121-severely%4:02:02::	1	-	G
121-severely%4:02:03::	0	-	G
122-severely%4:02:01::	1	-	G
122-severely%4:02:02::	0	-	G
122-severely%4:02:03::	0	-	G
123-severely%4:02:01::	1	-	G
123-severely%4:02:02::	0	-	G
123-severely%4:02:03::	0	-	G
124-severely%4:02:01::	0	-	G
124-severely%4:02:02::	1	-	G
124-severely%4:02:03::	0	-	G
125-severely%4:02:01::	1	-	G
125-severely%4:02:02::	0	-	G
125-severely%4:02:03::	0	-	G
126-severely%4:02:01::	0	-	G
126-severely%4:02:02::	0	-	G
126-severely%4:02:03::	1	-	G
127-severely%4:02:01::	1	-	G
127-severely%4:02:02::	0	-	G
127-severely%4:02:03::	0	-	G
128-severely%4:02:01::	0	-	G
128-severely%4:02:02::	1	-	G
128-severely%4:02:03::	0	-	G
129-severely%4:02:01::	1	-	G
129-severely%4:02:02::	0	-	G
129-severely%4:02:03::	1	-	G
130-severely%4:02:01::	1	-	G
130-severely%4:02:02::	0	-	G
130-severely%4:02:03::	0	-	G
121-severely%4:02:01::	0	-	D
121-severely%4:02:02::	1	-	D
121-severely%4:02:03::	0	-	D
122-severely%4:02:01::	1	-	D
122-severely%4:02:02::	0	-	D
122-severely%4:02:03::	0	-	D
123-severely%4:02:01::	1	-	D
123-severely%4:02:02::	0	-	D
123-severely%4:02:03::	0	-	D
124-severely%4:02:01::	0	-	D
124-severely%4:02:02::	1	-	D
124-severely%4:02:03::	0	-	D
125-severely%4:02:01::	1	-	D
125-severely%4:02:02::	0	-	D
125-severely%4:02:03::	0	-	D
126-severely%4:02:01::	1	-	D
126-severely%4:02:02::	0	-	D
126-severely%4:02:03::	0	-	D
127-severely%4:02:01::	1	-	D
127-severely%4:02:02::	0	-	D
127-severely%4:02:03::	0	-	D
128-severely%4:02:01::	1	-	D
128-severely%4:02:02::	0	-	D
128-severely%4:02:03::	0	-	D
129-severely%4:02:01::	1	-	D
129-severely%4:02:02::	0	-	D
129-severely%4:02:03::	0	-	D
130-severely%4:02:01::	1	-	D
130-severely%4:02:02::	0	-	D
130-severely%4:02:03::	0	-	D
121-severely%4:02:01::	1	-	H
121-severely%4:02:02::	0	-	H
121-severely%4:02:03::	0	-	H
122-severely%4:02:01::	1	-	H
122-severely%4:02:02::	0	-	H
122-severely%4:02:03::	0	-	H
123-severely%4:02:01::	1	-	H
123-severely%4:02:02::	0	-	H
123-severely%4:02:03::	0	-	H
124-severely%4:02:01::	0	-	H
124-severely%4:02:02::	1	-	H
124-severely%4:02:03::	0	-	H
125-severely%4:02:01::	1	-	H
125-severely%4:02:02::	0	-	H
125-severely%4:02:03::	0	-	H
126-severely%4:02:01::	1	-	H
126-severely%4:02:02::	0	-	H
126-severely%4:02:03::	0	-	H
127-severely%4:02:01::	1	-	H
127-severely%4:02:02::	0	-	H
127-severely%4:02:03::	0	-	H
128-severely%4:02:01::	1	-	H
128-severely%4:02:02::	0	-	H
128-severely%4:02:03::	0	-	H
129-severely%4:02:01::	1	-	H
129-severely%4:02:02::	0	-	H
129-severely%4:02:03::	0	-	H
130-severely%4:02:01::	1	-	H
130-severely%4:02:02::	0	-	H
130-severely%4:02:03::	0	-	H
121-severely%4:02:01::	1	-	I
121-severely%4:02:02::	0	-	I
121-severely%4:02:03::	0	-	I
122-severely%4:02:01::	1	-	I
122-severely%4:02:02::	0	-	I
122-severely%4:02:03::	0	-	I
123-severely%4:02:01::	1	-	I
123-severely%4:02:02::	0	-	I
123-severely%4:02:03::	0	-	I
124-severely%4:02:01::	0	-	I
