instanceID	label	comment	annotator
1591-shade%1:06:00::	0	-	C
1591-shade%1:06:01::	0	-	C
1591-shade%1:07:00::	0	-	C
1591-shade%1:09:01::	0	-	C
1591-shade%1:10:00::	0	-	C
1591-shade%1:23:00::	0	-	C
1591-shade%1:26:00::	1	-	C
1591-shade%1:26:01::	0	-	C
1592-shade%1:06:00::	0	-	C
1592-shade%1:06:01::	0	-	C
1592-shade%1:07:00::	1	-	C
1592-shade%1:09:01::	0	-	C
1592-shade%1:10:00::	0	-	C
1592-shade%1:23:00::	0	-	C
1592-shade%1:26:00::	0	-	C
1592-shade%1:26:01::	0	-	C
1593-shade%1:06:00::	0	-	C
1593-shade%1:06:01::	0	-	C
1593-shade%1:07:00::	0	-	C
1593-shade%1:09:01::	0	-	C
1593-shade%1:10:00::	0	-	C
1593-shade%1:23:00::	0	-	C
1593-shade%1:26:00::	1	-	C
1593-shade%1:26:01::	0	-	C
1594-shade%1:06:00::	0	-	C
1594-shade%1:06:01::	0	-	C
1594-shade%1:07:00::	0	-	C
1594-shade%1:09:01::	1	-	C
1594-shade%1:10:00::	0	-	C
1594-shade%1:23:00::	0	-	C
1594-shade%1:26:00::	0	-	C
1594-shade%1:26:01::	0	-	C
1595-shade%1:06:00::	0	-	C
1595-shade%1:06:01::	0	-	C
1595-shade%1:07:00::	0	-	C
1595-shade%1:09:01::	0	-	C
1595-shade%1:10:00::	0	-	C
1595-shade%1:23:00::	0	-	C
1595-shade%1:26:00::	1	-	C
1595-shade%1:26:01::	0	-	C
1596-shade%1:06:00::	1	-	C
1596-shade%1:06:01::	0	-	C
1596-shade%1:07:00::	0	-	C
1596-shade%1:09:01::	0	-	C
1596-shade%1:10:00::	0	-	C
1596-shade%1:23:00::	0	-	C
1596-shade%1:26:00::	1	-	C
1596-shade%1:26:01::	0	-	C
1597-shade%1:06:00::	0	-	C
1597-shade%1:06:01::	0	-	C
1597-shade%1:07:00::	1	-	C
1597-shade%1:09:01::	0	-	C
1597-shade%1:10:00::	0	-	C
1597-shade%1:23:00::	0	-	C
1597-shade%1:26:00::	0	-	C
1597-shade%1:26:01::	0	-	C
1598-shade%1:06:00::	0	-	C
1598-shade%1:06:01::	0	-	C
1598-shade%1:07:00::	0	-	C
1598-shade%1:09:01::	0	-	C
1598-shade%1:10:00::	0	-	C
1598-shade%1:23:00::	0	-	C
1598-shade%1:26:00::	1	-	C
1598-shade%1:26:01::	0	-	C
1599-shade%1:06:00::	0	-	C
1599-shade%1:06:01::	0	-	C
1599-shade%1:07:00::	0	-	C
1599-shade%1:09:01::	1	-	C
1599-shade%1:10:00::	0	-	C
1599-shade%1:23:00::	0	-	C
1599-shade%1:26:00::	0	-	C
1599-shade%1:26:01::	0	-	C
1600-shade%1:06:00::	1	-	C
1600-shade%1:06:01::	0	-	C
1600-shade%1:07:00::	0	-	C
1600-shade%1:09:01::	0	-	C
1600-shade%1:10:00::	0	-	C
1600-shade%1:23:00::	0	-	C
1600-shade%1:26:00::	0	-	C
1600-shade%1:26:01::	0	-	C
1591-shade%1:06:00::	1	-	A
1591-shade%1:06:01::	0	-	A
1591-shade%1:07:00::	0	-	A
1591-shade%1:09:01::	0	-	A
1591-shade%1:10:00::	0	-	A
1591-shade%1:23:00::	0	-	A
1591-shade%1:26:00::	1	-	A
1591-shade%1:26:01::	0	-	A
1592-shade%1:06:00::	0	-	A
1592-shade%1:06:01::	0	-	A
