instanceID	dataIDs	label_set	non_label
521-shed%2:29:00::	521,shed%2:29:00::	1,0	-
521-shed%2:35:00::	521,shed%2:35:00::	1,0	-
521-shed%2:35:01::	521,shed%2:35:01::	1,0	-
521-shed%2:35:02::	521,shed%2:35:02::	1,0	-
522-shed%2:29:00::	522,shed%2:29:00::	1,0	-
522-shed%2:35:00::	522,shed%2:35:00::	1,0	-
522-shed%2:35:01::	522,shed%2:35:01::	1,0	-
522-shed%2:35:02::	522,shed%2:35:02::	1,0	-
523-shed%2:29:00::	523,shed%2:29:00::	1,0	-
523-shed%2:35:00::	523,shed%2:35:00::	1,0	-
523-shed%2:35:01::	523,shed%2:35:01::	1,0	-
523-shed%2:35:02::	523,shed%2:35:02::	1,0	-
524-shed%2:29:00::	524,shed%2:29:00::	1,0	-
524-shed%2:35:00::	524,shed%2:35:00::	1,0	-
524-shed%2:35:01::	524,shed%2:35:01::	1,0	-
524-shed%2:35:02::	524,shed%2:35:02::	1,0	-
525-shed%2:29:00::	525,shed%2:29:00::	1,0	-
525-shed%2:35:00::	525,shed%2:35:00::	1,0	-
525-shed%2:35:01::	525,shed%2:35:01::	1,0	-
525-shed%2:35:02::	525,shed%2:35:02::	1,0	-
526-shed%2:29:00::	526,shed%2:29:00::	1,0	-
526-shed%2:35:00::	526,shed%2:35:00::	1,0	-
526-shed%2:35:01::	526,shed%2:35:01::	1,0	-
526-shed%2:35:02::	526,shed%2:35:02::	1,0	-
527-shed%2:29:00::	527,shed%2:29:00::	1,0	-
527-shed%2:35:00::	527,shed%2:35:00::	1,0	-
527-shed%2:35:01::	527,shed%2:35:01::	1,0	-
527-shed%2:35:02::	527,shed%2:35:02::	1,0	-
528-shed%2:29:00::	528,shed%2:29:00::	1,0	-
528-shed%2:35:00::	528,shed%2:35:00::	1,0	-
528-shed%2:35:01::	528,shed%2:35:01::	1,0	-
528-shed%2:35:02::	528,shed%2:35:02::	1,0	-
529-shed%2:29:00::	529,shed%2:29:00::	1,0	-
529-shed%2:35:00::	529,shed%2:35:00::	1,0	-
529-shed%2:35:01::	529,shed%2:35:01::	1,0	-
529-shed%2:35:02::	529,shed%2:35:02::	1,0	-
530-shed%2:29:00::	530,shed%2:29:00::	1,0	-
530-shed%2:35:00::	530,shed%2:35:00::	1,0	-
530-shed%2:35:01::	530,shed%2:35:01::	1,0	-
530-shed%2:35:02::	530,shed%2:35:02::	1,0	-
