instanceID	label	comment	annotator
1071-skip%2:31:01::	0	-	C
1071-skip%2:35:00::	0	-	C
1071-skip%2:38:00::	0	-	C
1071-skip%2:38:02::	0	-	C
1071-skip%2:38:03::	0	-	C
1071-skip%2:42:00::	1	-	C
1072-skip%2:31:01::	0	-	C
1072-skip%2:35:00::	1	-	C
1072-skip%2:38:00::	0	-	C
1072-skip%2:38:02::	0	-	C
1072-skip%2:38:03::	0	-	C
1072-skip%2:42:00::	0	-	C
1073-skip%2:31:01::	0	-	C
1073-skip%2:35:00::	1	-	C
1073-skip%2:38:00::	0	-	C
1073-skip%2:38:02::	0	-	C
1073-skip%2:38:03::	0	-	C
1073-skip%2:42:00::	0	-	C
1074-skip%2:31:01::	0	-	C
1074-skip%2:35:00::	0	-	C
1074-skip%2:38:00::	1	-	C
1074-skip%2:38:02::	0	-	C
1074-skip%2:38:03::	0	-	C
1074-skip%2:42:00::	0	-	C
1075-skip%2:31:01::	0	-	C
1075-skip%2:35:00::	0	-	C
1075-skip%2:38:00::	0	-	C
1075-skip%2:38:02::	0	-	C
1075-skip%2:38:03::	0	-	C
1075-skip%2:42:00::	1	-	C
1076-skip%2:31:01::	1	-	C
1076-skip%2:35:00::	0	-	C
1076-skip%2:38:00::	0	-	C
1076-skip%2:38:02::	0	-	C
1076-skip%2:38:03::	0	-	C
1076-skip%2:42:00::	0	-	C
1077-skip%2:31:01::	0	-	C
1077-skip%2:35:00::	0	-	C
1077-skip%2:38:00::	1	-	C
1077-skip%2:38:02::	0	-	C
1077-skip%2:38:03::	0	-	C
1077-skip%2:42:00::	0	-	C
1078-skip%2:31:01::	0	-	C
1078-skip%2:35:00::	0	-	C
1078-skip%2:38:00::	0	-	C
1078-skip%2:38:02::	0	-	C
1078-skip%2:38:03::	0	-	C
1078-skip%2:42:00::	1	-	C
1079-skip%2:31:01::	1	-	C
1079-skip%2:35:00::	0	-	C
1079-skip%2:38:00::	0	-	C
1079-skip%2:38:02::	0	-	C
1079-skip%2:38:03::	0	-	C
1079-skip%2:42:00::	0	-	C
1080-skip%2:31:01::	0	-	C
1080-skip%2:35:00::	0	-	C
1080-skip%2:38:00::	1	-	C
1080-skip%2:38:02::	0	-	C
1080-skip%2:38:03::	1	-	C
1080-skip%2:42:00::	0	-	C
1071-skip%2:31:01::	0	-	A
1071-skip%2:35:00::	0	-	A
1071-skip%2:38:00::	0	-	A
1071-skip%2:38:02::	0	-	A
1071-skip%2:38:03::	0	-	A
1071-skip%2:42:00::	1	-	A
1072-skip%2:31:01::	0	-	A
1072-skip%2:35:00::	1	-	A
1072-skip%2:38:00::	0	-	A
1072-skip%2:38:02::	0	-	A
1072-skip%2:38:03::	0	-	A
1072-skip%2:42:00::	0	-	A
1073-skip%2:31:01::	0	-	A
1073-skip%2:35:00::	1	-	A
1073-skip%2:38:00::	0	-	A
1073-skip%2:38:02::	0	-	A
1073-skip%2:38:03::	0	-	A
1073-skip%2:42:00::	0	-	A
1074-skip%2:31:01::	0	-	A
1074-skip%2:35:00::	0	-	A
1074-skip%2:38:00::	1	-	A
1074-skip%2:38:02::	0	-	A
1074-skip%2:38:03::	0	-	A
1074-skip%2:42:00::	0	-	A
1075-skip%2:31:01::	1	-	A
1075-skip%2:35:00::	0	-	A
1075-skip%2:38:00::	0	-	A
1075-skip%2:38:02::	0	-	A
1075-skip%2:38:03::	0	-	A
1075-skip%2:42:00::	0	-	A
1076-skip%2:31:01::	1	-	A
1076-skip%2:35:00::	0	-	A
1076-skip%2:38:00::	0	-	A
1076-skip%2:38:02::	0	-	A
1076-skip%2:38:03::	0	-	A
1076-skip%2:42:00::	0	-	A
1077-skip%2:31:01::	1	-	A
1077-skip%2:35:00::	0	-	A
1077-skip%2:38:00::	0	-	A
1077-skip%2:38:02::	0	-	A
1077-skip%2:38:03::	0	-	A
1077-skip%2:42:00::	0	-	A
1078-skip%2:31:01::	1	-	A
1078-skip%2:35:00::	0	-	A
1078-skip%2:38:00::	0	-	A
1078-skip%2:38:02::	0	-	A
1078-skip%2:38:03::	0	-	A
1078-skip%2:42:00::	0	-	A
1079-skip%2:31:01::	1	-	A
1079-skip%2:35:00::	0	-	A
1079-skip%2:38:00::	0	-	A
1079-skip%2:38:02::	0	-	A
1079-skip%2:38:03::	0	-	A
1079-skip%2:42:00::	0	-	A
1080-skip%2:31:01::	0	-	A
1080-skip%2:35:00::	0	-	A
1080-skip%2:38:00::	0	-	A
1080-skip%2:38:02::	0	-	A
1080-skip%2:38:03::	1	-	A
1080-skip%2:42:00::	0	-	A
1071-skip%2:31:01::	0	-	F
1071-skip%2:35:00::	0	-	F
1071-skip%2:38:00::	0	-	F
1071-skip%2:38:02::	0	-	F
1071-skip%2:38:03::	0	-	F
1071-skip%2:42:00::	1	-	F
1072-skip%2:31:01::	0	-	F
1072-skip%2:35:00::	1	-	F
1072-skip%2:38:00::	0	-	F
1072-skip%2:38:02::	0	-	F
1072-skip%2:38:03::	0	-	F
1072-skip%2:42:00::	0	-	F
1073-skip%2:31:01::	0	-	F
1073-skip%2:35:00::	1	-	F
1073-skip%2:38:00::	0	-	F
