senseID	definition	lemma
soft%3:00:00::	produced with vibration of the vocal cords	soft.a
soft%3:00:01::	yielding readily to pressure or weight	soft.a
soft%3:00:02::	compassionate and kind; conciliatory	soft.a
soft%3:00:03::	(of speech sounds); produced with the back of the tongue raised toward the hard palate; characterized by a hissing or hushing sound (as `s' and `sh')	soft.a
soft%3:00:04::	(of sound) relatively low in volume	soft.a
soft%3:00:05::	(of light) transmitted from a broad light source or reflected	soft.a
soft%3:00:06::	not protected against attack (especially by nuclear weapons)	soft.a
soft%3:00:07::	used chiefly as a direction or description in music	soft.a
soft%5:00:00:clement:02	mild and pleasant	soft.a
soft%5:00:00:conciliatory:00	willing to negotiate and compromise	soft.a
soft%5:00:00:dull:02	not brilliant or glaring	soft.a
soft%5:00:00:easy:01	not burdensome or demanding; borne or done easily and without hardship	soft.a
soft%5:00:00:falling:00	(of a commodity or market or currency) falling or likely to fall in value	soft.a
soft%5:00:00:light:08	having little impact	soft.a
soft%5:00:00:mild:00	soft and mild; not harsh or stern or severe	soft.a
soft%5:00:00:permissive:01	tolerant or lenient	soft.a
soft%5:00:00:qualitative:00	using evidence not readily amenable to experimental verification or refutation	soft.a
soft%5:00:00:tender:02	easily hurt	soft.a
soft%5:00:00:unfit:01	out of condition; not strong or robust; incapable of exertion or endurance	soft.a
