instanceID	dataIDs	label_set	non_label
1641-stiff%3:00:00::	1641,stiff%3:00:00::	1,0	-
1641-stiff%5:00:00:formal:01	1641,stiff%5:00:00:formal:01	1,0	-
1641-stiff%5:00:00:immobile:00	1641,stiff%5:00:00:immobile:00	1,0	-
1641-stiff%5:00:00:intoxicated:00	1641,stiff%5:00:00:intoxicated:00	1,0	-
1641-stiff%5:00:00:resolute:00	1641,stiff%5:00:00:resolute:00	1,0	-
1641-stiff%5:00:00:strong:00	1641,stiff%5:00:00:strong:00	1,0	-
1641-stiff%5:00:01:inflexible:01	1641,stiff%5:00:01:inflexible:01	1,0	-
1642-stiff%3:00:00::	1642,stiff%3:00:00::	1,0	-
1642-stiff%5:00:00:formal:01	1642,stiff%5:00:00:formal:01	1,0	-
1642-stiff%5:00:00:immobile:00	1642,stiff%5:00:00:immobile:00	1,0	-
1642-stiff%5:00:00:intoxicated:00	1642,stiff%5:00:00:intoxicated:00	1,0	-
1642-stiff%5:00:00:resolute:00	1642,stiff%5:00:00:resolute:00	1,0	-
1642-stiff%5:00:00:strong:00	1642,stiff%5:00:00:strong:00	1,0	-
1642-stiff%5:00:01:inflexible:01	1642,stiff%5:00:01:inflexible:01	1,0	-
1643-stiff%3:00:00::	1643,stiff%3:00:00::	1,0	-
1643-stiff%5:00:00:formal:01	1643,stiff%5:00:00:formal:01	1,0	-
1643-stiff%5:00:00:immobile:00	1643,stiff%5:00:00:immobile:00	1,0	-
1643-stiff%5:00:00:intoxicated:00	1643,stiff%5:00:00:intoxicated:00	1,0	-
1643-stiff%5:00:00:resolute:00	1643,stiff%5:00:00:resolute:00	1,0	-
1643-stiff%5:00:00:strong:00	1643,stiff%5:00:00:strong:00	1,0	-
1643-stiff%5:00:01:inflexible:01	1643,stiff%5:00:01:inflexible:01	1,0	-
1644-stiff%3:00:00::	1644,stiff%3:00:00::	1,0	-
1644-stiff%5:00:00:formal:01	1644,stiff%5:00:00:formal:01	1,0	-
1644-stiff%5:00:00:immobile:00	1644,stiff%5:00:00:immobile:00	1,0	-
1644-stiff%5:00:00:intoxicated:00	1644,stiff%5:00:00:intoxicated:00	1,0	-
1644-stiff%5:00:00:resolute:00	1644,stiff%5:00:00:resolute:00	1,0	-
1644-stiff%5:00:00:strong:00	1644,stiff%5:00:00:strong:00	1,0	-
1644-stiff%5:00:01:inflexible:01	1644,stiff%5:00:01:inflexible:01	1,0	-
1645-stiff%3:00:00::	1645,stiff%3:00:00::	1,0	-
1645-stiff%5:00:00:formal:01	1645,stiff%5:00:00:formal:01	1,0	-
1645-stiff%5:00:00:immobile:00	1645,stiff%5:00:00:immobile:00	1,0	-
1645-stiff%5:00:00:intoxicated:00	1645,stiff%5:00:00:intoxicated:00	1,0	-
1645-stiff%5:00:00:resolute:00	1645,stiff%5:00:00:resolute:00	1,0	-
1645-stiff%5:00:00:strong:00	1645,stiff%5:00:00:strong:00	1,0	-
1645-stiff%5:00:01:inflexible:01	1645,stiff%5:00:01:inflexible:01	1,0	-
1646-stiff%3:00:00::	1646,stiff%3:00:00::	1,0	-
1646-stiff%5:00:00:formal:01	1646,stiff%5:00:00:formal:01	1,0	-
1646-stiff%5:00:00:immobile:00	1646,stiff%5:00:00:immobile:00	1,0	-
1646-stiff%5:00:00:intoxicated:00	1646,stiff%5:00:00:intoxicated:00	1,0	-
1646-stiff%5:00:00:resolute:00	1646,stiff%5:00:00:resolute:00	1,0	-
1646-stiff%5:00:00:strong:00	1646,stiff%5:00:00:strong:00	1,0	-
1646-stiff%5:00:01:inflexible:01	1646,stiff%5:00:01:inflexible:01	1,0	-
1647-stiff%3:00:00::	1647,stiff%3:00:00::	1,0	-
1647-stiff%5:00:00:formal:01	1647,stiff%5:00:00:formal:01	1,0	-
1647-stiff%5:00:00:immobile:00	1647,stiff%5:00:00:immobile:00	1,0	-
1647-stiff%5:00:00:intoxicated:00	1647,stiff%5:00:00:intoxicated:00	1,0	-
1647-stiff%5:00:00:resolute:00	1647,stiff%5:00:00:resolute:00	1,0	-
1647-stiff%5:00:00:strong:00	1647,stiff%5:00:00:strong:00	1,0	-
1647-stiff%5:00:01:inflexible:01	1647,stiff%5:00:01:inflexible:01	1,0	-
1648-stiff%3:00:00::	1648,stiff%3:00:00::	1,0	-
