instanceID	label	comment	annotator
1641-stiff%3:00:00::	0	-	C
1641-stiff%5:00:00:formal:01	0	-	C
1641-stiff%5:00:00:immobile:00	0	-	C
1641-stiff%5:00:00:intoxicated:00	0	-	C
1641-stiff%5:00:00:resolute:00	0	-	C
1641-stiff%5:00:00:strong:00	0	-	C
1641-stiff%5:00:01:inflexible:01	1	-	C
1642-stiff%3:00:00::	0	-	C
1642-stiff%5:00:00:formal:01	0	-	C
1642-stiff%5:00:00:immobile:00	0	-	C
1642-stiff%5:00:00:intoxicated:00	0	-	C
1642-stiff%5:00:00:resolute:00	0	-	C
1642-stiff%5:00:00:strong:00	0	-	C
1642-stiff%5:00:01:inflexible:01	1	-	C
1643-stiff%3:00:00::	1	-	C
1643-stiff%5:00:00:formal:01	0	-	C
1643-stiff%5:00:00:immobile:00	0	-	C
1643-stiff%5:00:00:intoxicated:00	0	-	C
1643-stiff%5:00:00:resolute:00	0	-	C
1643-stiff%5:00:00:strong:00	0	-	C
1643-stiff%5:00:01:inflexible:01	0	-	C
1644-stiff%3:00:00::	1	-	C
1644-stiff%5:00:00:formal:01	0	-	C
1644-stiff%5:00:00:immobile:00	0	-	C
1644-stiff%5:00:00:intoxicated:00	0	-	C
1644-stiff%5:00:00:resolute:00	0	-	C
1644-stiff%5:00:00:strong:00	0	-	C
1644-stiff%5:00:01:inflexible:01	0	-	C
1645-stiff%3:00:00::	0	-	C
1645-stiff%5:00:00:formal:01	0	-	C
1645-stiff%5:00:00:immobile:00	0	-	C
1645-stiff%5:00:00:intoxicated:00	0	-	C
1645-stiff%5:00:00:resolute:00	0	-	C
1645-stiff%5:00:00:strong:00	0	-	C
1645-stiff%5:00:01:inflexible:01	1	-	C
1646-stiff%3:00:00::	0	-	C
1646-stiff%5:00:00:formal:01	0	-	C
1646-stiff%5:00:00:immobile:00	0	-	C
1646-stiff%5:00:00:intoxicated:00	1	-	C
1646-stiff%5:00:00:resolute:00	0	-	C
1646-stiff%5:00:00:strong:00	0	-	C
1646-stiff%5:00:01:inflexible:01	0	-	C
1647-stiff%3:00:00::	0	-	C
1647-stiff%5:00:00:formal:01	1	-	C
1647-stiff%5:00:00:immobile:00	0	-	C
1647-stiff%5:00:00:intoxicated:00	0	-	C
1647-stiff%5:00:00:resolute:00	0	-	C
1647-stiff%5:00:00:strong:00	0	-	C
1647-stiff%5:00:01:inflexible:01	0	-	C
1648-stiff%3:00:00::	1	-	C
1648-stiff%5:00:00:formal:01	0	-	C
1648-stiff%5:00:00:immobile:00	0	-	C
1648-stiff%5:00:00:intoxicated:00	0	-	C
1648-stiff%5:00:00:resolute:00	0	-	C
1648-stiff%5:00:00:strong:00	0	-	C
1648-stiff%5:00:01:inflexible:01	0	-	C
1649-stiff%3:00:00::	0	-	C
1649-stiff%5:00:00:formal:01	0	-	C
1649-stiff%5:00:00:immobile:00	0	-	C
1649-stiff%5:00:00:intoxicated:00	0	-	C
1649-stiff%5:00:00:resolute:00	1	-	C
1649-stiff%5:00:00:strong:00	0	-	C
1649-stiff%5:00:01:inflexible:01	0	-	C
1650-stiff%3:00:00::	1	-	C
1650-stiff%5:00:00:formal:01	0	-	C
1650-stiff%5:00:00:immobile:00	0	-	C
1650-stiff%5:00:00:intoxicated:00	0	-	C
1650-stiff%5:00:00:resolute:00	0	-	C
1650-stiff%5:00:00:strong:00	0	-	C
1650-stiff%5:00:01:inflexible:01	0	-	C
1641-stiff%3:00:00::	0	-	A
1641-stiff%5:00:00:formal:01	0	-	A
1641-stiff%5:00:00:immobile:00	1	-	A
1641-stiff%5:00:00:intoxicated:00	0	-	A
1641-stiff%5:00:00:resolute:00	0	-	A
1641-stiff%5:00:00:strong:00	0	-	A
1641-stiff%5:00:01:inflexible:01	1	-	A
1642-stiff%3:00:00::	0	-	A
1642-stiff%5:00:00:formal:01	0	-	A
1642-stiff%5:00:00:immobile:00	1	-	A
1642-stiff%5:00:00:intoxicated:00	0	-	A
1642-stiff%5:00:00:resolute:00	0	-	A
1642-stiff%5:00:00:strong:00	0	-	A
1642-stiff%5:00:01:inflexible:01	1	-	A
1643-stiff%3:00:00::	1	-	A
1643-stiff%5:00:00:formal:01	0	-	A
1643-stiff%5:00:00:immobile:00	0	-	A
1643-stiff%5:00:00:intoxicated:00	0	-	A
1643-stiff%5:00:00:resolute:00	0	-	A
1643-stiff%5:00:00:strong:00	0	-	A
1643-stiff%5:00:01:inflexible:01	0	-	A
1644-stiff%3:00:00::	0	-	A
1644-stiff%5:00:00:formal:01	0	-	A
1644-stiff%5:00:00:immobile:00	0	-	A
1644-stiff%5:00:00:intoxicated:00	0	-	A
1644-stiff%5:00:00:resolute:00	0	-	A
1644-stiff%5:00:00:strong:00	1	-	A
1644-stiff%5:00:01:inflexible:01	0	-	A
1645-stiff%3:00:00::	0	-	A
1645-stiff%5:00:00:formal:01	0	-	A
1645-stiff%5:00:00:immobile:00	0	-	A
1645-stiff%5:00:00:intoxicated:00	0	-	A
1645-stiff%5:00:00:resolute:00	0	-	A
1645-stiff%5:00:00:strong:00	0	-	A
1645-stiff%5:00:01:inflexible:01	1	-	A
1646-stiff%3:00:00::	0	-	A
1646-stiff%5:00:00:formal:01	0	-	A
1646-stiff%5:00:00:immobile:00	0	-	A
1646-stiff%5:00:00:intoxicated:00	0	-	A
1646-stiff%5:00:00:resolute:00	0	-	A
1646-stiff%5:00:00:strong:00	0	-	A
1646-stiff%5:00:01:inflexible:01	1	-	A
1647-stiff%3:00:00::	0	-	A
1647-stiff%5:00:00:formal:01	1	-	A
1647-stiff%5:00:00:immobile:00	0	-	A
1647-stiff%5:00:00:intoxicated:00	0	-	A
1647-stiff%5:00:00:resolute:00	0	-	A
1647-stiff%5:00:00:strong:00	0	-	A
1647-stiff%5:00:01:inflexible:01	0	-	A
1648-stiff%3:00:00::	0	-	A
1648-stiff%5:00:00:formal:01	0	-	A
1648-stiff%5:00:00:immobile:00	0	-	A
1648-stiff%5:00:00:intoxicated:00	0	-	A
1648-stiff%5:00:00:resolute:00	1	-	A
1648-stiff%5:00:00:strong:00	1	-	A
1648-stiff%5:00:01:inflexible:01	0	-	A
1649-stiff%3:00:00::	0	-	A
1649-stiff%5:00:00:formal:01	0	-	A
1649-stiff%5:00:00:immobile:00	0	-	A
1649-stiff%5:00:00:intoxicated:00	0	-	A
1649-stiff%5:00:00:resolute:00	0	-	A
1649-stiff%5:00:00:strong:00	1	-	A
1649-stiff%5:00:01:inflexible:01	0	-	A
1650-stiff%3:00:00::	0	-	A
1650-stiff%5:00:00:formal:01	0	-	A
1650-stiff%5:00:00:immobile:00	0	-	A
1650-stiff%5:00:00:intoxicated:00	0	-	A
1650-stiff%5:00:00:resolute:00	0	-	A
1650-stiff%5:00:00:strong:00	1	-	A
1650-stiff%5:00:01:inflexible:01	0	-	A
1641-stiff%3:00:00::	0	-	F
1641-stiff%5:00:00:formal:01	0	-	F
1641-stiff%5:00:00:immobile:00	1	-	F
1641-stiff%5:00:00:intoxicated:00	0	-	F
1641-stiff%5:00:00:resolute:00	0	-	F
1641-stiff%5:00:00:strong:00	0	-	F
1641-stiff%5:00:01:inflexible:01	0	-	F
1642-stiff%3:00:00::	0	-	F
1642-stiff%5:00:00:formal:01	0	-	F
1642-stiff%5:00:00:immobile:00	0	-	F
1642-stiff%5:00:00:intoxicated:00	0	-	F
1642-stiff%5:00:00:resolute:00	0	-	F
1642-stiff%5:00:00:strong:00	0	-	F
1642-stiff%5:00:01:inflexible:01	1	-	F
1643-stiff%3:00:00::	0	-	F
1643-stiff%5:00:00:formal:01	0	-	F
1643-stiff%5:00:00:immobile:00	0	-	F
1643-stiff%5:00:00:intoxicated:00	0	-	F
1643-stiff%5:00:00:resolute:00	0	-	F
1643-stiff%5:00:00:strong:00	1	-	F
1643-stiff%5:00:01:inflexible:01	0	-	F
1644-stiff%3:00:00::	0	-	F
1644-stiff%5:00:00:formal:01	0	-	F
1644-stiff%5:00:00:immobile:00	0	-	F
1644-stiff%5:00:00:intoxicated:00	0	-	F
1644-stiff%5:00:00:resolute:00	0	-	F
1644-stiff%5:00:00:strong:00	1	-	F
1644-stiff%5:00:01:inflexible:01	0	-	F
1645-stiff%3:00:00::	0	-	F
1645-stiff%5:00:00:formal:01	0	-	F
1645-stiff%5:00:00:immobile:00	1	-	F
1645-stiff%5:00:00:intoxicated:00	0	-	F
1645-stiff%5:00:00:resolute:00	0	-	F
1645-stiff%5:00:00:strong:00	0	-	F
1645-stiff%5:00:01:inflexible:01	0	-	F
1646-stiff%3:00:00::	0	-	F
1646-stiff%5:00:00:formal:01	0	-	F
1646-stiff%5:00:00:immobile:00	1	-	F
1646-stiff%5:00:00:intoxicated:00	0	-	F
1646-stiff%5:00:00:resolute:00	0	-	F
1646-stiff%5:00:00:strong:00	0	-	F
1646-stiff%5:00:01:inflexible:01	0	-	F
1647-stiff%3:00:00::	0	-	F
1647-stiff%5:00:00:formal:01	1	-	F
1647-stiff%5:00:00:immobile:00	0	-	F
1647-stiff%5:00:00:intoxicated:00	0	-	F
1647-stiff%5:00:00:resolute:00	0	-	F
1647-stiff%5:00:00:strong:00	0	-	F
1647-stiff%5:00:01:inflexible:01	0	-	F
1648-stiff%3:00:00::	0	-	F
1648-stiff%5:00:00:formal:01	0	-	F
1648-stiff%5:00:00:immobile:00	0	-	F
1648-stiff%5:00:00:intoxicated:00	0	-	F
1648-stiff%5:00:00:resolute:00	0	-	F
1648-stiff%5:00:00:strong:00	1	-	F
1648-stiff%5:00:01:inflexible:01	0	-	F
1649-stiff%3:00:00::	0	-	F
1649-stiff%5:00:00:formal:01	0	-	F
1649-stiff%5:00:00:immobile:00	0	-	F
1649-stiff%5:00:00:intoxicated:00	0	-	F
1649-stiff%5:00:00:resolute:00	0	-	F
1649-stiff%5:00:00:strong:00	0	-	F
1649-stiff%5:00:01:inflexible:01	1	-	F
1650-stiff%3:00:00::	0	-	F
1650-stiff%5:00:00:formal:01	0	-	F
1650-stiff%5:00:00:immobile:00	0	-	F
1650-stiff%5:00:00:intoxicated:00	0	-	F
1650-stiff%5:00:00:resolute:00	0	-	F
1650-stiff%5:00:00:strong:00	1	-	F
1650-stiff%5:00:01:inflexible:01	0	-	F
1641-stiff%3:00:00::	0	-	G
1641-stiff%5:00:00:formal:01	0	-	G
1641-stiff%5:00:00:immobile:00	1	-	G
1641-stiff%5:00:00:intoxicated:00	0	-	G
1641-stiff%5:00:00:resolute:00	0	-	G
1641-stiff%5:00:00:strong:00	0	-	G
1641-stiff%5:00:01:inflexible:01	1	-	G
1642-stiff%3:00:00::	0	-	G
1642-stiff%5:00:00:formal:01	0	-	G
1642-stiff%5:00:00:immobile:00	1	-	G
1642-stiff%5:00:00:intoxicated:00	0	-	G
1642-stiff%5:00:00:resolute:00	0	-	G
1642-stiff%5:00:00:strong:00	0	-	G
1642-stiff%5:00:01:inflexible:01	0	-	G
1643-stiff%3:00:00::	0	-	G
1643-stiff%5:00:00:formal:01	0	-	G
1643-stiff%5:00:00:immobile:00	0	-	G
1643-stiff%5:00:00:intoxicated:00	0	-	G
1643-stiff%5:00:00:resolute:00	1	-	G
1643-stiff%5:00:00:strong:00	0	-	G
1643-stiff%5:00:01:inflexible:01	0	-	G
1644-stiff%3:00:00::	0	-	G
1644-stiff%5:00:00:formal:01	0	-	G
1644-stiff%5:00:00:immobile:00	0	-	G
1644-stiff%5:00:00:intoxicated:00	0	-	G
1644-stiff%5:00:00:resolute:00	1	-	G
1644-stiff%5:00:00:strong:00	1	-	G
1644-stiff%5:00:01:inflexible:01	0	-	G
1645-stiff%3:00:00::	0	-	G
1645-stiff%5:00:00:formal:01	0	-	G
1645-stiff%5:00:00:immobile:00	0	-	G
1645-stiff%5:00:00:intoxicated:00	0	-	G
1645-stiff%5:00:00:resolute:00	0	-	G
1645-stiff%5:00:00:strong:00	0	-	G
1645-stiff%5:00:01:inflexible:01	1	-	G
1646-stiff%3:00:00::	0	-	G
1646-stiff%5:00:00:formal:01	0	-	G
1646-stiff%5:00:00:immobile:00	0	-	G
1646-stiff%5:00:00:intoxicated:00	0	-	G
1646-stiff%5:00:00:resolute:00	1	-	G
1646-stiff%5:00:00:strong:00	0	-	G
1646-stiff%5:00:01:inflexible:01	0	-	G
1647-stiff%3:00:00::	0	-	G
1647-stiff%5:00:00:formal:01	0	-	G
1647-stiff%5:00:00:immobile:00	0	-	G
1647-stiff%5:00:00:intoxicated:00	0	-	G
1647-stiff%5:00:00:resolute:00	1	-	G
1647-stiff%5:00:00:strong:00	0	-	G
1647-stiff%5:00:01:inflexible:01	0	-	G
1648-stiff%3:00:00::	0	-	G
1648-stiff%5:00:00:formal:01	0	-	G
1648-stiff%5:00:00:immobile:00	0	-	G
1648-stiff%5:00:00:intoxicated:00	0	-	G
1648-stiff%5:00:00:resolute:00	1	-	G
1648-stiff%5:00:00:strong:00	0	-	G
1648-stiff%5:00:01:inflexible:01	0	-	G
1649-stiff%3:00:00::	0	-	G
1649-stiff%5:00:00:formal:01	0	-	G
1649-stiff%5:00:00:immobile:00	1	-	G
1649-stiff%5:00:00:intoxicated:00	0	-	G
1649-stiff%5:00:00:resolute:00	0	-	G
1649-stiff%5:00:00:strong:00	0	-	G
1649-stiff%5:00:01:inflexible:01	1	-	G
1650-stiff%3:00:00::	0	-	G
1650-stiff%5:00:00:formal:01	0	-	G
1650-stiff%5:00:00:immobile:00	0	-	G
1650-stiff%5:00:00:intoxicated:00	0	-	G
1650-stiff%5:00:00:resolute:00	1	-	G
1650-stiff%5:00:00:strong:00	0	-	G
1650-stiff%5:00:01:inflexible:01	0	-	G
1641-stiff%3:00:00::	0	-	D
1641-stiff%5:00:00:formal:01	0	-	D
1641-stiff%5:00:00:immobile:00	0	-	D
1641-stiff%5:00:00:intoxicated:00	0	-	D
1641-stiff%5:00:00:resolute:00	0	-	D
1641-stiff%5:00:00:strong:00	0	-	D
1641-stiff%5:00:01:inflexible:01	1	-	D
1642-stiff%3:00:00::	0	-	D
1642-stiff%5:00:00:formal:01	0	-	D
1642-stiff%5:00:00:immobile:00	0	-	D
1642-stiff%5:00:00:intoxicated:00	0	-	D
1642-stiff%5:00:00:resolute:00	0	-	D
1642-stiff%5:00:00:strong:00	1	-	D
1642-stiff%5:00:01:inflexible:01	0	-	D
1643-stiff%3:00:00::	0	-	D
1643-stiff%5:00:00:formal:01	0	-	D
1643-stiff%5:00:00:immobile:00	0	-	D
1643-stiff%5:00:00:intoxicated:00	0	-	D
1643-stiff%5:00:00:resolute:00	0	-	D
1643-stiff%5:00:00:strong:00	1	-	D
1643-stiff%5:00:01:inflexible:01	0	-	D
1644-stiff%3:00:00::	0	-	D
1644-stiff%5:00:00:formal:01	0	-	D
1644-stiff%5:00:00:immobile:00	0	-	D
1644-stiff%5:00:00:intoxicated:00	0	-	D
1644-stiff%5:00:00:resolute:00	0	-	D
1644-stiff%5:00:00:strong:00	1	-	D
1644-stiff%5:00:01:inflexible:01	0	-	D
1645-stiff%3:00:00::	0	-	D
1645-stiff%5:00:00:formal:01	0	-	D
1645-stiff%5:00:00:immobile:00	1	-	D
1645-stiff%5:00:00:intoxicated:00	0	-	D
1645-stiff%5:00:00:resolute:00	0	-	D
1645-stiff%5:00:00:strong:00	0	-	D
1645-stiff%5:00:01:inflexible:01	0	-	D
1646-stiff%3:00:00::	0	-	D
1646-stiff%5:00:00:formal:01	0	-	D
1646-stiff%5:00:00:immobile:00	0	-	D
1646-stiff%5:00:00:intoxicated:00	0	-	D
1646-stiff%5:00:00:resolute:00	0	-	D
1646-stiff%5:00:00:strong:00	1	-	D
1646-stiff%5:00:01:inflexible:01	0	-	D
1647-stiff%3:00:00::	1	-	D
1647-stiff%5:00:00:formal:01	0	-	D
1647-stiff%5:00:00:immobile:00	0	-	D
1647-stiff%5:00:00:intoxicated:00	0	-	D
1647-stiff%5:00:00:resolute:00	0	-	D
1647-stiff%5:00:00:strong:00	0	-	D
1647-stiff%5:00:01:inflexible:01	0	-	D
1648-stiff%3:00:00::	0	-	D
1648-stiff%5:00:00:formal:01	0	-	D
1648-stiff%5:00:00:immobile:00	0	-	D
1648-stiff%5:00:00:intoxicated:00	0	-	D
1648-stiff%5:00:00:resolute:00	0	-	D
1648-stiff%5:00:00:strong:00	0	-	D
1648-stiff%5:00:01:inflexible:01	1	-	D
1649-stiff%3:00:00::	0	-	D
1649-stiff%5:00:00:formal:01	0	-	D
1649-stiff%5:00:00:immobile:00	0	-	D
1649-stiff%5:00:00:intoxicated:00	0	-	D
1649-stiff%5:00:00:resolute:00	0	-	D
1649-stiff%5:00:00:strong:00	1	-	D
1649-stiff%5:00:01:inflexible:01	0	-	D
1650-stiff%3:00:00::	1	-	D
1650-stiff%5:00:00:formal:01	0	-	D
1650-stiff%5:00:00:immobile:00	0	-	D
1650-stiff%5:00:00:intoxicated:00	0	-	D
1650-stiff%5:00:00:resolute:00	0	-	D
1650-stiff%5:00:00:strong:00	0	-	D
1650-stiff%5:00:01:inflexible:01	0	-	D
1641-stiff%3:00:00::	0	-	H
1641-stiff%5:00:00:formal:01	0	-	H
1641-stiff%5:00:00:immobile:00	1	-	H
1641-stiff%5:00:00:intoxicated:00	0	-	H
1641-stiff%5:00:00:resolute:00	0	-	H
1641-stiff%5:00:00:strong:00	0	-	H
1641-stiff%5:00:01:inflexible:01	0	-	H
1642-stiff%3:00:00::	0	-	H
1642-stiff%5:00:00:formal:01	0	-	H
1642-stiff%5:00:00:immobile:00	0	-	H
1642-stiff%5:00:00:intoxicated:00	0	-	H
1642-stiff%5:00:00:resolute:00	0	-	H
1642-stiff%5:00:00:strong:00	0	-	H
1642-stiff%5:00:01:inflexible:01	1	-	H
1643-stiff%3:00:00::	0	-	H
1643-stiff%5:00:00:formal:01	0	-	H
1643-stiff%5:00:00:immobile:00	0	-	H
1643-stiff%5:00:00:intoxicated:00	0	-	H
1643-stiff%5:00:00:resolute:00	0	-	H
1643-stiff%5:00:00:strong:00	1	-	H
1643-stiff%5:00:01:inflexible:01	0	-	H
1644-stiff%3:00:00::	0	-	H
1644-stiff%5:00:00:formal:01	0	-	H
1644-stiff%5:00:00:immobile:00	0	-	H
1644-stiff%5:00:00:intoxicated:00	0	-	H
1644-stiff%5:00:00:resolute:00	1	-	H
1644-stiff%5:00:00:strong:00	0	-	H
1644-stiff%5:00:01:inflexible:01	0	-	H
1645-stiff%3:00:00::	0	-	H
1645-stiff%5:00:00:formal:01	0	-	H
1645-stiff%5:00:00:immobile:00	1	-	H
1645-stiff%5:00:00:intoxicated:00	0	-	H
1645-stiff%5:00:00:resolute:00	0	-	H
1645-stiff%5:00:00:strong:00	0	-	H
1645-stiff%5:00:01:inflexible:01	1	-	H
1646-stiff%3:00:00::	0	-	H
1646-stiff%5:00:00:formal:01	0	-	H
1646-stiff%5:00:00:immobile:00	1	-	H
1646-stiff%5:00:00:intoxicated:00	0	-	H
1646-stiff%5:00:00:resolute:00	0	-	H
