instanceID	dataIDs	label_set	non_label
1101-suffer%2:29:00::	1101,suffer%2:29:00::	1,0	-
1101-suffer%2:29:01::	1101,suffer%2:29:01::	1,0	-
1101-suffer%2:29:03::	1101,suffer%2:29:03::	1,0	-
1101-suffer%2:30:00::	1101,suffer%2:30:00::	1,0	-
1101-suffer%2:30:02::	1101,suffer%2:30:02::	1,0	-
1101-suffer%2:31:00::	1101,suffer%2:31:00::	1,0	-
1101-suffer%2:37:00::	1101,suffer%2:37:00::	1,0	-
1101-suffer%2:39:00::	1101,suffer%2:39:00::	1,0	-
1101-suffer%2:39:01::	1101,suffer%2:39:01::	1,0	-
1101-suffer%2:39:02::	1101,suffer%2:39:02::	1,0	-
1101-suffer%2:42:04::	1101,suffer%2:42:04::	1,0	-
1102-suffer%2:29:00::	1102,suffer%2:29:00::	1,0	-
1102-suffer%2:29:01::	1102,suffer%2:29:01::	1,0	-
1102-suffer%2:29:03::	1102,suffer%2:29:03::	1,0	-
1102-suffer%2:30:00::	1102,suffer%2:30:00::	1,0	-
1102-suffer%2:30:02::	1102,suffer%2:30:02::	1,0	-
1102-suffer%2:31:00::	1102,suffer%2:31:00::	1,0	-
1102-suffer%2:37:00::	1102,suffer%2:37:00::	1,0	-
1102-suffer%2:39:00::	1102,suffer%2:39:00::	1,0	-
1102-suffer%2:39:01::	1102,suffer%2:39:01::	1,0	-
1102-suffer%2:39:02::	1102,suffer%2:39:02::	1,0	-
1102-suffer%2:42:04::	1102,suffer%2:42:04::	1,0	-
1103-suffer%2:29:00::	1103,suffer%2:29:00::	1,0	-
1103-suffer%2:29:01::	1103,suffer%2:29:01::	1,0	-
1103-suffer%2:29:03::	1103,suffer%2:29:03::	1,0	-
1103-suffer%2:30:00::	1103,suffer%2:30:00::	1,0	-
1103-suffer%2:30:02::	1103,suffer%2:30:02::	1,0	-
1103-suffer%2:31:00::	1103,suffer%2:31:00::	1,0	-
1103-suffer%2:37:00::	1103,suffer%2:37:00::	1,0	-
1103-suffer%2:39:00::	1103,suffer%2:39:00::	1,0	-
1103-suffer%2:39:01::	1103,suffer%2:39:01::	1,0	-
