instanceID	dataIDs	label_set	non_label
1071-skip%2:31:01::	1071,skip%2:31:01::	1,0	-
1071-skip%2:35:00::	1071,skip%2:35:00::	1,0	-
1071-skip%2:38:00::	1071,skip%2:38:00::	1,0	-
1071-skip%2:38:02::	1071,skip%2:38:02::	1,0	-
1071-skip%2:38:03::	1071,skip%2:38:03::	1,0	-
1071-skip%2:42:00::	1071,skip%2:42:00::	1,0	-
1072-skip%2:31:01::	1072,skip%2:31:01::	1,0	-
1072-skip%2:35:00::	1072,skip%2:35:00::	1,0	-
1072-skip%2:38:00::	1072,skip%2:38:00::	1,0	-
1072-skip%2:38:02::	1072,skip%2:38:02::	1,0	-
1072-skip%2:38:03::	1072,skip%2:38:03::	1,0	-
1072-skip%2:42:00::	1072,skip%2:42:00::	1,0	-
1531-range%1:06:00::	1531,range%1:06:00::	1,0	-
1531-range%1:06:01::	1531,range%1:06:01::	1,0	-
1531-range%1:07:00::	1531,range%1:07:00::	1,0	-
1531-range%1:09:00::	1531,range%1:09:00::	1,0	-
1531-range%1:14:00::	1531,range%1:14:00::	1,0	-
1531-range%1:14:01::	1531,range%1:14:01::	1,0	-
1531-range%1:15:01::	1531,range%1:15:01::	1,0	-
1531-range%1:15:02::	1531,range%1:15:02::	1,0	-
1531-range%1:17:00::	1531,range%1:17:00::	1,0	-
1532-range%1:06:00::	1532,range%1:06:00::	1,0	-
1532-range%1:06:01::	1532,range%1:06:01::	1,0	-
1532-range%1:07:00::	1532,range%1:07:00::	1,0	-
1532-range%1:09:00::	1532,range%1:09:00::	1,0	-
1532-range%1:14:00::	1532,range%1:14:00::	1,0	-
1532-range%1:14:01::	1532,range%1:14:01::	1,0	-
1532-range%1:15:01::	1532,range%1:15:01::	1,0	-
1532-range%1:15:02::	1532,range%1:15:02::	1,0	-
1532-range%1:17:00::	1532,range%1:17:00::	1,0	-
281-rough%3:00:00::	281,rough%3:00:00::	1,0	-
281-rough%3:00:02::	281,rough%3:00:02::	1,0	-
281-rough%3:00:04::	281,rough%3:00:04::	1,0	-
281-rough%3:00:05::	281,rough%3:00:05::	1,0	-
281-rough%5:00:00:aggressive:00	281,rough%5:00:00:aggressive:00	1,0	-
281-rough%5:00:00:cacophonous:00	281,rough%5:00:00:cacophonous:00	1,0	-
281-rough%5:00:00:difficult:00	281,rough%5:00:00:difficult:00	1,0	-
281-rough%5:00:00:inexact:00	281,rough%5:00:00:inexact:00	1,0	-
281-rough%5:00:00:stormy:00	281,rough%5:00:00:stormy:00	1,0	-
281-rough%5:00:00:unkind:00	281,rough%5:00:00:unkind:00	1,0	-
281-rough%5:00:00:unpleasant:00	281,rough%5:00:00:unpleasant:00	1,0	-
281-rough%5:00:00:unpolished:00	281,rough%5:00:00:unpolished:00	1,0	-
281-rough%5:00:00:unrefined:01	281,rough%5:00:00:unrefined:01	1,0	-
281-rough%5:00:00:unskilled:00	281,rough%5:00:00:unskilled:00	1,0	-
282-rough%3:00:00::	282,rough%3:00:00::	1,0	-
282-rough%3:00:02::	282,rough%3:00:02::	1,0	-
282-rough%3:00:04::	282,rough%3:00:04::	1,0	-
282-rough%3:00:05::	282,rough%3:00:05::	1,0	-
282-rough%5:00:00:aggressive:00	282,rough%5:00:00:aggressive:00	1,0	-
282-rough%5:00:00:cacophonous:00	282,rough%5:00:00:cacophonous:00	1,0	-
282-rough%5:00:00:difficult:00	282,rough%5:00:00:difficult:00	1,0	-
282-rough%5:00:00:inexact:00	282,rough%5:00:00:inexact:00	1,0	-
282-rough%5:00:00:stormy:00	282,rough%5:00:00:stormy:00	1,0	-
282-rough%5:00:00:unkind:00	282,rough%5:00:00:unkind:00	1,0	-
282-rough%5:00:00:unpleasant:00	282,rough%5:00:00:unpleasant:00	1,0	-
282-rough%5:00:00:unpolished:00	282,rough%5:00:00:unpolished:00	1,0	-
282-rough%5:00:00:unrefined:01	282,rough%5:00:00:unrefined:01	1,0	-
282-rough%5:00:00:unskilled:00	282,rough%5:00:00:unskilled:00	1,0	-
121-severely%4:02:01::	121,severely%4:02:01::	1,0	-
121-severely%4:02:02::	121,severely%4:02:02::	1,0	-
121-severely%4:02:03::	121,severely%4:02:03::	1,0	-
122-severely%4:02:01::	122,severely%4:02:01::	1,0	-
122-severely%4:02:02::	122,severely%4:02:02::	1,0	-
122-severely%4:02:03::	122,severely%4:02:03::	1,0	-
