senseID	definition	lemma
skip%2:31:01::	bypass	skip.v
skip%2:35:00::	cause to skip over a surface	skip.v
skip%2:38:00::	jump lightly	skip.v
skip%2:38:02::	leave suddenly	skip.v
skip%2:38:03::	bound off one point after another	skip.v
skip%2:42:00::	intentionally fail to attend	skip.v
range%1:06:00::	a place for shooting (firing or driving) projectiles of various kinds	range.n
range%1:06:01::	a kitchen appliance used for cooking food	range.n
range%1:07:00::	an area in which something acts or operates or has power or control:	range.n
range%1:09:00::	the limit of capability	range.n
range%1:14:00::	a variety of different things or activities	range.n
range%1:14:01::	(mathematics) the set of values of the dependent variable for which a function is defined	range.n
range%1:15:01::	the limits within which something can be effective	range.n
range%1:15:02::	a large tract of grassy open land on which livestock can graze	range.n
range%1:17:00::	a series of hills or mountains	range.n
rough%3:00:00::	having or caused by an irregular surface	rough.a
rough%3:00:02::	of the margin of a leaf shape; having the edge cut or fringed or scalloped	rough.a
rough%3:00:04::	causing or characterized by jolts and irregular movements	rough.a
rough%3:00:05::	not shaped by cutting or trimming	rough.a
rough%5:00:00:aggressive:00	ready and able to resort to force or violence; - Herman Melville	rough.a
rough%5:00:00:cacophonous:00	unpleasantly harsh or grating in sound	rough.a
rough%5:00:00:difficult:00	full of hardship or trials	rough.a
rough%5:00:00:inexact:00	not quite exact or correct	rough.a
rough%5:00:00:stormy:00	violently agitated and turbulent; ; - Ezra Pound	rough.a
rough%5:00:00:unkind:00	unkind or cruel or uncivil	rough.a
rough%5:00:00:unpleasant:00	unpleasantly stern	rough.a
rough%5:00:00:unpolished:00	not perfected	rough.a
rough%5:00:00:unrefined:01	(of persons or behavior) lacking refinement or finesse	rough.a
rough%5:00:00:unskilled:00	not carefully or expertly made	rough.a
severely%4:02:01::	to a severe or serious degree	severely.r
severely%4:02:02::	with sternness; in a severe manner	severely.r
severely%4:02:03::	causing great damage or hardship	severely.r
