instanceID	dataIDs	label_set	non_label
sense0-hc_1070405_1848-734-13	sense0,hc_1070405_1848-734-13	0,1	-
sense1-hc_1070405_1848-734-13	sense1,hc_1070405_1848-734-13	0,1	-
sense2-hc_1070405_1848-734-13	sense2,hc_1070405_1848-734-13	0,1	-
sense0-2532889X_1958-08-19_01_085.tcf.xml-5-20	sense0,2532889X_1958-08-19_01_085.tcf.xml-5-20	0,1	-
sense1-2532889X_1958-08-19_01_085.tcf.xml-5-20	sense1,2532889X_1958-08-19_01_085.tcf.xml-5-20	0,1	-
sense2-2532889X_1958-08-19_01_085.tcf.xml-5-20	sense2,2532889X_1958-08-19_01_085.tcf.xml-5-20	0,1	-
sense0-hundtradowsky_judenschule03_1823-985-102	sense0,hundtradowsky_judenschule03_1823-985-102	0,1	-
sense1-hundtradowsky_judenschule03_1823-985-102	sense1,hundtradowsky_judenschule03_1823-985-102	0,1	-
sense2-hundtradowsky_judenschule03_1823-985-102	sense2,hundtradowsky_judenschule03_1823-985-102	0,1	-
sense0-26120215_1974_09_11_01_061.tcf.xml-32-21	sense0,26120215_1974_09_11_01_061.tcf.xml-32-21	0,1	-
sense1-26120215_1974_09_11_01_061.tcf.xml-32-21	sense1,26120215_1974_09_11_01_061.tcf.xml-32-21	0,1	-
sense2-26120215_1974_09_11_01_061.tcf.xml-32-21	sense2,26120215_1974_09_11_01_061.tcf.xml-32-21	0,1	-
sense0-keller_heinrich01_1854-59-8	sense0,keller_heinrich01_1854-59-8	0,1	-
sense1-keller_heinrich01_1854-59-8	sense1,keller_heinrich01_1854-59-8	0,1	-
sense2-keller_heinrich01_1854-59-8	sense2,keller_heinrich01_1854-59-8	0,1	-
sense0-hauptmann_sonnenaufgang_1889-997-10	sense0,hauptmann_sonnenaufgang_1889-997-10	0,1	-
sense1-hauptmann_sonnenaufgang_1889-997-10	sense1,hauptmann_sonnenaufgang_1889-997-10	0,1	-
sense2-hauptmann_sonnenaufgang_1889-997-10	sense2,hauptmann_sonnenaufgang_1889-997-10	0,1	-
sense0-26120215_1987_02_10_01_047.tcf.xml-35-5	sense0,26120215_1987_02_10_01_047.tcf.xml-35-5	0,1	-
sense1-26120215_1987_02_10_01_047.tcf.xml-35-5	sense1,26120215_1987_02_10_01_047.tcf.xml-35-5	0,1	-
sense2-26120215_1987_02_10_01_047.tcf.xml-35-5	sense2,26120215_1987_02_10_01_047.tcf.xml-35-5	0,1	-
sense0-2532889X_1959-10-23_01_105.tcf.xml-4-5	sense0,2532889X_1959-10-23_01_105.tcf.xml-4-5	0,1	-
sense1-2532889X_1959-10-23_01_105.tcf.xml-4-5	sense1,2532889X_1959-10-23_01_105.tcf.xml-4-5	0,1	-
sense2-2532889X_1959-10-23_01_105.tcf.xml-4-5	sense2,2532889X_1959-10-23_01_105.tcf.xml-4-5	0,1	-
sense0-2532889X_1975-12-24_01_033.tcf.xml-20-12	sense0,2532889X_1975-12-24_01_033.tcf.xml-20-12	0,1	-
sense1-2532889X_1975-12-24_01_033.tcf.xml-20-12	sense1,2532889X_1975-12-24_01_033.tcf.xml-20-12	0,1	-
sense2-2532889X_1975-12-24_01_033.tcf.xml-20-12	sense2,2532889X_1975-12-24_01_033.tcf.xml-20-12	0,1	-
sense0-gizycki_buergerpflicht_1895-127-99	sense0,gizycki_buergerpflicht_1895-127-99	0,1	-
sense1-gizycki_buergerpflicht_1895-127-99	sense1,gizycki_buergerpflicht_1895-127-99	0,1	-
sense2-gizycki_buergerpflicht_1895-127-99	sense2,gizycki_buergerpflicht_1895-127-99	0,1	-
sense0-schauberg_freimaurerei03_1863-2669-28	sense0,schauberg_freimaurerei03_1863-2669-28	0,1	-
sense1-schauberg_freimaurerei03_1863-2669-28	sense1,schauberg_freimaurerei03_1863-2669-28	0,1	-
sense2-schauberg_freimaurerei03_1863-2669-28	sense2,schauberg_freimaurerei03_1863-2669-28	0,1	-
sense0-26120215_1981_04_15_01_194.tcf.xml-45-9	sense0,26120215_1981_04_15_01_194.tcf.xml-45-9	0,1	-
sense1-26120215_1981_04_15_01_194.tcf.xml-45-9	sense1,26120215_1981_04_15_01_194.tcf.xml-45-9	0,1	-
sense2-26120215_1981_04_15_01_194.tcf.xml-45-9	sense2,26120215_1981_04_15_01_194.tcf.xml-45-9	0,1	-
sense0-26120215_1953_06_14_01_052.tcf.xml-79-3	sense0,26120215_1953_06_14_01_052.tcf.xml-79-3	0,1	-
sense1-26120215_1953_06_14_01_052.tcf.xml-79-3	sense1,26120215_1953_06_14_01_052.tcf.xml-79-3	0,1	-
sense2-26120215_1953_06_14_01_052.tcf.xml-79-3	sense2,26120215_1953_06_14_01_052.tcf.xml-79-3	0,1	-
sense0-rosegger_waldschulmeister_1875-3816-7	sense0,rosegger_waldschulmeister_1875-3816-7	0,1	-
sense1-rosegger_waldschulmeister_1875-3816-7	sense1,rosegger_waldschulmeister_1875-3816-7	0,1	-
sense2-rosegger_waldschulmeister_1875-3816-7	sense2,rosegger_waldschulmeister_1875-3816-7	0,1	-
sense0-2532889X_1990-08-22_01_065.tcf.xml-13-6	sense0,2532889X_1990-08-22_01_065.tcf.xml-13-6	0,1	-
sense1-2532889X_1990-08-22_01_065.tcf.xml-13-6	sense1,2532889X_1990-08-22_01_065.tcf.xml-13-6	0,1	-
sense2-2532889X_1990-08-22_01_065.tcf.xml-13-6	sense2,2532889X_1990-08-22_01_065.tcf.xml-13-6	0,1	-
sense0-savigny_system02_1840-2902-69	sense0,savigny_system02_1840-2902-69	0,1	-
sense1-savigny_system02_1840-2902-69	sense1,savigny_system02_1840-2902-69	0,1	-
sense2-savigny_system02_1840-2902-69	sense2,savigny_system02_1840-2902-69	0,1	-
sense0-savigny_system02_1840-2902-75	sense0,savigny_system02_1840-2902-75	0,1	-
sense1-savigny_system02_1840-2902-75	sense1,savigny_system02_1840-2902-75	0,1	-
sense2-savigny_system02_1840-2902-75	sense2,savigny_system02_1840-2902-75	0,1	-
sense0-schmidlin_kinderindustrie_1821-630-47	sense0,schmidlin_kinderindustrie_1821-630-47	0,1	-
sense1-schmidlin_kinderindustrie_1821-630-47	sense1,schmidlin_kinderindustrie_1821-630-47	0,1	-
sense2-schmidlin_kinderindustrie_1821-630-47	sense2,schmidlin_kinderindustrie_1821-630-47	0,1	-
sense0-paul_katzenberger02_1809-792-21	sense0,paul_katzenberger02_1809-792-21	0,1	-
sense1-paul_katzenberger02_1809-792-21	sense1,paul_katzenberger02_1809-792-21	0,1	-
sense2-paul_katzenberger02_1809-792-21	sense2,paul_katzenberger02_1809-792-21	0,1	-
sense0-2532889X_1990-06-27_01_154.tcf.xml-2-27	sense0,2532889X_1990-06-27_01_154.tcf.xml-2-27	0,1	-
sense1-2532889X_1990-06-27_01_154.tcf.xml-2-27	sense1,2532889X_1990-06-27_01_154.tcf.xml-2-27	0,1	-
sense2-2532889X_1990-06-27_01_154.tcf.xml-2-27	sense2,2532889X_1990-06-27_01_154.tcf.xml-2-27	0,1	-
sense0-kerner_besessene_1834-1344-7	sense0,kerner_besessene_1834-1344-7	0,1	-
sense1-kerner_besessene_1834-1344-7	sense1,kerner_besessene_1834-1344-7	0,1	-
sense2-kerner_besessene_1834-1344-7	sense2,kerner_besessene_1834-1344-7	0,1	-
sense0-nn_nrhz200_1849-263-9	sense0,nn_nrhz200_1849-263-9	0,1	-
sense1-nn_nrhz200_1849-263-9	sense1,nn_nrhz200_1849-263-9	0,1	-
sense2-nn_nrhz200_1849-263-9	sense2,nn_nrhz200_1849-263-9	0,1	-
sense0-2532889X_1970-01-22_01_073.tcf.xml-17-6	sense0,2532889X_1970-01-22_01_073.tcf.xml-17-6	0,1	-
sense1-2532889X_1970-01-22_01_073.tcf.xml-17-6	sense1,2532889X_1970-01-22_01_073.tcf.xml-17-6	0,1	-
sense2-2532889X_1970-01-22_01_073.tcf.xml-17-6	sense2,2532889X_1970-01-22_01_073.tcf.xml-17-6	0,1	-
sense0-2532889X_1989-02-11_01_211.tcf.xml-39-10	sense0,2532889X_1989-02-11_01_211.tcf.xml-39-10	0,1	-
sense1-2532889X_1989-02-11_01_211.tcf.xml-39-10	sense1,2532889X_1989-02-11_01_211.tcf.xml-39-10	0,1	-
