dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1958-08-19_01_085.tcf.xml-5-20	Schon der Großmutter von Max Müller war nach des Lebens Mühen kein ruhiger Feierabend vergönnt gewesen; Ihr Los hieß Armenhaus.	117:126	0:127	Armenhaus
2532889X_1959-10-23_01_105.tcf.xml-4-5	"Schleswig-Holstein, oft als „Armenhaus"" Westdeutschlands bezeichnet, wird gegenwartig vom Kriegsministerium und vom NATO-Stab zur Aggressionsbasis Nr. 1 ausgebaut."	29:38	0:163	Armenhaus
2532889X_1970-01-22_01_073.tcf.xml-17-6	"Ohne umfangreiche Unterstützung wäre das „Armenhaus"" Europas, wie man Portugal nennt (niedrigstes Pro-Kopf-Einkommen Europas, 40 Prozent Analphabeten), überhaupt nicht in der Lage, den afrikanischen Terrorfeldzug zu führen."	42:51	0:223	Armenhaus
2532889X_1974-12-28_01_086.tcf.xml-14-31	"Der. Parfümarchipel"", der mit seinen Korallenriffen und seiner üppigen Natur als Paradies gepriesen wird, ist in Wirklichkeit durch jahrhundertelange ausländische Ausbeutung und einheimische feudalistische Unterdrückung zu einem Armenhaus geworden."	229:238	0:248	Armenhaus
2532889X_1975-09-04_01_211.tcf.xml-39-16	Zwei Jahre faschistische Diktatur haben das einst aufblühende Chile in ein riesiges Konzentrationslager, in ein Armenhaus Lateinamerikas verwandelt.	112:121	0:148	Armenhaus
2532889X_1975-12-24_01_033.tcf.xml-20-12	13 Millionen Italiener beispielsweise streikten für die Oberwindung der sozialökonomischen Zurückgebliebenheit des Armenhauses ihres Landes, des Mezzogiorno.	115:126	0:157	Armenhaus
2532889X_1980-03-01_01_122.tcf.xml-14-18	"Mit jährlich einer Milliarde Pfund Sterling von allen „Entwicklungsgebieten"" am stärksten subventioniert verkörpert Nordirland gleichwohl das Armenhaus des Vereinigten Königreichs."	142:151	0:180	Armenhaus
2532889X_1989-02-11_01_211.tcf.xml-39-10	"Damals war die Landschaft um den Pudget-Sund zu einem der Armenhäuser der Vereinigten Staaten geworden, und der Satz „Wenn Boeing hustet, bekommt Seattle die Grippe"", machte die"	58:69	0:177	Armenhaus
2532889X_1990-06-27_01_154.tcf.xml-2-27	"Hielten diese hohen Auswanderungsquoten an, so wurde dieser Tage auf einem Kolloquium am Berliner Institut für Sozialwissenschaftliche Studien gewarnt, könnte „Ostelbien"" zu einem Armenhaus Deutschlands werden."	180:189	0:210	Armenhaus
2532889X_1990-08-15_01_278.tcf.xml-1-9	In der BRD alles paletti, DDR wird zum Armenhaus	39:48	0:48	Armenhaus
2532889X_1990-08-22_01_065.tcf.xml-13-6	Es dürfe nicht ' eines das Armenhaus des anderen werden.	27:36	0:56	Armenhaus
26120215_1953_04_05_01_056.tcf.xml-58-10	Am 28. März dieses Jahres starb Jim Thorpe in einem Armenhaus in Los Angeles im Alter von 64 Jahren	52:61	0:99	Armenhaus
26120215_1953_06_14_01_052.tcf.xml-79-3	riianer in einem Armenhaus von Los Angelvj im Alter von 64 Jahron Paolino tlzrudun (Spanion): lfl!? B und 1933 Europameister der Benif:-hoxer im Schw < Taewidit.	17:26	0:161	Armenhaus
26120215_1966_02_20_01_008.tcf.xml-12-19	"Über die ganze Breite der Straßen waren Transparente zu lesen: „Schluß mit den Zechenstilllesungen..Gelsenkirchen darf kein Armenhaus werden „wir wollen in unseren Wohnungen bleiben „Wir wollen keine Hilfsarbeiter werden"""	124:133	0:221	Armenhaus
26120215_1966_12_25_01_496.tcf.xml-15-20	Mit jedem seiner nun in rascher Folge erscheinenden großen Romane griff er ein besonderes soziales Dbel seiner Zeit auf, Armenhäuser, Gerichtsbarkeit, Schulwesen.	121:132	0:162	Armenhaus
26120215_1970_01_28_01_083.tcf.xml-26-11	"Von den acht Millionen Schweden leben in Norrland, dem „Armenhaus"" Schwedens. nur etwa 14 Prozent."	56:65	0:98	Armenhaus
26120215_1970_10_24_01_214.tcf.xml-29-2	Aus einem Armenhaus Europas ist eine blühende sozialistische Republik geworden.	10:19	0:79	Armenhaus
26120215_1974_09_11_01_061.tcf.xml-32-21	Mißwirtschaft und stänrlispr Aderlaß führten dann auch folgerichtig zur Katastrophe, brachten Portugal den vom internationalen Kapital zvnisch gebrauchten Namen „Armenhaus Europas ein.	162:171	0:184	Armenhaus
26120215_1981_04_15_01_194.tcf.xml-45-9	„Unbestritten gehörte im kapitalistischen Deutschland Suhl zu den Armenhäusern.	66:78	0:79	Armenhaus
26120215_1987_02_10_01_047.tcf.xml-35-5	Die Karibik-Insel gilt als das Armenhaus der westlichen Hemisphäre.	31:40	0:67	Armenhaus
26120215_1988_04_04_01_054.tcf.xml-7-17	Die Einwohner des um seine Existenz kämpfenden Rheinhausen begrüßten die rund 4000 Demonstranten mit dem Transparent „Armenhaus Rheinhausen — nein.	118:127	0:147	Armenhaus
26120215_1990_08_01_01_067.tcf.xml-21-3	"Im. nationalen Armenhaus"" der Türkei ist die Kindersterblichkeit sehr hoch, in weiten Teilen der Region gibt es kein fließendes Wasser in den Behausungen."	15:24	0:154	Armenhaus
26120215_1990_08_11_01_818.tcf.xml-59-10	Helmut Nüchter übertreibt nicht, wenn er das Kalirevier zum Armenhaus Deutschlands verkommen sieht.	60:69	0:99	Armenhaus
26120215_1990_08_11_01_818.tcf.xml-94-11	Durch Protestaktionen wollten die Kalikumpel verhindern, daß die Region zum Armenhaus wird.	76:85	0:91	Armenhaus
26120215_1990_08_31_01_056.tcf.xml-33-19	Ein solches bundesdeutsches Amt böte auch die Gewähr daß die Belastungen des sowjetischen Truppenabzuges nicht auch noch dem ostdeutschen Armenhaus allein aufgebürdet werden.	138:147	0:174	Armenhaus
avelallemant_gaunerthum02_1858-2803-62	So ist es denn nicht zu verwundern, wenn der aufmerksame Blick der Polizei in den zahlreichen Verstecken, in welchen besonders alte Kupplerinnen und abgesetzte Lustdirnen die rohe Unwissenheit, den perennirenden Aberglauben und die tolle Genußsucht ausbeuten, noch immer die schmählichsten Betrügereien aufdeckt, durch welche schon vielfach der vollständige sittliche und bürgerliche Ruin und der Weg in das Armenhaus, Zuchthaus und Jrrenhaus angebahnt, und häufiger Selbstmord herbeigeführt wurde.	408:417	0:498	Armenhaus
