instanceID	label	comment	annotator
sense0,26120215_1981_04_07_01_039.tcf.xml-14-24	0	-	annotatorA
sense1,26120215_1981_04_07_01_039.tcf.xml-14-24	0	-	annotatorA
sense2,26120215_1981_04_07_01_039.tcf.xml-14-24	1	-	annotatorA
sense0,humboldt_kosmos04_1858-4158-7	0	-	annotatorA
sense1,humboldt_kosmos04_1858-4158-7	1	-	annotatorA
sense2,humboldt_kosmos04_1858-4158-7	0	-	annotatorA
sense0,26120215_1946_06_28_01_228.tcf.xml-26-7	0	-	annotatorA
sense1,26120215_1946_06_28_01_228.tcf.xml-26-7	1	-	annotatorA
sense2,26120215_1946_06_28_01_228.tcf.xml-26-7	0	-	annotatorA
sense0,mach_mechanik_1883-2785-4	0	-	annotatorA
sense1,mach_mechanik_1883-2785-4	1	-	annotatorA
sense2,mach_mechanik_1883-2785-4	0	-	annotatorA
sense0,reil_curmethode_1803-2996-5	0	-	annotatorA
sense1,reil_curmethode_1803-2996-5	0	-	annotatorA
sense2,reil_curmethode_1803-2996-5	1	-	annotatorA
sense0,vischer_aesthetik030204_1857-2195-4	0	-	annotatorA
sense1,vischer_aesthetik030204_1857-2195-4	0	-	annotatorA
sense2,vischer_aesthetik030204_1857-2195-4	1	-	annotatorA
sense0,2532889X_1987-04-08_01_081.tcf.xml-6-0	0	-	annotatorA
sense1,2532889X_1987-04-08_01_081.tcf.xml-6-0	0	-	annotatorA
sense2,2532889X_1987-04-08_01_081.tcf.xml-6-0	1	-	annotatorA
sense0,26120215_1973_03_11_01_405.tcf.xml-74-15	0	-	annotatorA
sense1,26120215_1973_03_11_01_405.tcf.xml-74-15	0	-	annotatorA
sense2,26120215_1973_03_11_01_405.tcf.xml-74-15	1	-	annotatorA
sense0,2532889X_1984-05-25_01_041.tcf.xml-218-9	0	-	annotatorA
sense1,2532889X_1984-05-25_01_041.tcf.xml-218-9	0	-	annotatorA
sense2,2532889X_1984-05-25_01_041.tcf.xml-218-9	1	-	annotatorA
