dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1966-03-29_01_056.tcf.xml-3-9	In einer Entwicklung « --Phase von so gewaltiger Dynamik kommt es für einen Industriestaat vom Hange der Deutschen Demokratischen Republik entscheidend darauf an, daß alle bestehenden Möglichkeiten ausgeschöpft werden, um dem Neuen, dort wo es sich wirtschaftlich lohnt, schnell zum Durchbrach zu verhelfen.	49:56	0:307	Dynamik
2532889X_1969-09-03_01_021.tcf.xml-31-16	sozialistischen Eigentümerbewußtseins und demokratischer Masseninitiative, noch fester zu einer untrennbaren Einheit zusammenzufügen, um der Dynamik unserer Entwicklung gerecht zu werden.	141:148	0:187	Dynamik
2532889X_1974-12-15_01_163.tcf.xml-76-16	Die wirtschaftliche Entwicklung der DDR werde in diesem Jahr „im allgemeinen von Kontinuität und hoher Dynamik gekennzeichnet*, schreibt das Blatt.	103:110	0:147	Dynamik
2532889X_1976-05-21_01_087.tcf.xml-148-17	"ANGOLA Die Zeitung „Diario de Luanda"" hebt die Worte Erich Honeckers hervor, Stabilität und Dynamik des sozialistischen Weltsystems bestimmten in engem Zusammenwirken mit der internationalen Arbeiterbewegung und der nationalen Befreiungsbewegung immer mehr den Gang der Dinge iii der Welt."	92:99	0:289	Dynamik
2532889X_1976-07-01_01_039.tcf.xml-9-12	Es kann für uns keinen Zweifel daran geben, daß die außerordentliche Dynamik dieser Entwicklung, deren positive Auswirkungen auf das Leben unserer Völker mit jedem Tag stärker werden, vor allem dem einigen Vorgehen der kommunistischen und Arbeiterparteien zuzuschreiben ist, die ihren Kampf und ihre Politik auf die wissenschaftlichen und wahrhaft revolutionären Erkenntnisse des Marxismus-Leninismus begründen.	69:76	0:411	Dynamik
2532889X_1980-01-02_01_075.tcf.xml-13-12	„Sie hat auf die anderen Künste vor allem gewirkt durch ihre Dynamik, eine Vielzahl schöpferischer Ideen und hohe technische Qualität.	61:68	0:134	Dynamik
2532889X_1984-05-25_01_041.tcf.xml-218-9	Geprägt von dem Bewußtsein, daß politische Stabilität ökonomische Dynamik und kontinuierliche Fortsetzung der Einheit von Wirtschaft »-und Sozialpolitik von entscheidender Bedeutung für den Beitrag unseres Landes zur Sicherung des Friedens sind, wollen sie im 35. Jahr des Bestehens der DDR-die bisher größten Leistungen erreichen.	66:73	0:331	Dynamik
2532889X_1985-11-30_01_005.tcf.xml-58-8	Er unterstrich, daß sich dde von hoher Dynamik und Effektivität gekennzeichnete volkswirtschaftliche Entwicklung der DDR auch 1986 fortsetzen ward.	39:46	0:147	Dynamik
2532889X_1985-12-21_01_309.tcf.xml-8-9	Die Großzügigkeit und Kühnheit im Zugriff auf Wirklichkeit die Dynamik und Freiheit seiner Gestaltungen werden als ein Ausdruck der optimistischen Weltsicht der unmißverständlich bekundeten Zukunftsgewißheit dieses Künstlers und Kommunisten empfunden.	63:70	0:251	Dynamik
2532889X_1986-04-19_01_186.tcf.xml-36-16	Dabei haben sich das Tempo der Umsetzung neuer Erkenntnisse in den Reproduktionsprozeß, aber auch die Dynamik der Wissenschaftsentwicklung selbst weiter beschleunigt.	102:109	0:166	Dynamik
2532889X_1986-11-07_01_041.tcf.xml-221-12	Die DDR verfügt über alle Potenzen, um auch künftig eine hohe Dynamik der gesellschaftlichen Entwicklung zu gewährleisten und die Anforderungen unserer Zeit erfolgreich im Interesse und zum Wohle der Menschen zu bewältigen.	62:69	0:223	Dynamik
2532889X_1986-11-22_01_058.tcf.xml-151-8	Wir lassen uns davon leiten, daß die Dynamik des Wirtschaftswachstums immer mehr von der Beherrschung der Schlüsseltechnologien bestimmt wird.	37:44	0:142	Dynamik
2532889X_1987-04-08_01_081.tcf.xml-6-0	Dynamik gewonnen ' haben, die einen Abschluß noch in diesem Jahr erhoffen läßt.	0:7	0:79	Dynamik
2532889X_1987-12-22_01_038.tcf.xml-30-1	der Dynamik der Entwicklung der Produktivkräfte Schritt halten. —	4:11	0:65	Dynamik
2532889X_1989-10-28_01_142.tcf.xml-66-14	Die Grenzen des bisherigen Entwicklungsweges müssen durchstoßen werden, damit der Sozialismus eine höhere Dynamik und dadurch auch eine größere Stabilität erlangt, damit er sein ganzes Triebkraftpotential entfalten kann.	106:113	0:220	Dynamik
2532889X_1990-06-14_01_105.tcf.xml-18-11	Zügig in den Tempi, akzentuiert und sängerfreundlich in der klangtransparenten Dynamik ging man da zu Werke, ergänzt durch eine sängerische Topbesetzung.	79:86	0:153	Dynamik
26120215_1946_06_28_01_228.tcf.xml-26-7	Im zweiten Teile seines Werkes über die Dynamik findet sich weiter die erstaunliche Erkenntnis, daß die Wärmen (wir sagen heute Temperaturen) im umgekehrten Verhältnis zu den Dichten der Luft stehen.	40:47	0:199	Dynamik
26120215_1973_03_11_01_405.tcf.xml-74-15	Die Beschlüsse des VI. Parteitaaes der PVAP dienen dem Ziel, dieser Entwicklung noch mehr Dynamik zu verleihen.	90:97	0:111	Dynamik
26120215_1981_04_07_01_039.tcf.xml-14-24	Günter Mittag, Mitglied des Politbüros und Sekretär des Zentralkomitees der SED, weist nach, daß in unserer Republik die sozialistische Planwirtschaft ihre Dynamik auch unter veränderten Bedingungen beweist, weil die marxistisch-leninistische Partei in der Wirtschaftspolitik ihre führende Rolle auf der Grundlage einer richtigen Gesellschaftsstrategie konsequent verwirklicht	156:163	0:376	Dynamik
26120215_1986_03_04_01_009.tcf.xml-16-13	Um die großangelegten wirtschaftlichen und sozialen Aufgaben gleichzeitig zu lösen, müsse die Dynamik des Zuwachses an Nationaleinkommen erhöht und die negative Tendenz des nachlas -	94:101	0:182	Dynamik
26120215_1986_10_11_01_374.tcf.xml-69-17	Dennoch schien mir zum Beispiel Schuberts c-Moll -Quartettsatz in seiner inneren Zwiespältigkeit nicht ausgeschöpft, blieb die Dynamik relativ flach, die Artikulation unentschieden.	127:134	0:181	Dynamik
26120215_1987_08_01_01_439.tcf.xml-4-3	Deren militante exportwirtschaftliche Dynamik hat die Konkurrenz Im letzten Jahrzehnt das Fürchten gelehrt.	38:45	0:107	Dynamik
