instanceID	dataIDs	label_set	non_label
sense0-26120215_1986_11_08_01_399.tcf.xml-1-13	sense0,26120215_1986_11_08_01_399.tcf.xml-1-13	0,1	-
sense1-26120215_1986_11_08_01_399.tcf.xml-1-13	sense1,26120215_1986_11_08_01_399.tcf.xml-1-13	0,1	-
sense2-26120215_1986_11_08_01_399.tcf.xml-1-13	sense2,26120215_1986_11_08_01_399.tcf.xml-1-13	0,1	-
sense0-2532889X_1953-11-15_01_044.tcf.xml-9-7	sense0,2532889X_1953-11-15_01_044.tcf.xml-9-7	0,1	-
sense1-2532889X_1953-11-15_01_044.tcf.xml-9-7	sense1,2532889X_1953-11-15_01_044.tcf.xml-9-7	0,1	-
sense2-2532889X_1953-11-15_01_044.tcf.xml-9-7	sense2,2532889X_1953-11-15_01_044.tcf.xml-9-7	0,1	-
sense0-2532889X_1980-08-13_01_045.tcf.xml-63-8	sense0,2532889X_1980-08-13_01_045.tcf.xml-63-8	0,1	-
sense1-2532889X_1980-08-13_01_045.tcf.xml-63-8	sense1,2532889X_1980-08-13_01_045.tcf.xml-63-8	0,1	-
sense2-2532889X_1980-08-13_01_045.tcf.xml-63-8	sense2,2532889X_1980-08-13_01_045.tcf.xml-63-8	0,1	-
sense0-26120215_1975_02_05_01_085.tcf.xml-14-11	sense0,26120215_1975_02_05_01_085.tcf.xml-14-11	0,1	-
sense1-26120215_1975_02_05_01_085.tcf.xml-14-11	sense1,26120215_1975_02_05_01_085.tcf.xml-14-11	0,1	-
sense2-26120215_1975_02_05_01_085.tcf.xml-14-11	sense2,26120215_1975_02_05_01_085.tcf.xml-14-11	0,1	-
sense0-boelsche_liebesleben01_1898-998-4	sense0,boelsche_liebesleben01_1898-998-4	0,1	-
sense1-boelsche_liebesleben01_1898-998-4	sense1,boelsche_liebesleben01_1898-998-4	0,1	-
sense2-boelsche_liebesleben01_1898-998-4	sense2,boelsche_liebesleben01_1898-998-4	0,1	-
sense0-boelsche_liebesleben01_1898-5496-26	sense0,boelsche_liebesleben01_1898-5496-26	0,1	-
sense1-boelsche_liebesleben01_1898-5496-26	sense1,boelsche_liebesleben01_1898-5496-26	0,1	-
sense2-boelsche_liebesleben01_1898-5496-26	sense2,boelsche_liebesleben01_1898-5496-26	0,1	-
sense0-26120215_1973_08_31_01_205.tcf.xml-8-16	sense0,26120215_1973_08_31_01_205.tcf.xml-8-16	0,1	-
sense1-26120215_1973_08_31_01_205.tcf.xml-8-16	sense1,26120215_1973_08_31_01_205.tcf.xml-8-16	0,1	-
