instanceID	label	comment	annotator
sense0,26120215_1986_11_08_01_399.tcf.xml-1-13	1	-	annotatorA
sense1,26120215_1986_11_08_01_399.tcf.xml-1-13	0	-	annotatorA
sense2,26120215_1986_11_08_01_399.tcf.xml-1-13	0	-	annotatorA
sense0,2532889X_1953-11-15_01_044.tcf.xml-9-7	0	-	annotatorA
sense1,2532889X_1953-11-15_01_044.tcf.xml-9-7	0	-	annotatorA
sense2,2532889X_1953-11-15_01_044.tcf.xml-9-7	1	-	annotatorA
sense0,2532889X_1980-08-13_01_045.tcf.xml-63-8	0	-	annotatorA
sense1,2532889X_1980-08-13_01_045.tcf.xml-63-8	0	-	annotatorA
sense2,2532889X_1980-08-13_01_045.tcf.xml-63-8	1	-	annotatorA
sense0,26120215_1975_02_05_01_085.tcf.xml-14-11	-	unklar	annotatorA
sense1,26120215_1975_02_05_01_085.tcf.xml-14-11	-	unklar	annotatorA
sense2,26120215_1975_02_05_01_085.tcf.xml-14-11	-	unklar	annotatorA
sense0,boelsche_liebesleben01_1898-998-4	-	unklar	annotatorA
sense1,boelsche_liebesleben01_1898-998-4	-	unklar	annotatorA
sense2,boelsche_liebesleben01_1898-998-4	-	unklar	annotatorA
sense0,boelsche_liebesleben01_1898-5496-26	0	-	annotatorA
sense1,boelsche_liebesleben01_1898-5496-26	1	-	annotatorA
sense2,boelsche_liebesleben01_1898-5496-26	0	-	annotatorA
sense0,26120215_1973_08_31_01_205.tcf.xml-8-16	0	-	annotatorA
sense1,26120215_1973_08_31_01_205.tcf.xml-8-16	0	-	annotatorA
sense2,26120215_1973_08_31_01_205.tcf.xml-8-16	1	-	annotatorA
sense0,nn_nrhz297b_1849-34-15	0	-	annotatorA
sense1,nn_nrhz297b_1849-34-15	0	-	annotatorA
sense2,nn_nrhz297b_1849-34-15	1	-	annotatorA
sense0,2532889X_1970-12-19_01_110.tcf.xml-29-11	0	-	annotatorA
sense1,2532889X_1970-12-19_01_110.tcf.xml-29-11	0	-	annotatorA
sense2,2532889X_1970-12-19_01_110.tcf.xml-29-11	1	-	annotatorA
sense0,26120215_1983_03_17_01_194.tcf.xml-5-4	0	-	annotatorA
sense1,26120215_1983_03_17_01_194.tcf.xml-5-4	0	-	annotatorA
sense2,26120215_1983_03_17_01_194.tcf.xml-5-4	1	-	annotatorA
sense0,nn_nrhz207i_1849-181-15	-	unklar	annotatorA
sense1,nn_nrhz207i_1849-181-15	-	unklar	annotatorA
sense2,nn_nrhz207i_1849-181-15	-	unklar	annotatorA
sense0,holz_hamlet_1889-18-24	-	unklar	annotatorA
sense1,holz_hamlet_1889-18-24	-	unklar	annotatorA
sense2,holz_hamlet_1889-18-24	-	unklar	annotatorA
sense0,vogt_thierstaaten_1851-1326-16	0	-	annotatorA
sense1,vogt_thierstaaten_1851-1326-16	1	-	annotatorA
sense2,vogt_thierstaaten_1851-1326-16	0	-	annotatorA
sense0,treitschke_geschichte05_1894-3174-13	0	-	annotatorA
sense1,treitschke_geschichte05_1894-3174-13	0	-	annotatorA
sense2,treitschke_geschichte05_1894-3174-13	1	-	annotatorA
sense0,26120215_1972_04_28_01_134.tcf.xml-4-10	0	-	annotatorA
