dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1953-11-15_01_044.tcf.xml-9-7	Nicht wenige Werke unserer zeitgenössischen Dramatik sind Eintagsfliegen geblieben, da ihnen ein Minimum an künstlerischer Aussagekraft fehlte.	58:72	0:143	Eintagsfliege
2532889X_1967-10-08_01_194.tcf.xml-17-24	Zwischen Wachen und Träumen erlebt ein Landstreicher (Ladislav Pesek bestätigte in dieser Rolle seine Meisterschaft) bei Schmetterlingen und Mistkäfern, Raubinsekten und Eintagsfliegen, Grillen und Ameisen allzumensch -	170:184	0:219	Eintagsfliege
2532889X_1970-04-05_01_285.tcf.xml-43-13	"Das „Laager Quartett"" soll, was die Aufführung anbelangt, keine Eintagsfliege sein."	64:77	0:83	Eintagsfliege
2532889X_1970-06-23_01_052.tcf.xml-8-18	setzten wir Prämien für die Übererfüllung der Tagesnorm aus Das wirkte Wunder Aber die ganze Aktion wai eine Eintagsfliege	109:122	0:122	Eintagsfliege
2532889X_1970-08-18_01_131.tcf.xml-2-49	Die „Spree-Athener '' rutt man sie. die Kollegen des Mähdrescherikamplexes E 512 vom VEG Albertshof Ihr Quartett hai diesen Namen für hervorragend Ernteleistungen im Vorjahr verliehen bekommen in der Senduna..7 bis 10: Sonntagmorgen in Spree-Atihen ' \ Brigadier Petei Pohls kst kein Mann, der Eintagsfliegen liebt, sich auf Lorbeeren etwa ausruht.	294:308	0:348	Eintagsfliege
2532889X_1970-12-19_01_110.tcf.xml-29-11	Zusammenkünfte, wie wir sie eingangs erwähnten, sind längst keine Eintagsfliegen mehr.	66:80	0:86	Eintagsfliege
2532889X_1980-08-13_01_045.tcf.xml-63-8	Die Initiative zur Substitution von Heizöl ist keine Eintagsfliege in Meißen.	53:66	0:77	Eintagsfliege
2532889X_1980-10-10_01_288.tcf.xml-94-4	Vom Hochzeitsta z der Eintagsfliege, von neugierigen Pavia nen und der Wunderweh der Korallen.	22:35	0:94	Eintagsfliege
2532889X_1982-10-23_01_216.tcf.xml-7-17	Die Rede ist von Gebilden aus Worten, die sich verwandeln können, von denen manche eine Eintagsfliege nicht überleben, andere aber Jahrhunderte überdauern.	88:101	0:155	Eintagsfliege
2532889X_1984-08-25_01_060.tcf.xml-21-5	"daß dieses Ergebnis keine „Eintagsfliege"" bleiben wird."	27:40	0:55	Eintagsfliege
2532889X_1985-08-14_01_159.tcf.xml-17-6	„Es geht uns nicht um Eintagsfliegen, sondern darum, Weichen für den künftigen Leistungszuwachs zu stellen.	22:36	0:107	Eintagsfliege
2532889X_1986-07-14_01_008.tcf.xml-10-14	"„Das bietet uns gleichzeitig die Gewähr, daß die angestrebten Bestwerte keine. Eintagsfliegen ' bleiben und' das älteste Viertel Berlins zur 750-Jahr-Feier in neuem Glanz erstrahlt"", sagte Reiner Rittel, Jugendbrigadier einer Maurerbrigade."	79:93	0:240	Eintagsfliege
26120215_1958_06_07_01_038.tcf.xml-51-26	Sie bedeuten: 1. Nebenfluß Nutria, 16. Spezialitat, 17. Taberne, 18. der Donau, 2. See In der Sowjetunion, Radius, 19. Eintagsfliege, 20. Irmgard 3. deutscher Bildhauer (1831—1911).	119:132	0:181	Eintagsfliege
26120215_1963_10_20_01_406.tcf.xml-134-1	7. Eintagsfliege, 8. Ttmmermans. 9 Aronstab 10. Tangente türmen usw.. 58. Fütterungsverfahren, 11. Nagasaki, li.	3:16	0:112	Eintagsfliege
