instanceID	dataIDs	label_set	non_label
sense0-26120215_1990_05_16_01_413.tcf.xml-141-12	sense0,26120215_1990_05_16_01_413.tcf.xml-141-12	0,1	-
sense1-26120215_1990_05_16_01_413.tcf.xml-141-12	sense1,26120215_1990_05_16_01_413.tcf.xml-141-12	0,1	-
sense2-26120215_1990_05_16_01_413.tcf.xml-141-12	sense2,26120215_1990_05_16_01_413.tcf.xml-141-12	0,1	-
sense3-26120215_1990_05_16_01_413.tcf.xml-141-12	sense3,26120215_1990_05_16_01_413.tcf.xml-141-12	0,1	-
sense4-26120215_1990_05_16_01_413.tcf.xml-141-12	sense4,26120215_1990_05_16_01_413.tcf.xml-141-12	0,1	-
sense5-26120215_1990_05_16_01_413.tcf.xml-141-12	sense5,26120215_1990_05_16_01_413.tcf.xml-141-12	0,1	-
sense6-26120215_1990_05_16_01_413.tcf.xml-141-12	sense6,26120215_1990_05_16_01_413.tcf.xml-141-12	0,1	-
sense7-26120215_1990_05_16_01_413.tcf.xml-141-12	sense7,26120215_1990_05_16_01_413.tcf.xml-141-12	0,1	-
sense0-2532889X_1961-09-20_01_030.tcf.xml-3-7	sense0,2532889X_1961-09-20_01_030.tcf.xml-3-7	0,1	-
sense1-2532889X_1961-09-20_01_030.tcf.xml-3-7	sense1,2532889X_1961-09-20_01_030.tcf.xml-3-7	0,1	-
sense2-2532889X_1961-09-20_01_030.tcf.xml-3-7	sense2,2532889X_1961-09-20_01_030.tcf.xml-3-7	0,1	-
sense3-2532889X_1961-09-20_01_030.tcf.xml-3-7	sense3,2532889X_1961-09-20_01_030.tcf.xml-3-7	0,1	-
sense4-2532889X_1961-09-20_01_030.tcf.xml-3-7	sense4,2532889X_1961-09-20_01_030.tcf.xml-3-7	0,1	-
sense5-2532889X_1961-09-20_01_030.tcf.xml-3-7	sense5,2532889X_1961-09-20_01_030.tcf.xml-3-7	0,1	-
sense6-2532889X_1961-09-20_01_030.tcf.xml-3-7	sense6,2532889X_1961-09-20_01_030.tcf.xml-3-7	0,1	-
