dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1946-09-21_01_056.tcf.xml-52-2	Tür seinen Fuß herührte. diese mit aller Kraft Wiener zustieß Wer nicht sc. hnelr genug war. bekim einen fürchterlichen Stoß und trug meistens gebrochene oder gequetschte Glieder davon	11:14	0:184	Fuß
2532889X_1946-12-17_01_045.tcf.xml-14-3	Gebrechlichkeit, kranke Füße — dös genügte, um dem Tode verfallen zu sein.	24:28	0:74	Fuß
2532889X_1949-10-11_01_063.tcf.xml-30-5	Bolcla probiert mit dem rechten Fuß einen neuen, schwarzen Schuh mit flachem Absatz an.	32:35	0:87	Fuß
2532889X_1954-08-31_01_050.tcf.xml-20-15	Sie erhoben zugleich Anklage gegen das Bonner Regime, das die Rechte der Jugend mit Füßen tritt.	84:89	0:96	Fuß
2532889X_1961-09-20_01_030.tcf.xml-3-7	Die demokratischen Rechte der Bürger wurden mit Füßen getreten.	48:53	0:63	Fuß
2532889X_1963-10-02_01_065.tcf.xml-13-38	Aber nicht nur in Washington, auch in Bonn erweist sich, daß die Bonner Regierung bereit ist, für die allgemeine Wiederaufrüstung und evst recht für die Atomrüstung das Selbstbestimmungsrecht des deutschen Volkes hundertfach preiszugeben und mit Füßen zu treten.	246:251	0:262	Fuß
2532889X_1976-01-27_01_037.tcf.xml-0-10	„Mir wurde geraten, bei dem Wetter lieber zu Fuß zu gehen!	45:48	0:58	Fuß
2532889X_1980-01-29_01_067.tcf.xml-53-2	selbst mit Füßen getretenen Menschenrechte ein von langer Hand vorbereitetes Trommelfeuer sondersgleichen, schafft ein Klima unsäglicher Wirrnis und verderbenibringenden Mißtrauens.	11:16	0:181	Fuß
2532889X_1981-06-03_01_055.tcf.xml-18-25	Wenn wir die Ursachen für die Krise so erklären, dann können wir darauf warten, daß Revisionismus und Opportunismus im Bewußtsein der Menschen festen Fuß fassen.	150:153	0:161	Fuß
2532889X_1982-07-31_01_468.tcf.xml-75-11	"Ein"" Jahr noch in Kleinfurra, der schmucken Ortschaft zu Füßen der Hainleite, mit der Schule und dem Internat, wo sie lernen und ihre Kulturprogramme proben. auf Christine Steus Nähmaschine farbenprächtige Kostüme für ihre Auftritte nähen, mit den deutschen Lehrlingen der Patenklasse LM llc aus der Schule Sportwettkämpfe-und Quizrunden austragen und wo sie an den Wochenenden.kochen, wie es ihre Mütter ' zu Hause tun."	57:62	0:420	Fuß
