instanceID	label	comment	annotator
sense0,26120215_1971_07_25_01_162.tcf.xml-12-21	0	-	annotatorA
sense1,26120215_1971_07_25_01_162.tcf.xml-12-21	1	-	annotatorA
sense2,26120215_1971_07_25_01_162.tcf.xml-12-21	0	-	annotatorA
sense3,26120215_1971_07_25_01_162.tcf.xml-12-21	0	-	annotatorA
sense0,wundt_medizinische_1867-1513-1	-	unklar	annotatorA
sense1,wundt_medizinische_1867-1513-1	-	unklar	annotatorA
sense2,wundt_medizinische_1867-1513-1	-	unklar	annotatorA
sense3,wundt_medizinische_1867-1513-1	-	unklar	annotatorA
sense0,mueller_festigkeitslehre_1886-551-15	-	unklar	annotatorA
sense1,mueller_festigkeitslehre_1886-551-15	-	unklar	annotatorA
sense2,mueller_festigkeitslehre_1886-551-15	-	unklar	annotatorA
sense3,mueller_festigkeitslehre_1886-551-15	-	unklar	annotatorA
sense0,2532889X_1965-01-19_01_055.tcf.xml-14-19	0	-	annotatorA
sense1,2532889X_1965-01-19_01_055.tcf.xml-14-19	1	-	annotatorA
sense2,2532889X_1965-01-19_01_055.tcf.xml-14-19	0	-	annotatorA
sense3,2532889X_1965-01-19_01_055.tcf.xml-14-19	0	-	annotatorA
sense0,ludwig_physiologie01_1852-2873-59	0	-	annotatorA
sense1,ludwig_physiologie01_1852-2873-59	1	-	annotatorA
sense2,ludwig_physiologie01_1852-2873-59	0	-	annotatorA
sense3,ludwig_physiologie01_1852-2873-59	0	-	annotatorA
sense0,2532889X_1962-03-02_01_062.tcf.xml-38-10	0	-	annotatorA
sense1,2532889X_1962-03-02_01_062.tcf.xml-38-10	1	-	annotatorA
sense2,2532889X_1962-03-02_01_062.tcf.xml-38-10	0	-	annotatorA
sense3,2532889X_1962-03-02_01_062.tcf.xml-38-10	0	-	annotatorA
sense0,26120215_1985_08_08_01_180.tcf.xml-27-1	0	-	annotatorA
sense1,26120215_1985_08_08_01_180.tcf.xml-27-1	1	-	annotatorA
sense2,26120215_1985_08_08_01_180.tcf.xml-27-1	0	-	annotatorA
sense3,26120215_1985_08_08_01_180.tcf.xml-27-1	0	-	annotatorA
sense0,bluntschli_voelkerrecht_1868-505-6	0	-	annotatorA
sense1,bluntschli_voelkerrecht_1868-505-6	0	-	annotatorA
sense2,bluntschli_voelkerrecht_1868-505-6	0	-	annotatorA
sense3,bluntschli_voelkerrecht_1868-505-6	1	-	annotatorA
sense0,2532889X_1973-03-29_01_375.tcf.xml-0-27	0	-	annotatorA
sense1,2532889X_1973-03-29_01_375.tcf.xml-0-27	1	-	annotatorA
sense2,2532889X_1973-03-29_01_375.tcf.xml-0-27	0	-	annotatorA
sense3,2532889X_1973-03-29_01_375.tcf.xml-0-27	0	-	annotatorA
sense0,26120215_1949_09_09_01_190.tcf.xml-28-6	0	-	annotatorA
sense1,26120215_1949_09_09_01_190.tcf.xml-28-6	1	-	annotatorA
sense2,26120215_1949_09_09_01_190.tcf.xml-28-6	0	-	annotatorA
sense3,26120215_1949_09_09_01_190.tcf.xml-28-6	0	-	annotatorA
sense0,mueller_festigkeitslehre_1886-592-16	-	unklar	annotatorA
sense1,mueller_festigkeitslehre_1886-592-16	-	unklar	annotatorA
