instanceID	dataIDs	label_set	non_label
sense0-26120215_1965_09_17_01_405.tcf.xml-6-9	sense0,26120215_1965_09_17_01_405.tcf.xml-6-9	0,1	-
sense1-26120215_1965_09_17_01_405.tcf.xml-6-9	sense1,26120215_1965_09_17_01_405.tcf.xml-6-9	0,1	-
sense2-26120215_1965_09_17_01_405.tcf.xml-6-9	sense2,26120215_1965_09_17_01_405.tcf.xml-6-9	0,1	-
sense3-26120215_1965_09_17_01_405.tcf.xml-6-9	sense3,26120215_1965_09_17_01_405.tcf.xml-6-9	0,1	-
sense4-26120215_1965_09_17_01_405.tcf.xml-6-9	sense4,26120215_1965_09_17_01_405.tcf.xml-6-9	0,1	-
sense0-2532889X_1988-08-27_01_200.tcf.xml-20-10	sense0,2532889X_1988-08-27_01_200.tcf.xml-20-10	0,1	-
sense1-2532889X_1988-08-27_01_200.tcf.xml-20-10	sense1,2532889X_1988-08-27_01_200.tcf.xml-20-10	0,1	-
sense2-2532889X_1988-08-27_01_200.tcf.xml-20-10	sense2,2532889X_1988-08-27_01_200.tcf.xml-20-10	0,1	-
sense3-2532889X_1988-08-27_01_200.tcf.xml-20-10	sense3,2532889X_1988-08-27_01_200.tcf.xml-20-10	0,1	-
sense4-2532889X_1988-08-27_01_200.tcf.xml-20-10	sense4,2532889X_1988-08-27_01_200.tcf.xml-20-10	0,1	-
sense0-mosen_galerie_1844-259-42	sense0,mosen_galerie_1844-259-42	0,1	-
sense1-mosen_galerie_1844-259-42	sense1,mosen_galerie_1844-259-42	0,1	-
sense2-mosen_galerie_1844-259-42	sense2,mosen_galerie_1844-259-42	0,1	-
sense3-mosen_galerie_1844-259-42	sense3,mosen_galerie_1844-259-42	0,1	-
sense4-mosen_galerie_1844-259-42	sense4,mosen_galerie_1844-259-42	0,1	-
sense0-26120215_1969_02_02_01_188.tcf.xml-9-11	sense0,26120215_1969_02_02_01_188.tcf.xml-9-11	0,1	-
sense1-26120215_1969_02_02_01_188.tcf.xml-9-11	sense1,26120215_1969_02_02_01_188.tcf.xml-9-11	0,1	-
sense2-26120215_1969_02_02_01_188.tcf.xml-9-11	sense2,26120215_1969_02_02_01_188.tcf.xml-9-11	0,1	-
sense3-26120215_1969_02_02_01_188.tcf.xml-9-11	sense3,26120215_1969_02_02_01_188.tcf.xml-9-11	0,1	-
sense4-26120215_1969_02_02_01_188.tcf.xml-9-11	sense4,26120215_1969_02_02_01_188.tcf.xml-9-11	0,1	-
sense0-heine_lieder_1827-54-16	sense0,heine_lieder_1827-54-16	0,1	-
sense1-heine_lieder_1827-54-16	sense1,heine_lieder_1827-54-16	0,1	-
sense2-heine_lieder_1827-54-16	sense2,heine_lieder_1827-54-16	0,1	-
sense3-heine_lieder_1827-54-16	sense3,heine_lieder_1827-54-16	0,1	-
sense4-heine_lieder_1827-54-16	sense4,heine_lieder_1827-54-16	0,1	-
sense0-26120215_1960_08_21_01_550.tcf.xml-1-12	sense0,26120215_1960_08_21_01_550.tcf.xml-1-12	0,1	-
sense1-26120215_1960_08_21_01_550.tcf.xml-1-12	sense1,26120215_1960_08_21_01_550.tcf.xml-1-12	0,1	-
sense2-26120215_1960_08_21_01_550.tcf.xml-1-12	sense2,26120215_1960_08_21_01_550.tcf.xml-1-12	0,1	-
sense3-26120215_1960_08_21_01_550.tcf.xml-1-12	sense3,26120215_1960_08_21_01_550.tcf.xml-1-12	0,1	-
sense4-26120215_1960_08_21_01_550.tcf.xml-1-12	sense4,26120215_1960_08_21_01_550.tcf.xml-1-12	0,1	-
sense0-26120215_1968_03_31_01_226.tcf.xml-48-44	sense0,26120215_1968_03_31_01_226.tcf.xml-48-44	0,1	-
sense1-26120215_1968_03_31_01_226.tcf.xml-48-44	sense1,26120215_1968_03_31_01_226.tcf.xml-48-44	0,1	-
sense2-26120215_1968_03_31_01_226.tcf.xml-48-44	sense2,26120215_1968_03_31_01_226.tcf.xml-48-44	0,1	-
sense3-26120215_1968_03_31_01_226.tcf.xml-48-44	sense3,26120215_1968_03_31_01_226.tcf.xml-48-44	0,1	-
sense4-26120215_1968_03_31_01_226.tcf.xml-48-44	sense4,26120215_1968_03_31_01_226.tcf.xml-48-44	0,1	-
sense0-26120215_1986_08_08_01_111.tcf.xml-6-19	sense0,26120215_1986_08_08_01_111.tcf.xml-6-19	0,1	-
sense1-26120215_1986_08_08_01_111.tcf.xml-6-19	sense1,26120215_1986_08_08_01_111.tcf.xml-6-19	0,1	-
sense2-26120215_1986_08_08_01_111.tcf.xml-6-19	sense2,26120215_1986_08_08_01_111.tcf.xml-6-19	0,1	-
sense3-26120215_1986_08_08_01_111.tcf.xml-6-19	sense3,26120215_1986_08_08_01_111.tcf.xml-6-19	0,1	-
sense4-26120215_1986_08_08_01_111.tcf.xml-6-19	sense4,26120215_1986_08_08_01_111.tcf.xml-6-19	0,1	-
sense0-mommsen_roemische03_1856-1593-11	sense0,mommsen_roemische03_1856-1593-11	0,1	-
