dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1947-07-13_02_059.tcf.xml-16-12	Mürrisch und knurrig legt er den Gummikragen ab, « treift die Manschetten zum Ellenbogen.	62:73	0:89	Manschette
2532889X_1949-10-09_01_039.tcf.xml-11-13	Der Wolle Dtät lit bekannt: den Kadetten traten sie auf mitsamt den Manschetten.	68:79	0:80	Manschette
2532889X_1953-04-22_01_051.tcf.xml-37-29	Als ich schon einige Jahre in der Lehre war und mithalf, Maschinen zu bauen, kamen mir die Volontäre, die in gebügelten Monteuranzügen, weißen Kragen und Manschetten überall den Arbeitern 'm Wege standen, so lächerlich vor, daß ich mich geschämt hätte, Volontär zu sein.	154:165	0:270	Manschette
2532889X_1962-12-08_01_129.tcf.xml-71-18	Da packten die Frauen zu, wo es nötig war. beim Putzen, beim Aufziehen vr,n Manschetten... und es wurde Beschafft.	76:87	0:114	Manschette
2532889X_1965-10-24_01_236.tcf.xml-10-3	Es gibt karierte Manschetten zu einfarbigen Kleidern, es gibt Spitze auf Tuch, Pelz auf Tweed, Perlen auf Seide.	17:28	0:112	Manschette
2532889X_1966-11-27_01_243.tcf.xml-5-14	"KONTEX-KAUFHAUS ^SOLIDARITÄT"",, KÖPENICK. GRUNSTRASSE 24 Damen-Mäntel aus Streichgarnwolle mit Schalkragen und Manschetten aus-Otterkanin, Gr. 76 — 94... 281,60 Damen-Kostüme au& vStreichgarnwolle mit Lammfell-. kragen 231,10 Pullover, sportlich, aus reiner Wolle, mit Rollkrageneinsatz, in Grau und*Blau, Gr. 46 — 50 -. i. i. 152,65"	111:122	0:333	Manschette
2532889X_1967-01-15_01_271.tcf.xml-29-5	"„Du, Purzel hat Manschetten vor die Leitung."""	16:27	0:45	Manschette
2532889X_1969-12-11_01_393.tcf.xml-12-1	Die Manschetten sind etwa denen ähnlich, die beispielsweise beim Blutdruckmessen angelegt werden.	4:15	0:97	Manschette
2532889X_1972-09-02_01_044.tcf.xml-9-23	Die ganze Zeit hast du dich zusammen mit der FDJ-Leitung dafür eingesetzt, und nun, da es soweit ist, kriegst du Manschetten.	113:124	0:125	Manschette
2532889X_1988-08-27_01_200.tcf.xml-20-10	"„Wir haben alle miteinander, auch ich, wirklich Manschetten davor gehabt, einen deutschen Beitrag zur Teilung Deutschlands zu leisten."""	48:59	0:135	Manschette
26120215_1949_11_02_01_037.tcf.xml-38-18	Drittens aber wußte jeder, daß Leutnant Perl, trotz seines schmalen weißen Kragenrandes und einer fein gestärkten Manschette, ein orthodoxer Jude war, der sich auch an der Front — er verdankte sein E. K. gewissen Monaten am Tivul-Sumpf — unter Entbehrungen unerlaubter Nahrung enthalten hatte.	114:124	0:293	Manschette
26120215_1958_06_01_02_434.tcf.xml-100-29	Ballhüllen und sonstige Bälle aus Leder, Hundesportartikel aus Leder und sonstige Sportartikel, Rohhautartikel, Treibriemen aus Leder, Ausrustungsgegenstände, Arbeitsschutzartikel, landwirtschaftliche Sattlerwaren, Erntebindetücher, Manschetten aus Leder und technische Lederartikel.	233:244	0:283	Manschette
26120215_1960_08_21_01_550.tcf.xml-1-12	Ich habe auf meinem Laubengrundstück eine Pumpe, für die ich neue Manschetten und Scheiben brauche.	66:77	0:99	Manschette
26120215_1961_11_19_01_252.tcf.xml-6-33	Gerade in unserer heutigen Mode, die bewußt auf alle verspielten Details verzichtet und dadurch oft ein wenig streng wirkt, ergeben sich viele Möglichkeiten, durch Schals, Krawatten, Gürtel oder Manschetten aus Pelz den Stil unserer Garderobe etwas aufzulockern.	195:206	0:262	Manschette
26120215_1965_01_10_01_386.tcf.xml-161-23	gut erh.. Gr 50, 370 verk Anfr 41 5fl9 Anz Holzer. männlich Damen-Hemdblusen, weiß, Bw „Ig. Ärmel mit Manschette, mit Kopt 1035 Berlin. Bhf Frankfurter A!ee Gr. 82—53. ab 24.40 1017 Berlin, Ehrenbergstr. 11 (Nähe Warschauer Brücke) Handelswlrtschaftl. 25/1. 80. wünscht Bek als Requisit zu kaufen ge-1 Paar Trauringe, 585er, 6 mm br. 500,-m nett.	102:112	0:346	Manschette
26120215_1965_09_17_01_405.tcf.xml-6-9	Man mißt den Blutdruck am Patienten durch Zusammenpressen einer Manschette am Oberarm und Ablesen des Manometerdrucks beim ersten Auftreten und beim Aufhören des Geräusches, welches das	64:74	0:185	Manschette
26120215_1965_12_24_01_260.tcf.xml-7-6	Am Tatort verlor er den abgebildeten Manschetten knöpf (rechteckiger Stein, Größe 0,8X 1,8 cm, rötlkn-bratm, dunkelbraun-und colddurchzogen, mit gelbem Metall eingefaßt).	37:48	0:170	Manschette
26120215_1968_03_31_01_226.tcf.xml-48-44	Herr Arnold aus Düsseldorf — wir haben; ilk miteinander.; ils uns da am 1. Juli 1941t die Miiiläryouverneurc das Dokument iibei gilben, wonach wir die Möglichkeit h.'ülon. die Bundesrepublik zu begründen, wir haben alle miteinander, auch ich. wirklieh Manschetten davor schabt, einen deutschen Beitrag zur Teilung Deutschlands /u le steiv	252:263	0:338	Manschette
26120215_1969_02_02_01_188.tcf.xml-9-11	Am Mode-Il link « oben sind es der Einsatz und die Manschetten, an dem Kleid daneben ist es der Kragen mit der Krawatte, die jeweils den Blickpunkt am Modell bilden.	51:62	0:165	Manschette
26120215_1970_06_10_01_364.tcf.xml-352-16	Woh-02646 Dewaq, 1054 Berlin mit Entwicklunqsrpöqhchk erbeten unter b s 19.00 Uhr Kraaen und Manschetten sind Prob BZ-Pavillon. 108 Ber in emnung erforderlich 8062 BZ Pavillon llWI 72 5fi2 An7Ciqen-Hol7er. 103j Berlin Klavier, br.: kreuzs.. 100.-. 65 620 25 stellen beim wäschewnschen.	93:104	0:285	Manschette
26120215_1977_01_03_01_031.tcf.xml-12-1	68000 Manschetten zusätzlich — Ergebnis seiner Überlegungen, seiner Findigkeit und der Bereitschaft, gemeinsam mit seiner älteren Kollegin Johanna Bischoff von der Drei-zur Fünfpressenbedienung überzugehen.	6:17	0:206	Manschette
26120215_1979_10_20_01_379.tcf.xml-18-14	starkem Schmutz, wie überhaupt Reinigung mit entsprechender Sorgfalt zur Verlängerung der Lebensdauer dieser Manschetten beiträgt.	109:120	0:130	Manschette
26120215_1985_04_06_01_236.tcf.xml-6-10	Selbst wenn noch kein Fettaustritt sichtbar ist. müssen die Manschetten bei Anzeichen von Porosität umgehend ausgewechselt werden.	60:71	0:130	Manschette
26120215_1986_08_08_01_111.tcf.xml-6-19	Ihr Können als Designerin belegt sie mit einer Kollektion meisterhaft gestalteter Abendtaschen,..., Krawatten, Kragen, Manschetten und Besätze aus Pailetten.	119:130	0:157	Manschette
26120215_1989_12_09_01_386.tcf.xml-368-2	Pelzkragen u. Manschetten, 1500,-M, Expertisen vorhanden 5200 db Müh.	14:25	0:69	Manschette
arnimb_goethe02_1835-21-13	Da ziehen sie ihm ein Hemd von Batist an mit frischem Jabot und Manschetten und einem Pelzrock mit prächtigem Zobel gefüttert, der Wärmkorb wird vorangetragen, kommt er aus der Sitzung zurück, so muß er ein bischen schlafen nicht ob er will; so gehts' bis zum Abend in fortwährendem Wiederspruch, wo sie ihm die Nachtmütze über die Ohren ziehen und ihn zu Bette führen.	64:75	0:369	Manschette
aston_emancipation_1846-250-11	Und grade ein schlagendes Beispiel dieser Inquisition, in Frack und Manschetten, glaubte ich dem Publikum vorführen zu können; ein Drama, welches den einzigen Fehler hat, daß ich selbst darin die passive Hauptrolle spiele.	68:79	0:222	Manschette
avelallemant_gaunerthum02_1858-2188-11	Die neuere Mode der weiten Rockärmel, mit locker gehefteten weiten Manschetten, dient ebenfalls den Schottenfellern zu geheimen Taschen für kleinere Waare, namentlich Gold-und Silbersachen.	67:78	0:189	Manschette
buechner_werke_1879-5490-17	Sie sind sehr gebildet, denn die Dame singt alle neuen Opern, und der Herr trägt Manschetten.	81:92	0:93	Manschette
