instanceID	dataIDs	label_set	non_label
sense0-curtius_alterthum01_1875-1087-51	sense0,curtius_alterthum01_1875-1087-51	0,1	-
sense1-curtius_alterthum01_1875-1087-51	sense1,curtius_alterthum01_1875-1087-51	0,1	-
sense2-curtius_alterthum01_1875-1087-51	sense2,curtius_alterthum01_1875-1087-51	0,1	-
sense0-26120215_1977_02_24_01_074.tcf.xml-4-11	sense0,26120215_1977_02_24_01_074.tcf.xml-4-11	0,1	-
sense1-26120215_1977_02_24_01_074.tcf.xml-4-11	sense1,26120215_1977_02_24_01_074.tcf.xml-4-11	0,1	-
sense2-26120215_1977_02_24_01_074.tcf.xml-4-11	sense2,26120215_1977_02_24_01_074.tcf.xml-4-11	0,1	-
sense0-michelis_reiseschule_1869-2106-36	sense0,michelis_reiseschule_1869-2106-36	0,1	-
sense1-michelis_reiseschule_1869-2106-36	sense1,michelis_reiseschule_1869-2106-36	0,1	-
sense2-michelis_reiseschule_1869-2106-36	sense2,michelis_reiseschule_1869-2106-36	0,1	-
sense0-beyer_poetik01_1882-4784-9	sense0,beyer_poetik01_1882-4784-9	0,1	-
sense1-beyer_poetik01_1882-4784-9	sense1,beyer_poetik01_1882-4784-9	0,1	-
sense2-beyer_poetik01_1882-4784-9	sense2,beyer_poetik01_1882-4784-9	0,1	-
sense0-26120215_1990_05_14_01_201.tcf.xml-5-1	sense0,26120215_1990_05_14_01_201.tcf.xml-5-1	0,1	-
sense1-26120215_1990_05_14_01_201.tcf.xml-5-1	sense1,26120215_1990_05_14_01_201.tcf.xml-5-1	0,1	-
sense2-26120215_1990_05_14_01_201.tcf.xml-5-1	sense2,26120215_1990_05_14_01_201.tcf.xml-5-1	0,1	-
sense0-26120215_1952_10_19_01_050.tcf.xml-118-40	sense0,26120215_1952_10_19_01_050.tcf.xml-118-40	0,1	-
sense1-26120215_1952_10_19_01_050.tcf.xml-118-40	sense1,26120215_1952_10_19_01_050.tcf.xml-118-40	0,1	-
sense2-26120215_1952_10_19_01_050.tcf.xml-118-40	sense2,26120215_1952_10_19_01_050.tcf.xml-118-40	0,1	-
sense0-26120215_1964_07_05_01_083.tcf.xml-10-6	sense0,26120215_1964_07_05_01_083.tcf.xml-10-6	0,1	-
sense1-26120215_1964_07_05_01_083.tcf.xml-10-6	sense1,26120215_1964_07_05_01_083.tcf.xml-10-6	0,1	-
sense2-26120215_1964_07_05_01_083.tcf.xml-10-6	sense2,26120215_1964_07_05_01_083.tcf.xml-10-6	0,1	-
sense0-2532889X_1972-01-08_01_052.tcf.xml-35-13	sense0,2532889X_1972-01-08_01_052.tcf.xml-35-13	0,1	-
sense1-2532889X_1972-01-08_01_052.tcf.xml-35-13	sense1,2532889X_1972-01-08_01_052.tcf.xml-35-13	0,1	-
sense2-2532889X_1972-01-08_01_052.tcf.xml-35-13	sense2,2532889X_1972-01-08_01_052.tcf.xml-35-13	0,1	-
sense0-2532889X_1964-02-01_01_127.tcf.xml-45-1	sense0,2532889X_1964-02-01_01_127.tcf.xml-45-1	0,1	-
sense1-2532889X_1964-02-01_01_127.tcf.xml-45-1	sense1,2532889X_1964-02-01_01_127.tcf.xml-45-1	0,1	-
sense2-2532889X_1964-02-01_01_127.tcf.xml-45-1	sense2,2532889X_1964-02-01_01_127.tcf.xml-45-1	0,1	-
sense0-aston_leben_1847-601-55	sense0,aston_leben_1847-601-55	0,1	-
sense1-aston_leben_1847-601-55	sense1,aston_leben_1847-601-55	0,1	-
sense2-aston_leben_1847-601-55	sense2,aston_leben_1847-601-55	0,1	-
sense0-gottschall_poetik_1858-3181-12	sense0,gottschall_poetik_1858-3181-12	0,1	-
sense1-gottschall_poetik_1858-3181-12	sense1,gottschall_poetik_1858-3181-12	0,1	-
sense2-gottschall_poetik_1858-3181-12	sense2,gottschall_poetik_1858-3181-12	0,1	-
sense0-2532889X_1946-07-26_01_006.tcf.xml-71-13	sense0,2532889X_1946-07-26_01_006.tcf.xml-71-13	0,1	-
sense1-2532889X_1946-07-26_01_006.tcf.xml-71-13	sense1,2532889X_1946-07-26_01_006.tcf.xml-71-13	0,1	-
sense2-2532889X_1946-07-26_01_006.tcf.xml-71-13	sense2,2532889X_1946-07-26_01_006.tcf.xml-71-13	0,1	-
sense0-ebers_koenigstochter03_1864-2998-2	sense0,ebers_koenigstochter03_1864-2998-2	0,1	-
sense1-ebers_koenigstochter03_1864-2998-2	sense1,ebers_koenigstochter03_1864-2998-2	0,1	-
sense2-ebers_koenigstochter03_1864-2998-2	sense2,ebers_koenigstochter03_1864-2998-2	0,1	-
sense0-2532889X_1948-11-04_01_149.tcf.xml-3-7	sense0,2532889X_1948-11-04_01_149.tcf.xml-3-7	0,1	-
sense1-2532889X_1948-11-04_01_149.tcf.xml-3-7	sense1,2532889X_1948-11-04_01_149.tcf.xml-3-7	0,1	-
sense2-2532889X_1948-11-04_01_149.tcf.xml-3-7	sense2,2532889X_1948-11-04_01_149.tcf.xml-3-7	0,1	-
sense0-waiblinger_phaeton01_1823-608-3	sense0,waiblinger_phaeton01_1823-608-3	0,1	-
sense1-waiblinger_phaeton01_1823-608-3	sense1,waiblinger_phaeton01_1823-608-3	0,1	-
sense2-waiblinger_phaeton01_1823-608-3	sense2,waiblinger_phaeton01_1823-608-3	0,1	-
sense0-26120215_1947_12_14_01_055.tcf.xml-13-28	sense0,26120215_1947_12_14_01_055.tcf.xml-13-28	0,1	-
sense1-26120215_1947_12_14_01_055.tcf.xml-13-28	sense1,26120215_1947_12_14_01_055.tcf.xml-13-28	0,1	-
sense2-26120215_1947_12_14_01_055.tcf.xml-13-28	sense2,26120215_1947_12_14_01_055.tcf.xml-13-28	0,1	-
sense0-fontane_brandenburg02_1863-2886-11	sense0,fontane_brandenburg02_1863-2886-11	0,1	-
sense1-fontane_brandenburg02_1863-2886-11	sense1,fontane_brandenburg02_1863-2886-11	0,1	-
sense2-fontane_brandenburg02_1863-2886-11	sense2,fontane_brandenburg02_1863-2886-11	0,1	-
sense0-waiblinger_phaeton01_1823-374-12	sense0,waiblinger_phaeton01_1823-374-12	0,1	-
sense1-waiblinger_phaeton01_1823-374-12	sense1,waiblinger_phaeton01_1823-374-12	0,1	-
sense2-waiblinger_phaeton01_1823-374-12	sense2,waiblinger_phaeton01_1823-374-12	0,1	-
sense0-engel_poetik_1806-1411-18	sense0,engel_poetik_1806-1411-18	0,1	-
sense1-engel_poetik_1806-1411-18	sense1,engel_poetik_1806-1411-18	0,1	-
sense2-engel_poetik_1806-1411-18	sense2,engel_poetik_1806-1411-18	0,1	-
sense0-wilamowitz_aristoteles01_1893-683-28	sense0,wilamowitz_aristoteles01_1893-683-28	0,1	-
sense1-wilamowitz_aristoteles01_1893-683-28	sense1,wilamowitz_aristoteles01_1893-683-28	0,1	-
sense2-wilamowitz_aristoteles01_1893-683-28	sense2,wilamowitz_aristoteles01_1893-683-28	0,1	-
sense0-26120215_1966_08_12_01_264.tcf.xml-74-19	sense0,26120215_1966_08_12_01_264.tcf.xml-74-19	0,1	-
sense1-26120215_1966_08_12_01_264.tcf.xml-74-19	sense1,26120215_1966_08_12_01_264.tcf.xml-74-19	0,1	-
sense2-26120215_1966_08_12_01_264.tcf.xml-74-19	sense2,26120215_1966_08_12_01_264.tcf.xml-74-19	0,1	-
sense0-2532889X_1970-02-12_01_061.tcf.xml-12-31	sense0,2532889X_1970-02-12_01_061.tcf.xml-12-31	0,1	-
sense1-2532889X_1970-02-12_01_061.tcf.xml-12-31	sense1,2532889X_1970-02-12_01_061.tcf.xml-12-31	0,1	-
sense2-2532889X_1970-02-12_01_061.tcf.xml-12-31	sense2,2532889X_1970-02-12_01_061.tcf.xml-12-31	0,1	-
sense0-treitschke_geschichte05_1894-1224-8	sense0,treitschke_geschichte05_1894-1224-8	0,1	-
sense1-treitschke_geschichte05_1894-1224-8	sense1,treitschke_geschichte05_1894-1224-8	0,1	-
sense2-treitschke_geschichte05_1894-1224-8	sense2,treitschke_geschichte05_1894-1224-8	0,1	-
sense0-2532889X_1961-08-16_01_120.tcf.xml-7-11	sense0,2532889X_1961-08-16_01_120.tcf.xml-7-11	0,1	-
sense1-2532889X_1961-08-16_01_120.tcf.xml-7-11	sense1,2532889X_1961-08-16_01_120.tcf.xml-7-11	0,1	-
sense2-2532889X_1961-08-16_01_120.tcf.xml-7-11	sense2,2532889X_1961-08-16_01_120.tcf.xml-7-11	0,1	-
sense0-wackernagel_poetik_1873-4626-64	sense0,wackernagel_poetik_1873-4626-64	0,1	-
sense1-wackernagel_poetik_1873-4626-64	sense1,wackernagel_poetik_1873-4626-64	0,1	-
sense2-wackernagel_poetik_1873-4626-64	sense2,wackernagel_poetik_1873-4626-64	0,1	-
sense0-2532889X_1958-02-05_01_028.tcf.xml-11-16	sense0,2532889X_1958-02-05_01_028.tcf.xml-11-16	0,1	-
sense1-2532889X_1958-02-05_01_028.tcf.xml-11-16	sense1,2532889X_1958-02-05_01_028.tcf.xml-11-16	0,1	-
sense2-2532889X_1958-02-05_01_028.tcf.xml-11-16	sense2,2532889X_1958-02-05_01_028.tcf.xml-11-16	0,1	-
sense0-schubin_vollmondzauber01_1899-1107-22	sense0,schubin_vollmondzauber01_1899-1107-22	0,1	-
sense1-schubin_vollmondzauber01_1899-1107-22	sense1,schubin_vollmondzauber01_1899-1107-22	0,1	-
sense2-schubin_vollmondzauber01_1899-1107-22	sense2,schubin_vollmondzauber01_1899-1107-22	0,1	-
sense0-bismarck_erinnerungen01_1898-2580-27	sense0,bismarck_erinnerungen01_1898-2580-27	0,1	-
sense1-bismarck_erinnerungen01_1898-2580-27	sense1,bismarck_erinnerungen01_1898-2580-27	0,1	-
sense2-bismarck_erinnerungen01_1898-2580-27	sense2,bismarck_erinnerungen01_1898-2580-27	0,1	-
