dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1946-07-26_01_006.tcf.xml-71-13	Auf der gesamten Reise und auf allen Kundgebungen gab es nirgends den geringsten Mißklang.	81:89	0:90	Mißklang
2532889X_1947-07-15_01_052.tcf.xml-21-12	Ein Sonntag-Morgen in der Neuen Scala, « ber nicht ohne erheblichen Mißklang!	68:76	0:77	Mißklang
2532889X_1948-11-04_01_149.tcf.xml-3-7	Dabei entschlüpften ihm Tone, die einen Mißklang in die » westdeutsche Propagandamelodie hineinbringen.	40:48	0:103	Mißklang
2532889X_1958-02-05_01_028.tcf.xml-11-16	oder eine „gemischte Bekanntschaft Ausdruck eines mangelnden Urteilsvermögens seien, das Leid, Unruhe und Mißklang nach sich ziehe.	106:114	0:131	Mißklang
2532889X_1961-08-16_01_120.tcf.xml-7-11	Doch der Ton, den man angab, war ein arger Mißklang.	43:51	0:52	Mißklang
2532889X_1964-02-01_01_127.tcf.xml-45-1	Ein Mißklang zwischen den Signalglocken war nicht zu überhören: die Noten der Kampfrichter.	4:12	0:91	Mißklang
2532889X_1964-10-04_01_105.tcf.xml-25-11	Es wäre den Tokioer Spielen zu gönnen, daß ihnen der Mißklang eines solchen Boykotts erspart bliebe.	53:61	0:100	Mißklang
2532889X_1965-04-26_01_156.tcf.xml-23-15	"Daß sich jedoch die eigentlich zur Neutralität verpflichtete österreichische Regierung zur „Obertragung"" dieses Mißklangs hergabi stimmte schon bedenklicher."	112:121	0:157	Mißklang
2532889X_1966-09-02_01_023.tcf.xml-4-3	Dann schrillte ein Mißklang in diese Harmonie, der zunächst nicht anders als ein böser Scherz beurteilt wurde.	19:27	0:110	Mißklang
2532889X_1970-02-12_01_061.tcf.xml-12-31	Doch das ist selbstverständlich Zukunftsmusik, deren Akkorde erst in späteren Jahren in voller Harmonie erklingen können, und bis dahin sind viele Proben zu bestehen, bei denen sich noch Mißklänge einstellen können.	187:196	0:215	Mißklang
2532889X_1972-01-08_01_052.tcf.xml-35-13	Als er schließlich in tänzerische Bahnen gelenkt wurde, quälte mich bald der Mißklang zwischen dem, was mir als das Ideal von Tanz vorschwebte, und-dem, was als Tanz gelehrt wurde.	77:85	0:180	Mißklang
2532889X_1981-11-14_01_331.tcf.xml-73-2	Der schrille Mißklang im festlichen Ensemble der Galerie ist als notwendige Warnung zu verstehen.	13:21	0:97	Mißklang
2532889X_1982-07-03_01_255.tcf.xml-27-7	In der 84. Minute allerdings trübte ein Mißklang den ausgezeichneten Eindruck:	40:48	0:78	Mißklang
2532889X_1987-03-24_01_052.tcf.xml-34-17	"Da kommen Liebesaffären ins Bild, der musikalische. Triumph bei der Weltausstellung in Paris, die Mißklänge seiner zweiten Ehe mit der Soubrette Lili, die Scheidung, Luis Rache, als sie in Berlin die Uraufführung der „Nacht in Venedig"" stören ließ, die Rankünen seines Bruders Eduard."	98:107	0:284	Mißklang
26120215_1947_03_22_01_039.tcf.xml-23-8	Es ist zu hoffen, daß trotz gelegentlicher Mißklänge und Verstimmungen die Universität Berlin nunmehr in ein ruhiges und ziviles Fahrwasser gelangt.	43:52	0:148	Mißklang
26120215_1947_09_16_01_212.tcf.xml-4-22	Wie Reuter erfahrt, brachte eine offene Beschwerde der latein-amerikanischen Delegierten gegen die Bevorzugung europäischer Staaten im Anleiheprogramm der Internationalen Bank einen Mißklang in die Vormittagssitzung.	182:190	0:216	Mißklang
26120215_1947_12_14_01_055.tcf.xml-13-28	"Wahrend im Washingtoner Kongreß beschlossen wird, daß Kredite nur für „kommunistenfreie"" Regierungen in Europa bewilligt werden, hat es in den franzosisch-sowjetischen Beziehungen einen lauten Mißklang gegeben."	193:201	0:210	Mißklang
26120215_1950_01_26_01_006.tcf.xml-2-10	Diese optimistische Stimmung wurde kurz vor Jahresschluß durch einen häßlichen Mißklang gestört.	79:87	0:96	Mißklang
26120215_1952_10_19_01_050.tcf.xml-118-40	Der mitreißende Schwung, die leidenschaftliche Begeisterung der Kumpel für ihr Kombinat, für ihre SDZialistische Stadt, die ergreifende Würde, mit der sie ihre Meinungen vortrugen, machte diese Versammlung, die durch ihre Enthüllungen leicht mit einem Mißklang hätte enden können, zu einem äußert positiven Erlebnis, aus dem jeder Anwesende neue Kraft und neuen Glauben für unser Aufbauwerk mit nach Hause nahm.	252:260	0:411	Mißklang
26120215_1958_12_20_01_214.tcf.xml-24-4	Sieht man von diesem Mißklang ab, so können wir feststellen, daß die diesjährigen Verkaufsausstellungen ein erfreuliches Niveau halten und unser Kunstleben bereichern.	21:29	0:167	Mißklang
26120215_1964_07_05_01_083.tcf.xml-10-6	Gleich zu Besuchsbeginn hatte es einen Mißklang gegeben: de Gaulle ließ Erhard längere Zeit warten, um ein Gespräch mit CDU-Chef Adenauer zu beenden.	39:47	0:149	Mißklang
26120215_1966_08_12_01_264.tcf.xml-74-19	Doch sie gaben ihr Bestes, damit das Passierscheinabkommen zwischen der Regierung der DDR und dem Westberliner Senat ohne Mißklang erfüllt wurde.	122:130	0:145	Mißklang
26120215_1975_09_20_01_447.tcf.xml-24-13	Im Unterricht ist Deine Lehrerin Dirigent, der dafür sorgt, daß kein Mißklang aufkommt.	69:77	0:87	Mißklang
26120215_1977_02_24_01_074.tcf.xml-4-11	Das Objektiv versagte und mein Urlaub hätte gewiß mit einem kleinen Mißklang geendet.	68:76	0:85	Mißklang
