instanceID	dataIDs	label_set	non_label
sense0-beseler_volksrecht_1843-601-31	sense0,beseler_volksrecht_1843-601-31	0,1	-
sense1-beseler_volksrecht_1843-601-31	sense1,beseler_volksrecht_1843-601-31	0,1	-
sense2-beseler_volksrecht_1843-601-31	sense2,beseler_volksrecht_1843-601-31	0,1	-
sense0-liszt_voelkerrecht_1898-1989-36	sense0,liszt_voelkerrecht_1898-1989-36	0,1	-
sense1-liszt_voelkerrecht_1898-1989-36	sense1,liszt_voelkerrecht_1898-1989-36	0,1	-
sense2-liszt_voelkerrecht_1898-1989-36	sense2,liszt_voelkerrecht_1898-1989-36	0,1	-
sense0-2532889X_1985-03-09_01_422.tcf.xml-5-4	sense0,2532889X_1985-03-09_01_422.tcf.xml-5-4	0,1	-
sense1-2532889X_1985-03-09_01_422.tcf.xml-5-4	sense1,2532889X_1985-03-09_01_422.tcf.xml-5-4	0,1	-
sense2-2532889X_1985-03-09_01_422.tcf.xml-5-4	sense2,2532889X_1985-03-09_01_422.tcf.xml-5-4	0,1	-
sense0-heckert_schulgesetzgebung_1847-4204-8	sense0,heckert_schulgesetzgebung_1847-4204-8	0,1	-
sense1-heckert_schulgesetzgebung_1847-4204-8	sense1,heckert_schulgesetzgebung_1847-4204-8	0,1	-
sense2-heckert_schulgesetzgebung_1847-4204-8	sense2,heckert_schulgesetzgebung_1847-4204-8	0,1	-
sense0-2532889X_1983-08-06_01_467.tcf.xml-49-16	sense0,2532889X_1983-08-06_01_467.tcf.xml-49-16	0,1	-
sense1-2532889X_1983-08-06_01_467.tcf.xml-49-16	sense1,2532889X_1983-08-06_01_467.tcf.xml-49-16	0,1	-
sense2-2532889X_1983-08-06_01_467.tcf.xml-49-16	sense2,2532889X_1983-08-06_01_467.tcf.xml-49-16	0,1	-
sense0-schweiger_armenien_1878-2578-27	sense0,schweiger_armenien_1878-2578-27	0,1	-
sense1-schweiger_armenien_1878-2578-27	sense1,schweiger_armenien_1878-2578-27	0,1	-
sense2-schweiger_armenien_1878-2578-27	sense2,schweiger_armenien_1878-2578-27	0,1	-
sense0-26120215_1988_10_08_01_377.tcf.xml-12-1	sense0,26120215_1988_10_08_01_377.tcf.xml-12-1	0,1	-
sense1-26120215_1988_10_08_01_377.tcf.xml-12-1	sense1,26120215_1988_10_08_01_377.tcf.xml-12-1	0,1	-
sense2-26120215_1988_10_08_01_377.tcf.xml-12-1	sense2,26120215_1988_10_08_01_377.tcf.xml-12-1	0,1	-
sense0-2532889X_1984-09-04_01_046.tcf.xml-13-32	sense0,2532889X_1984-09-04_01_046.tcf.xml-13-32	0,1	-
sense1-2532889X_1984-09-04_01_046.tcf.xml-13-32	sense1,2532889X_1984-09-04_01_046.tcf.xml-13-32	0,1	-
sense2-2532889X_1984-09-04_01_046.tcf.xml-13-32	sense2,2532889X_1984-09-04_01_046.tcf.xml-13-32	0,1	-
sense0-jhering_recht01_1852-3084-9	sense0,jhering_recht01_1852-3084-9	0,1	-
sense1-jhering_recht01_1852-3084-9	sense1,jhering_recht01_1852-3084-9	0,1	-
sense2-jhering_recht01_1852-3084-9	sense2,jhering_recht01_1852-3084-9	0,1	-
sense0-savigny_system01_1840-427-21	sense0,savigny_system01_1840-427-21	0,1	-
sense1-savigny_system01_1840-427-21	sense1,savigny_system01_1840-427-21	0,1	-
sense2-savigny_system01_1840-427-21	sense2,savigny_system01_1840-427-21	0,1	-
sense0-26120215_1982_02_23_01_330.tcf.xml-47-9	sense0,26120215_1982_02_23_01_330.tcf.xml-47-9	0,1	-
sense1-26120215_1982_02_23_01_330.tcf.xml-47-9	sense1,26120215_1982_02_23_01_330.tcf.xml-47-9	0,1	-
sense2-26120215_1982_02_23_01_330.tcf.xml-47-9	sense2,26120215_1982_02_23_01_330.tcf.xml-47-9	0,1	-
sense0-2532889X_1990-07-07_01_209.tcf.xml-60-6	sense0,2532889X_1990-07-07_01_209.tcf.xml-60-6	0,1	-
sense1-2532889X_1990-07-07_01_209.tcf.xml-60-6	sense1,2532889X_1990-07-07_01_209.tcf.xml-60-6	0,1	-
sense2-2532889X_1990-07-07_01_209.tcf.xml-60-6	sense2,2532889X_1990-07-07_01_209.tcf.xml-60-6	0,1	-
sense0-2532889X_1988-03-12_01_050.tcf.xml-51-48	sense0,2532889X_1988-03-12_01_050.tcf.xml-51-48	0,1	-
sense1-2532889X_1988-03-12_01_050.tcf.xml-51-48	sense1,2532889X_1988-03-12_01_050.tcf.xml-51-48	0,1	-
sense2-2532889X_1988-03-12_01_050.tcf.xml-51-48	sense2,2532889X_1988-03-12_01_050.tcf.xml-51-48	0,1	-
sense0-stein_verwaltungslehre02_1866-2728-59	sense0,stein_verwaltungslehre02_1866-2728-59	0,1	-
sense1-stein_verwaltungslehre02_1866-2728-59	sense1,stein_verwaltungslehre02_1866-2728-59	0,1	-
sense2-stein_verwaltungslehre02_1866-2728-59	sense2,stein_verwaltungslehre02_1866-2728-59	0,1	-
sense0-26120215_1969_06_24_01_119.tcf.xml-16-3	sense0,26120215_1969_06_24_01_119.tcf.xml-16-3	0,1	-
sense1-26120215_1969_06_24_01_119.tcf.xml-16-3	sense1,26120215_1969_06_24_01_119.tcf.xml-16-3	0,1	-
sense2-26120215_1969_06_24_01_119.tcf.xml-16-3	sense2,26120215_1969_06_24_01_119.tcf.xml-16-3	0,1	-
sense0-beseler_volksrecht_1843-696-16	sense0,beseler_volksrecht_1843-696-16	0,1	-
sense1-beseler_volksrecht_1843-696-16	sense1,beseler_volksrecht_1843-696-16	0,1	-
sense2-beseler_volksrecht_1843-696-16	sense2,beseler_volksrecht_1843-696-16	0,1	-
sense0-huber_verkehr_1893-1724-15	sense0,huber_verkehr_1893-1724-15	0,1	-
sense1-huber_verkehr_1893-1724-15	sense1,huber_verkehr_1893-1724-15	0,1	-
sense2-huber_verkehr_1893-1724-15	sense2,huber_verkehr_1893-1724-15	0,1	-
sense0-2532889X_1971-12-02_01_032.tcf.xml-3-36	sense0,2532889X_1971-12-02_01_032.tcf.xml-3-36	0,1	-
sense1-2532889X_1971-12-02_01_032.tcf.xml-3-36	sense1,2532889X_1971-12-02_01_032.tcf.xml-3-36	0,1	-
sense2-2532889X_1971-12-02_01_032.tcf.xml-3-36	sense2,2532889X_1971-12-02_01_032.tcf.xml-3-36	0,1	-
sense0-2532889X_1988-01-30_01_365.tcf.xml-550-43	sense0,2532889X_1988-01-30_01_365.tcf.xml-550-43	0,1	-
sense1-2532889X_1988-01-30_01_365.tcf.xml-550-43	sense1,2532889X_1988-01-30_01_365.tcf.xml-550-43	0,1	-
sense2-2532889X_1988-01-30_01_365.tcf.xml-550-43	sense2,2532889X_1988-01-30_01_365.tcf.xml-550-43	0,1	-
sense0-beseler_volksrecht_1843-481-11	sense0,beseler_volksrecht_1843-481-11	0,1	-
sense1-beseler_volksrecht_1843-481-11	sense1,beseler_volksrecht_1843-481-11	0,1	-
sense2-beseler_volksrecht_1843-481-11	sense2,beseler_volksrecht_1843-481-11	0,1	-
sense0-2532889X_1985-06-12_01_068.tcf.xml-2-4	sense0,2532889X_1985-06-12_01_068.tcf.xml-2-4	0,1	-
sense1-2532889X_1985-06-12_01_068.tcf.xml-2-4	sense1,2532889X_1985-06-12_01_068.tcf.xml-2-4	0,1	-
sense2-2532889X_1985-06-12_01_068.tcf.xml-2-4	sense2,2532889X_1985-06-12_01_068.tcf.xml-2-4	0,1	-
sense0-26120215_1971_08_04_02_019.tcf.xml-39-2	sense0,26120215_1971_08_04_02_019.tcf.xml-39-2	0,1	-
