instanceID	dataIDs	label_set	non_label
sense0-2532889X_1948-03-25_01_064.tcf.xml-33-25	sense0,2532889X_1948-03-25_01_064.tcf.xml-33-25	0,1	-
sense1-2532889X_1948-03-25_01_064.tcf.xml-33-25	sense1,2532889X_1948-03-25_01_064.tcf.xml-33-25	0,1	-
sense2-2532889X_1948-03-25_01_064.tcf.xml-33-25	sense2,2532889X_1948-03-25_01_064.tcf.xml-33-25	0,1	-
sense3-2532889X_1948-03-25_01_064.tcf.xml-33-25	sense3,2532889X_1948-03-25_01_064.tcf.xml-33-25	0,1	-
sense4-2532889X_1948-03-25_01_064.tcf.xml-33-25	sense4,2532889X_1948-03-25_01_064.tcf.xml-33-25	0,1	-
sense5-2532889X_1948-03-25_01_064.tcf.xml-33-25	sense5,2532889X_1948-03-25_01_064.tcf.xml-33-25	0,1	-
sense6-2532889X_1948-03-25_01_064.tcf.xml-33-25	sense6,2532889X_1948-03-25_01_064.tcf.xml-33-25	0,1	-
sense7-2532889X_1948-03-25_01_064.tcf.xml-33-25	sense7,2532889X_1948-03-25_01_064.tcf.xml-33-25	0,1	-
sense0-vogt_briefe02_1851-5243-10	sense0,vogt_briefe02_1851-5243-10	0,1	-
sense1-vogt_briefe02_1851-5243-10	sense1,vogt_briefe02_1851-5243-10	0,1	-
sense2-vogt_briefe02_1851-5243-10	sense2,vogt_briefe02_1851-5243-10	0,1	-
sense3-vogt_briefe02_1851-5243-10	sense3,vogt_briefe02_1851-5243-10	0,1	-
sense4-vogt_briefe02_1851-5243-10	sense4,vogt_briefe02_1851-5243-10	0,1	-
sense5-vogt_briefe02_1851-5243-10	sense5,vogt_briefe02_1851-5243-10	0,1	-
sense6-vogt_briefe02_1851-5243-10	sense6,vogt_briefe02_1851-5243-10	0,1	-
sense7-vogt_briefe02_1851-5243-10	sense7,vogt_briefe02_1851-5243-10	0,1	-
sense0-26120215_1965_01_28_01_054.tcf.xml-9-13	sense0,26120215_1965_01_28_01_054.tcf.xml-9-13	0,1	-
sense1-26120215_1965_01_28_01_054.tcf.xml-9-13	sense1,26120215_1965_01_28_01_054.tcf.xml-9-13	0,1	-
sense2-26120215_1965_01_28_01_054.tcf.xml-9-13	sense2,26120215_1965_01_28_01_054.tcf.xml-9-13	0,1	-
sense3-26120215_1965_01_28_01_054.tcf.xml-9-13	sense3,26120215_1965_01_28_01_054.tcf.xml-9-13	0,1	-
sense4-26120215_1965_01_28_01_054.tcf.xml-9-13	sense4,26120215_1965_01_28_01_054.tcf.xml-9-13	0,1	-
sense5-26120215_1965_01_28_01_054.tcf.xml-9-13	sense5,26120215_1965_01_28_01_054.tcf.xml-9-13	0,1	-
sense6-26120215_1965_01_28_01_054.tcf.xml-9-13	sense6,26120215_1965_01_28_01_054.tcf.xml-9-13	0,1	-
sense7-26120215_1965_01_28_01_054.tcf.xml-9-13	sense7,26120215_1965_01_28_01_054.tcf.xml-9-13	0,1	-
sense0-vogt_briefe02_1851-3388-33	sense0,vogt_briefe02_1851-3388-33	0,1	-
sense1-vogt_briefe02_1851-3388-33	sense1,vogt_briefe02_1851-3388-33	0,1	-
sense2-vogt_briefe02_1851-3388-33	sense2,vogt_briefe02_1851-3388-33	0,1	-
sense3-vogt_briefe02_1851-3388-33	sense3,vogt_briefe02_1851-3388-33	0,1	-
sense4-vogt_briefe02_1851-3388-33	sense4,vogt_briefe02_1851-3388-33	0,1	-
sense5-vogt_briefe02_1851-3388-33	sense5,vogt_briefe02_1851-3388-33	0,1	-
sense6-vogt_briefe02_1851-3388-33	sense6,vogt_briefe02_1851-3388-33	0,1	-
sense7-vogt_briefe02_1851-3388-33	sense7,vogt_briefe02_1851-3388-33	0,1	-
sense0-nn_maehrisches42_1886-36-23	sense0,nn_maehrisches42_1886-36-23	0,1	-
sense1-nn_maehrisches42_1886-36-23	sense1,nn_maehrisches42_1886-36-23	0,1	-
sense2-nn_maehrisches42_1886-36-23	sense2,nn_maehrisches42_1886-36-23	0,1	-
sense3-nn_maehrisches42_1886-36-23	sense3,nn_maehrisches42_1886-36-23	0,1	-
sense4-nn_maehrisches42_1886-36-23	sense4,nn_maehrisches42_1886-36-23	0,1	-
sense5-nn_maehrisches42_1886-36-23	sense5,nn_maehrisches42_1886-36-23	0,1	-
sense6-nn_maehrisches42_1886-36-23	sense6,nn_maehrisches42_1886-36-23	0,1	-
sense7-nn_maehrisches42_1886-36-23	sense7,nn_maehrisches42_1886-36-23	0,1	-
sense0-gerstner_mechanik01_1831-10633-26	sense0,gerstner_mechanik01_1831-10633-26	0,1	-
sense1-gerstner_mechanik01_1831-10633-26	sense1,gerstner_mechanik01_1831-10633-26	0,1	-
sense2-gerstner_mechanik01_1831-10633-26	sense2,gerstner_mechanik01_1831-10633-26	0,1	-
sense3-gerstner_mechanik01_1831-10633-26	sense3,gerstner_mechanik01_1831-10633-26	0,1	-
sense4-gerstner_mechanik01_1831-10633-26	sense4,gerstner_mechanik01_1831-10633-26	0,1	-
sense5-gerstner_mechanik01_1831-10633-26	sense5,gerstner_mechanik01_1831-10633-26	0,1	-
sense6-gerstner_mechanik01_1831-10633-26	sense6,gerstner_mechanik01_1831-10633-26	0,1	-
sense7-gerstner_mechanik01_1831-10633-26	sense7,gerstner_mechanik01_1831-10633-26	0,1	-
sense0-nn_nrhz046_1848-619-7	sense0,nn_nrhz046_1848-619-7	0,1	-
sense1-nn_nrhz046_1848-619-7	sense1,nn_nrhz046_1848-619-7	0,1	-
sense2-nn_nrhz046_1848-619-7	sense2,nn_nrhz046_1848-619-7	0,1	-
sense3-nn_nrhz046_1848-619-7	sense3,nn_nrhz046_1848-619-7	0,1	-
sense4-nn_nrhz046_1848-619-7	sense4,nn_nrhz046_1848-619-7	0,1	-
sense5-nn_nrhz046_1848-619-7	sense5,nn_nrhz046_1848-619-7	0,1	-
sense6-nn_nrhz046_1848-619-7	sense6,nn_nrhz046_1848-619-7	0,1	-
sense7-nn_nrhz046_1848-619-7	sense7,nn_nrhz046_1848-619-7	0,1	-
sense0-parthey_jugenderinnerungen01_1871-367-12	sense0,parthey_jugenderinnerungen01_1871-367-12	0,1	-
sense1-parthey_jugenderinnerungen01_1871-367-12	sense1,parthey_jugenderinnerungen01_1871-367-12	0,1	-
sense2-parthey_jugenderinnerungen01_1871-367-12	sense2,parthey_jugenderinnerungen01_1871-367-12	0,1	-
sense3-parthey_jugenderinnerungen01_1871-367-12	sense3,parthey_jugenderinnerungen01_1871-367-12	0,1	-
sense4-parthey_jugenderinnerungen01_1871-367-12	sense4,parthey_jugenderinnerungen01_1871-367-12	0,1	-
sense5-parthey_jugenderinnerungen01_1871-367-12	sense5,parthey_jugenderinnerungen01_1871-367-12	0,1	-
sense6-parthey_jugenderinnerungen01_1871-367-12	sense6,parthey_jugenderinnerungen01_1871-367-12	0,1	-
