instanceID	dataIDs	label_set	non_label
sense0-heckert_schulgesetzgebung_1847-3371-18	sense0,heckert_schulgesetzgebung_1847-3371-18	0,1	-
sense1-heckert_schulgesetzgebung_1847-3371-18	sense1,heckert_schulgesetzgebung_1847-3371-18	0,1	-
sense2-heckert_schulgesetzgebung_1847-3371-18	sense2,heckert_schulgesetzgebung_1847-3371-18	0,1	-
sense3-heckert_schulgesetzgebung_1847-3371-18	sense3,heckert_schulgesetzgebung_1847-3371-18	0,1	-
sense4-heckert_schulgesetzgebung_1847-3371-18	sense4,heckert_schulgesetzgebung_1847-3371-18	0,1	-
sense0-2532889X_1951-01-04_01_069.tcf.xml-11-1	sense0,2532889X_1951-01-04_01_069.tcf.xml-11-1	0,1	-
sense1-2532889X_1951-01-04_01_069.tcf.xml-11-1	sense1,2532889X_1951-01-04_01_069.tcf.xml-11-1	0,1	-
sense2-2532889X_1951-01-04_01_069.tcf.xml-11-1	sense2,2532889X_1951-01-04_01_069.tcf.xml-11-1	0,1	-
sense3-2532889X_1951-01-04_01_069.tcf.xml-11-1	sense3,2532889X_1951-01-04_01_069.tcf.xml-11-1	0,1	-
sense4-2532889X_1951-01-04_01_069.tcf.xml-11-1	sense4,2532889X_1951-01-04_01_069.tcf.xml-11-1	0,1	-
sense0-2532889X_1955-03-13_01_096.tcf.xml-5-6	sense0,2532889X_1955-03-13_01_096.tcf.xml-5-6	0,1	-
sense1-2532889X_1955-03-13_01_096.tcf.xml-5-6	sense1,2532889X_1955-03-13_01_096.tcf.xml-5-6	0,1	-
sense2-2532889X_1955-03-13_01_096.tcf.xml-5-6	sense2,2532889X_1955-03-13_01_096.tcf.xml-5-6	0,1	-
sense3-2532889X_1955-03-13_01_096.tcf.xml-5-6	sense3,2532889X_1955-03-13_01_096.tcf.xml-5-6	0,1	-
sense4-2532889X_1955-03-13_01_096.tcf.xml-5-6	sense4,2532889X_1955-03-13_01_096.tcf.xml-5-6	0,1	-
sense0-ranke_reformation02_1839-5126-38	sense0,ranke_reformation02_1839-5126-38	0,1	-
sense1-ranke_reformation02_1839-5126-38	sense1,ranke_reformation02_1839-5126-38	0,1	-
sense2-ranke_reformation02_1839-5126-38	sense2,ranke_reformation02_1839-5126-38	0,1	-
sense3-ranke_reformation02_1839-5126-38	sense3,ranke_reformation02_1839-5126-38	0,1	-
sense4-ranke_reformation02_1839-5126-38	sense4,ranke_reformation02_1839-5126-38	0,1	-
sense0-2532889X_1987-05-25_01_114.tcf.xml-2-37	sense0,2532889X_1987-05-25_01_114.tcf.xml-2-37	0,1	-
sense1-2532889X_1987-05-25_01_114.tcf.xml-2-37	sense1,2532889X_1987-05-25_01_114.tcf.xml-2-37	0,1	-
sense2-2532889X_1987-05-25_01_114.tcf.xml-2-37	sense2,2532889X_1987-05-25_01_114.tcf.xml-2-37	0,1	-
sense3-2532889X_1987-05-25_01_114.tcf.xml-2-37	sense3,2532889X_1987-05-25_01_114.tcf.xml-2-37	0,1	-
sense4-2532889X_1987-05-25_01_114.tcf.xml-2-37	sense4,2532889X_1987-05-25_01_114.tcf.xml-2-37	0,1	-
