instanceID	label	comment	annotator
sense0,heckert_schulgesetzgebung_1847-3371-18	0	-	annotatorA
sense1,heckert_schulgesetzgebung_1847-3371-18	1	-	annotatorA
sense2,heckert_schulgesetzgebung_1847-3371-18	0	-	annotatorA
sense3,heckert_schulgesetzgebung_1847-3371-18	0	-	annotatorA
sense4,heckert_schulgesetzgebung_1847-3371-18	0	-	annotatorA
sense0,2532889X_1951-01-04_01_069.tcf.xml-11-1	0	-	annotatorA
sense1,2532889X_1951-01-04_01_069.tcf.xml-11-1	0	-	annotatorA
sense2,2532889X_1951-01-04_01_069.tcf.xml-11-1	0	-	annotatorA
sense3,2532889X_1951-01-04_01_069.tcf.xml-11-1	0	-	annotatorA
sense4,2532889X_1951-01-04_01_069.tcf.xml-11-1	1	-	annotatorA
sense0,2532889X_1955-03-13_01_096.tcf.xml-5-6	0	-	annotatorA
sense1,2532889X_1955-03-13_01_096.tcf.xml-5-6	0	-	annotatorA
sense2,2532889X_1955-03-13_01_096.tcf.xml-5-6	0	-	annotatorA
sense3,2532889X_1955-03-13_01_096.tcf.xml-5-6	0	-	annotatorA
sense4,2532889X_1955-03-13_01_096.tcf.xml-5-6	1	-	annotatorA
sense0,ranke_reformation02_1839-5126-38	0	-	annotatorA
sense1,ranke_reformation02_1839-5126-38	0	-	annotatorA
sense2,ranke_reformation02_1839-5126-38	0	-	annotatorA
sense3,ranke_reformation02_1839-5126-38	1	-	annotatorA
sense4,ranke_reformation02_1839-5126-38	0	-	annotatorA
sense0,2532889X_1987-05-25_01_114.tcf.xml-2-37	0	-	annotatorA
sense1,2532889X_1987-05-25_01_114.tcf.xml-2-37	0	-	annotatorA
sense2,2532889X_1987-05-25_01_114.tcf.xml-2-37	0	-	annotatorA
sense3,2532889X_1987-05-25_01_114.tcf.xml-2-37	0	-	annotatorA
sense4,2532889X_1987-05-25_01_114.tcf.xml-2-37	1	-	annotatorA
sense0,hoffmann_elixiere01_1815-167-9	0	-	annotatorA
sense1,hoffmann_elixiere01_1815-167-9	1	-	annotatorA
sense2,hoffmann_elixiere01_1815-167-9	0	-	annotatorA
sense3,hoffmann_elixiere01_1815-167-9	0	-	annotatorA
sense4,hoffmann_elixiere01_1815-167-9	0	-	annotatorA
sense0,heckert_schulgesetzgebung_1847-1444-90	0	-	annotatorA
sense1,heckert_schulgesetzgebung_1847-1444-90	0	-	annotatorA
sense2,heckert_schulgesetzgebung_1847-1444-90	0	-	annotatorA
sense3,heckert_schulgesetzgebung_1847-1444-90	1	-	annotatorA
sense4,heckert_schulgesetzgebung_1847-1444-90	0	-	annotatorA
sense0,schmoller_volkswirtschaftslehre_1893-392-8	0	-	annotatorA
sense1,schmoller_volkswirtschaftslehre_1893-392-8	0	-	annotatorA
sense2,schmoller_volkswirtschaftslehre_1893-392-8	0	-	annotatorA
sense3,schmoller_volkswirtschaftslehre_1893-392-8	1	-	annotatorA
sense4,schmoller_volkswirtschaftslehre_1893-392-8	0	-	annotatorA
sense0,2532889X_1952-09-25_01_058.tcf.xml-13-16	0	-	annotatorA
sense1,2532889X_1952-09-25_01_058.tcf.xml-13-16	0	-	annotatorA
sense2,2532889X_1952-09-25_01_058.tcf.xml-13-16	0	-	annotatorA
sense3,2532889X_1952-09-25_01_058.tcf.xml-13-16	0	-	annotatorA
