dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1951-01-04_01_069.tcf.xml-11-1	Diese Seminare, ehe z. B. durch die Kreisleitung einberufen werden / behandeln em bestimmtes ¦ wichtiges politisches, ¦ wirtschaftliches oder kulturelles Problem, woLei das Studium der Parteiarbeit in den betreffenden Betrieben einen breiten Raum einnehmen muß.	6:14	0:261	Seminar
2532889X_1951-09-04_01_030.tcf.xml-11-12	In Oschersleben hat sich die Nationale Front die Aufgabe gestellt, durch Seminare in den MAS und volkseigenen Gütern die Werktätigen mit dem Inhalt des Weißbuches bekannt zu machen.	73:81	0:181	Seminar
2532889X_1952-09-25_01_058.tcf.xml-13-16	Die mängelhafte Beitragskassierung macht eine generelle Kontrolle der Parteidokumente notwendig, die in Verbindung mit einem Seminar über die Bedeutung des Parteidokuments auf der Grundlage des Statuts durchgeführt werden muß.	125:132	0:226	Seminar
2532889X_1953-02-28_01_133.tcf.xml-2-19	Beginn des Lehrganges im Parteikabinett der Bezirksleitung am Montag, dem 2. März 1953. 8 Uhr. im Seminar 9, Eingang Franzosische Straße 35/39.	98:105	0:143	Seminar
2532889X_1953-04-22_01_083.tcf.xml-9-3	17.30 Uhr: Seminar für Agitationsleiter und Agitationsgruppenleiter im Parteihaus, großer Saal.	11:18	0:95	Seminar
2532889X_1955-03-13_01_096.tcf.xml-5-6	Die Teilnehmer die jetzt an dem Seminar für Politökonomie teilnehmen, sind ebenfalls verpflichtet, daran teilzunehmen.	32:39	0:118	Seminar
2532889X_1971-11-20_01_261.tcf.xml-99-1	Das Seminar war ein großer Erfahrungsaustausch und bereicherte den gemeinsamen Erkenntnissehatz der Partei.	4:11	0:107	Seminar
2532889X_1972-07-22_01_176.tcf.xml-4-11	In den Samarkander Instituten wurden wiederholt von der UNO organisierte internationale Seminare über Karakulzucht durchgeführt Wissenschaftler aus Polen, Jugoslawien, Marokko, Afghanistan,. Pakistan, Indien, Äthiopien, Kenia, Iran, der Türkei und anderen Ländern studierten die von den Mitarbeitern des Institutes ausgearbeiteten Methoden der Aufzucht der Tiere und die Prinzipien ihrer Klassifizierung	88:96	0:403	Seminar
2532889X_1976-01-16_01_029.tcf.xml-3-2	An dem Seminar nahmen mehr als 60 kirchliche Amtsträger und engagierte Laien teil, darunter Vertreter des Bundes der Evangelischen Kirchen in der DDR.	7:14	0:150	Seminar
2532889X_1976-05-29_01_117.tcf.xml-9-4	In dem auf dem Seminar angenommenen Aktionsprogramm wird es als dringend notwendig hervorgehoben, wirksame Aktionen der UNO, der Bewegung nichtpaktgebundener Staaten, der Arabischen Liga und aller fortschrittlichen Bewegungen für Freiheit und Menschenwürde der Völker im Süden Afrikas in die Wege zu leiten.	15:22	0:307	Seminar
2532889X_1978-05-18_01_012.tcf.xml-5-5	An den 16 Vorträgen und Seminaren die in jedem Veranstaltungsort durchgeführt wurden, beteiligten sich mehr als 900 USA-Vertreter der Industrie, des Handels, von Banken und der Wissenschaft.	24:33	0:190	Seminar
2532889X_1980-07-19_01_504.tcf.xml-4-28	139 Teilnehmer, darunter 19 Gäste aus der UdSSR, aus Polen, Ungarn, Kuba, Belgien und Zypern, hatten sich an den sieben Kursen des Seminars beteiligt.	131:139	0:150	Seminar
2532889X_1980-08-12_01_171.tcf.xml-11-9	Die Kongresse des WGB, seine internationalen Konferenzen und Seminare stehen allen Gewerkschaften offen, auch wenn sie ihm nicht angehören.	61:69	0:139	Seminar
2532889X_1981-01-03_01_474.tcf.xml-9-16	Beim Studium aber wird nicht nur gefordert, den Vorlesungsstoff aktiv aufzunehmen, ihn in den Seminaren anzuwenden und zu vertiefen, sondern vor allem im Selbststudium sein Wissen zu erweitern.	94:103	0:193	Seminar
2532889X_1983-06-22_01_205.tcf.xml-12-9	Am Nachmittag des ersten Konferenztages trafen die Teilnehmer in Seminaren zusammen.	65:74	0:84	Seminar
2532889X_1983-10-04_01_119.tcf.xml-3-16	Zyklus: Probleme der Mllitär-Dolitik der SED und der sozialistischen Wehrerziehung Die nächste Veranstaltung (Seminar) findet am Mittwoch, dem 5. Oktober, um 16 Uhr in der Bildungsstätte der SED-Bezirksleitung, Französische Straße 35, statt.	110:117	0:241	Seminar
2532889X_1987-05-25_01_114.tcf.xml-2-37	Den Ausbau der Zusammenarbeit zwischen dem Weltbund der Demokratischen Jugend (WBDJ) und der Internationalen Union der Sozialistischen Jugend (IUSY) im Kampf für Frieden und sozialen Fortschritt vereinbarten führende Vertreter beider Organisationen auf einem Seminar in Prag.	259:266	0:275	Seminar
2532889X_1988-05-17_01_150.tcf.xml-3-30	Seminar zur Entstehung und Entwicklung der DDR unter der Führung der SED am Dienstag-, dem 17. Mai 1988, von 14.30 bis 17.30 Uhr; für die Zirkelkategorie — Seminar zur politischen Ökonomie des Sozialismus und der ökonomischen Strategie der SED am Mittwoch, dem 18. Mai 1983, von 14.30 bis 17.30 Uhr statt.	156:163	0:305	Seminar
2532889X_1988-10-29_01_008.tcf.xml-3-2	Das Zentrale Seminar der Kreisschulräte der DDR, mit dem eine entscheidende Etappe der Vorbereitung auf den IX.	13:20	0:111	Seminar
26120215_1960_11_20_01_291.tcf.xml-19-6	Immer wieder fragten die Teilnehmer des Seminars nach Einzelheiten der Lage in Deutschland, um in ihrer Heimat darüber berichten zu können.	40:48	0:139	Seminar
26120215_1971_09_15_01_275.tcf.xml-22-3	Ein internationales Russischlehrer-Seminar auf der italienischen Insel Ponza ging vorige Woche zu Ende.	35:42	0:103	Seminar
26120215_1972_10_11_01_295.tcf.xml-20-11	"Joachim Pohl, Kontrollbeauftranter im VEB Fleischkombinat Berlin, Propagandist im Seminar „Studium der politischen Ökonomie des Sozialismus"";"	82:89	0:141	Seminar
26120215_1976_07_22_01_251.tcf.xml-5-3	An Schulen, Seminaren und Hochschulen meidet man wieder politische Themen, die Bereitschaft zum politischen und gewerkschaftlichen Engagement bei der Jugend geht wieder zurück, totale Anpassung auf der Bandbreite des Regierungsdenkens ist wieder Trumpf.	12:21	0:253	Seminar
26120215_1980_07_11_01_040.tcf.xml-48-9	Partnerschaft wird aber auch gebildet durch die Tätigkeit im Seminar, in der Arbeit auf der Station, durch das Bekenntnis des Hochschullehrers zu seinem politisch-erzieherischen Auftrag.	61:68	0:186	Seminar
26120215_1986_06_03_01_240.tcf.xml-10-2	"In einem Seminar mit der nationalen Leitung der „Christlichen Arbeitervereinigung Italiens"" wurden spezifische Aspekte des Wirkens der katholischen Kirche für Frieden und soziale Gerechtigkeit diskutiert."	9:16	0:204	Seminar
buechner_werke_1879-503-41	"Der letztere war übrigens nicht blos der ältere, sondern auch der weitaus berühmtere von beiden, der"" Stolz des gelehrten Elsaß"", welcher damals bereits seit vier Jahrzehnten, zuerst an der deutschen Hochschule, dann am"" Séminare protestant"", wo er"" Fundamenta Anthropologiae"" vortrug, endlich seit Gründung der Académie an dieser als Forscher und als Lehrer gleich erfolgreich wirkte."	221:229	0:385	Seminar
heckert_schulgesetzgebung_1847-1419-17	3. Es soll zwar den Zöglingen frei stehen, Stellen, welche ihnen von dem Director des Seminars in Folge der Aufträge, die ihm wegen Besetzung von der Königl. Regierung gegeben worden, oder in Folge eines Gesuches von Patronen und Schulinspectoren um Nachweisung eines Schullehrers angeboten werden, auszuschlagen; wenn aber die Königl. Regierung diese Ablehnung nicht gelten läßt, sondern den Zögling für eine bestimmte Stelle Königl. oder Privatpatronats angestellt wissen will, so muß derselbe sich dieser Verfügung entweder unterwerfen, oder die im Vorstehenden bestimmte Zurückzahlung leisten.	86:94	0:597	Seminar
heckert_schulgesetzgebung_1847-1444-33	Damit aber auch auf die bereits angestellten Schullehrer, welche entweder überall der Nachhülfe bedürfen, oder in ihrer Bildung und Amtsgeschicklichkeit nicht fortschreiten, vielleicht gar zurückgehen, der wohlthätige Einfluß des Seminars sich verbreite, sollen dergleichen Lehrer auf längere oder kürzere Zeit, je nachdem es ihnen Noth thut, in das Hauptseminar zurückgerufen werden, um entweder einen ganzen methodologischen Cursus durchzumachen, oder sich in einzelnen Lehrfächern nachzuüben, oder auch in ein gewisses Disciplinarverhältniß genommen zu werden, indem sie bei der Uebungsschule des Seminars beschäftigt sind.	230:238	0:626	Seminar
heckert_schulgesetzgebung_1847-1444-90	Damit aber auch auf die bereits angestellten Schullehrer, welche entweder überall der Nachhülfe bedürfen, oder in ihrer Bildung und Amtsgeschicklichkeit nicht fortschreiten, vielleicht gar zurückgehen, der wohlthätige Einfluß des Seminars sich verbreite, sollen dergleichen Lehrer auf längere oder kürzere Zeit, je nachdem es ihnen Noth thut, in das Hauptseminar zurückgerufen werden, um entweder einen ganzen methodologischen Cursus durchzumachen, oder sich in einzelnen Lehrfächern nachzuüben, oder auch in ein gewisses Disciplinarverhältniß genommen zu werden, indem sie bei der Uebungsschule des Seminars beschäftigt sind.	600:608	0:626	Seminar
