instanceID	label	comment	annotator
sense0,kraus_professorenroman_1884-200-7	1	-	annotatorA
sense1,kraus_professorenroman_1884-200-7	0	-	annotatorA
sense2,kraus_professorenroman_1884-200-7	0	-	annotatorA
sense0,nn_nrhz179_1848-278-35	1	-	annotatorA
sense1,nn_nrhz179_1848-278-35	0	-	annotatorA
sense2,nn_nrhz179_1848-278-35	0	-	annotatorA
sense0,2532889X_1990-01-10_01_046.tcf.xml-43-10	1	-	annotatorA
sense1,2532889X_1990-01-10_01_046.tcf.xml-43-10	0	-	annotatorA
sense2,2532889X_1990-01-10_01_046.tcf.xml-43-10	0	-	annotatorA
sense0,grillparzer_diener_1830-1927-29	1	-	annotatorA
sense1,grillparzer_diener_1830-1927-29	0	-	annotatorA
sense2,grillparzer_diener_1830-1927-29	0	-	annotatorA
sense0,26120215_1949_06_23_01_226.tcf.xml-26-30	1	-	annotatorA
sense1,26120215_1949_06_23_01_226.tcf.xml-26-30	0	-	annotatorA
sense2,26120215_1949_06_23_01_226.tcf.xml-26-30	0	-	annotatorA
sense0,berg_ostasien01_1864-641-40	1	-	annotatorA
sense1,berg_ostasien01_1864-641-40	0	-	annotatorA
sense2,berg_ostasien01_1864-641-40	0	-	annotatorA
sense0,26120215_1955_08_02_01_203.tcf.xml-8-15	1	-	annotatorA
sense1,26120215_1955_08_02_01_203.tcf.xml-8-15	0	-	annotatorA
sense2,26120215_1955_08_02_01_203.tcf.xml-8-15	0	-	annotatorA
sense0,26120215_1989_03_27_01_099.tcf.xml-11-9	1	-	annotatorA
sense1,26120215_1989_03_27_01_099.tcf.xml-11-9	0	-	annotatorA
sense2,26120215_1989_03_27_01_099.tcf.xml-11-9	0	-	annotatorA
sense0,droysen_alexander_1833-155-51	1	-	annotatorA
sense1,droysen_alexander_1833-155-51	0	-	annotatorA
sense2,droysen_alexander_1833-155-51	0	-	annotatorA
sense0,2532889X_1978-03-02_01_073.tcf.xml-9-6	1	-	annotatorA
sense1,2532889X_1978-03-02_01_073.tcf.xml-9-6	0	-	annotatorA
sense2,2532889X_1978-03-02_01_073.tcf.xml-9-6	0	-	annotatorA
sense0,2532889X_1949-01-28_01_037.tcf.xml-221-14	1	-	annotatorA
sense1,2532889X_1949-01-28_01_037.tcf.xml-221-14	0	-	annotatorA
sense2,2532889X_1949-01-28_01_037.tcf.xml-221-14	0	-	annotatorA
sense0,2532889X_1984-03-28_01_070.tcf.xml-23-20	1	-	annotatorA
sense1,2532889X_1984-03-28_01_070.tcf.xml-23-20	0	-	annotatorA
sense2,2532889X_1984-03-28_01_070.tcf.xml-23-20	0	-	annotatorA
sense0,2532889X_1949-07-10_01_038.tcf.xml-2-8	1	-	annotatorA
sense1,2532889X_1949-07-10_01_038.tcf.xml-2-8	0	-	annotatorA
sense2,2532889X_1949-07-10_01_038.tcf.xml-2-8	0	-	annotatorA
sense0,ebers_koenigstochter02_1864-2714-26	1	-	annotatorA
sense1,ebers_koenigstochter02_1864-2714-26	0	-	annotatorA
sense2,ebers_koenigstochter02_1864-2714-26	0	-	annotatorA
sense0,treitschke_geschichte02_1882-4559-1	1	-	annotatorA
sense1,treitschke_geschichte02_1882-4559-1	0	-	annotatorA
sense2,treitschke_geschichte02_1882-4559-1	0	-	annotatorA
sense0,2532889X_1989-12-04_01_155.tcf.xml-7-14	1	-	annotatorA
sense1,2532889X_1989-12-04_01_155.tcf.xml-7-14	0	-	annotatorA
sense2,2532889X_1989-12-04_01_155.tcf.xml-7-14	0	-	annotatorA
sense0,26120215_1950_03_15_01_007.tcf.xml-18-15	1	-	annotatorA
sense1,26120215_1950_03_15_01_007.tcf.xml-18-15	0	-	annotatorA
sense2,26120215_1950_03_15_01_007.tcf.xml-18-15	0	-	annotatorA
sense0,berg_ostasien01_1864-835-8	1	-	annotatorA
sense1,berg_ostasien01_1864-835-8	0	-	annotatorA
sense2,berg_ostasien01_1864-835-8	0	-	annotatorA
sense0,bluntschli_staatslehre_1875-4510-19	1	-	annotatorA
sense1,bluntschli_staatslehre_1875-4510-19	0	-	annotatorA
sense2,bluntschli_staatslehre_1875-4510-19	0	-	annotatorA
sense0,nn_nrhz138_1848-295-5	1	-	annotatorA
sense1,nn_nrhz138_1848-295-5	0	-	annotatorA
sense2,nn_nrhz138_1848-295-5	0	-	annotatorA
sense0,26120215_1990_08_06_01_330.tcf.xml-15-22	1	-	annotatorA
sense1,26120215_1990_08_06_01_330.tcf.xml-15-22	0	-	annotatorA
sense2,26120215_1990_08_06_01_330.tcf.xml-15-22	0	-	annotatorA
sense0,gutzkow_charaktere_1835-1908-7	1	-	annotatorA
sense1,gutzkow_charaktere_1835-1908-7	0	-	annotatorA
sense2,gutzkow_charaktere_1835-1908-7	0	-	annotatorA
sense0,2532889X_1953-12-05_01_046.tcf.xml-26-20	1	-	annotatorA
sense1,2532889X_1953-12-05_01_046.tcf.xml-26-20	0	-	annotatorA
sense2,2532889X_1953-12-05_01_046.tcf.xml-26-20	0	-	annotatorA
sense0,26120215_1957_05_26_02_158.tcf.xml-12-10	1	-	annotatorA
sense1,26120215_1957_05_26_02_158.tcf.xml-12-10	0	-	annotatorA
sense2,26120215_1957_05_26_02_158.tcf.xml-12-10	0	-	annotatorA
sense0,26120215_1989_07_21_01_211.tcf.xml-11-42	1	-	annotatorA
