dataID	context	indices_target_token	indices_target_sentence	lemma
2532889X_1949-01-28_01_037.tcf.xml-221-14	Die durch die Sowjetarmee befreiten Völker hörten auf, fremdländischen, reaktionären Kräften als Spielball zu dienen.	97:106	0:117	Spielball
2532889X_1949-07-10_01_038.tcf.xml-2-8	"Der „Parlamentarische. Rat"" sei ein Spielball internationaler Interessen gewesen, da er den Weisungen der Westmächte gefolgt sei, einen westdeutschen Sepa-• ratstaat zu errichten."	36:45	0:179	Spielball
2532889X_1953-12-05_01_046.tcf.xml-26-20	"Die Mitarbeiter des Parteikabinetts lesen Lektionen in den verschiedenen Betriebsabteilungen mit Themen wie „Deutschland — ein souveräner Staat oder Spielball der Imperialisten?"" u. a."	149:158	0:184	Spielball
2532889X_1955-06-26_01_130.tcf.xml-2-20	Der Betrieb, der voi allem chirurgische Artikel herstellt, produziert tür das In-und Ausland auch noch Schwimmtiere, Spielbälle aller Größen.	117:127	0:141	Spielball
2532889X_1957-06-07_01_032.tcf.xml-34-22	"Genosse Kiefert wies darauf hin, etaß sich zum Beispiel in der-Frage Krieg und Frieden noch immer manche Bürger als „Spielball übergeordneter Kräfte"" fühlen."	117:126	0:157	Spielball
2532889X_1957-06-27_01_115.tcf.xml-23-7	Während Bourges-Maunoury von der Rechten als ein Spielball benutzt wird, der jederzeit weggeworfen werden kann, lehnt das Volk den Algerien-Mörder überhaupt ab.	49:58	0:160	Spielball
2532889X_1957-09-26_01_068.tcf.xml-39-11	Dadurch wird es möglich sein, daß der Balkan, einst Spielball imperialistischer Interessen und Pulverfaß Europas, zu einem Hort des Friedens und der Völkerfreundschaft wird.	52:61	0:173	Spielball
2532889X_1968-03-23_01_340.tcf.xml-35-10	So sind unsere Wissenschaftler und alle Lernenden keine ohnmächtigen. Spielbälle der Wissensexplosion, sondern entwickeln sich immer mehr zu leistungsfähigen Beherrschern der modernen Wissenschaft, einer der Hauptproduktivkräfte in unserer Zeit.	70:80	0:245	Spielball
2532889X_1978-03-02_01_073.tcf.xml-9-6	Das Volk Zyperns will aber nicht Spielball aggressiver imperialistischer Kräfte sein.	33:42	0:85	Spielball
2532889X_1984-03-28_01_070.tcf.xml-23-20	Er sonnt sich in der Rolle des Drahtziehers, der er zu sein vermeint, und ist doch nur ein Spielball, wenn auch ein zeitweilig unentbehrlicher.	91:100	0:143	Spielball
2532889X_1989-12-04_01_155.tcf.xml-7-14	Bernd Stange, Jenas Trainer: Brandenburg hat uns in der zweiten Halbzeit zum Spielball gemacht Friti Bohla, Trainer von Energie:	77:86	0:128	Spielball
2532889X_1990-01-10_01_046.tcf.xml-43-10	Die aber dürfen mit unserem Weg nie und nimmer zum Spielball der. reinen Ökonomie ' werden.	51:60	0:91	Spielball
26120215_1949_01_05_01_207.tcf.xml-6-24	Diesen Normalverbraucher, der zu Unrecht mit dem Normalberliner gleichgesetzt werden soll, möchte man den Mann ohne Eigenschaften nennen, weiches Wachs und Spielball der feindlichen Umwelt, gegen die er sich mangels Energie nicht zur Wehr setzt.	156:165	0:245	Spielball
26120215_1949_06_23_01_226.tcf.xml-26-30	Sie warten sehnsüchtig auf die Beendigung der unerträglichen Verkehrskalamität, denken sich ihr Teil und haben nur den einen Wunsch, daß auch die beteiligten Eisenbahner, die sich zum-Spielball fremder Interessen hergaben, die Lehren aus der Affäre ziehen.	184:193	0:256	Spielball
26120215_1950_03_15_01_007.tcf.xml-18-15	Die Dinge komplizieren sich nur dadurch etwas, daß unterdessen der französische Imperialismus selbst zum Spielball und Werkzeug des amerikanischen wurde.	105:114	0:153	Spielball
26120215_1955_08_02_01_203.tcf.xml-8-15	Es sei eine Abaage anf eine Politik, die das Saargebiet weiterhin zum Zankapfel und Spielball imperialistischer Interessen und damit zu einem ständigen Konfliktherd machen.	84:93	0:172	Spielball
26120215_1957_05_26_02_158.tcf.xml-12-10	Ein starkes sozialistisches Lager besteht, dessen Teile » niemals Spielball und Schacher » -Objekt sein werden, weil alle diese Völker eines vereint: die Idee des Sozialismus.	66:75	0:175	Spielball
26120215_1965_10_03_01_025.tcf.xml-12-43	„Uns will nicht in den Sinn, unser gesunder Menschenverstand, unser Gefühl wehrt sich dagegen, daß die menschlichen Anliegen von Millionen den hartherzigen Milliardären geopfert werden, die an den Schalthebeln der Macht in Westdeutschland sitzen und uns Westberliner zum Spielball ihrer Politik machen wollen.	271:280	0:309	Spielball
26120215_1974_02_04_01_151.tcf.xml-25-18	Ihre Erfahrungen haben die Palästinenser gelehrt, daß man politisch aktiv sein muß. wenn man nicht zum Spielball dunkler politischer Kräfte werden will.	103:112	0:152	Spielball
26120215_1974_03_09_01_186.tcf.xml-22-6	Dort angekommen wird er bald zum Spielball übler Gauner aller Schattierungen.	33:42	0:77	Spielball
26120215_1976_02_09_01_162.tcf.xml-11-1	Zum Spielball des Gastgebers wurde Wismut in keiner Phase.	4:13	0:58	Spielball
26120215_1988_11_22_01_078.tcf.xml-14-3	Stets Spieler und Spielball zugleich, Täter und Opfer in einem.	18:27	0:63	Spielball
26120215_1989_03_27_01_099.tcf.xml-11-9	Wer deshalb erneut gleiches Niveau und die Erfurter als Spielball erwartete, lag zwar im allgemeinen Trend, hatte die Rechnung aber ohne die Grobner-Schutzlinge gemacht.	56:65	0:169	Spielball
26120215_1989_07_21_01_211.tcf.xml-11-42	Die natürliche Tochter (die uneheliche also), die in ihrer Liebe zum König und zum Vater, seines Zeichens Herzog, und durch den Haß des um ein Erbteil geprellten Halbbruders zwischen alle Mühlen der Macht gerät, wird zum Spielball. Hin-und hergerissen wird sie von der Feudalgesellschaft nach unten durchgereicht und schließlich vom Kloster in die Gosse fallen.	221:230	0:361	Spielball
26120215_1990_08_06_01_330.tcf.xml-15-22	Gerade aus der Rolle qekrochen, Objekt einer alles für alle besser wissenden Partei zu sein, ist dieses Volk schon wieder Spielball von Interessen.	122:131	0:147	Spielball
alexis_ruhe01_1852-2374-14	Es hat keiner gelebt, als Gott Vater auf den Einfall kam, diesen Spielball Erde zu erschaffen, und in das Uhrwerk Universum zu schleudern, damit er zu Ehre des Höchsten seinen Parademarsch um die Sonne kreist.“	65:74	0:210	Spielball
