instanceID	dataIDs	label_set	non_label
sense0-robert_griechische_1881-1366-6	sense0,robert_griechische_1881-1366-6	0,1	-
sense1-robert_griechische_1881-1366-6	sense1,robert_griechische_1881-1366-6	0,1	-
sense2-robert_griechische_1881-1366-6	sense2,robert_griechische_1881-1366-6	0,1	-
sense3-robert_griechische_1881-1366-6	sense3,robert_griechische_1881-1366-6	0,1	-
sense4-robert_griechische_1881-1366-6	sense4,robert_griechische_1881-1366-6	0,1	-
sense5-robert_griechische_1881-1366-6	sense5,robert_griechische_1881-1366-6	0,1	-
sense6-robert_griechische_1881-1366-6	sense6,robert_griechische_1881-1366-6	0,1	-
sense0-2532889X_1965-06-18_01_187.tcf.xml-46-46	sense0,2532889X_1965-06-18_01_187.tcf.xml-46-46	0,1	-
sense1-2532889X_1965-06-18_01_187.tcf.xml-46-46	sense1,2532889X_1965-06-18_01_187.tcf.xml-46-46	0,1	-
sense2-2532889X_1965-06-18_01_187.tcf.xml-46-46	sense2,2532889X_1965-06-18_01_187.tcf.xml-46-46	0,1	-
sense3-2532889X_1965-06-18_01_187.tcf.xml-46-46	sense3,2532889X_1965-06-18_01_187.tcf.xml-46-46	0,1	-
sense4-2532889X_1965-06-18_01_187.tcf.xml-46-46	sense4,2532889X_1965-06-18_01_187.tcf.xml-46-46	0,1	-
sense5-2532889X_1965-06-18_01_187.tcf.xml-46-46	sense5,2532889X_1965-06-18_01_187.tcf.xml-46-46	0,1	-
sense6-2532889X_1965-06-18_01_187.tcf.xml-46-46	sense6,2532889X_1965-06-18_01_187.tcf.xml-46-46	0,1	-
sense0-egger_vater_1895-1217-31	sense0,egger_vater_1895-1217-31	0,1	-
sense1-egger_vater_1895-1217-31	sense1,egger_vater_1895-1217-31	0,1	-
sense2-egger_vater_1895-1217-31	sense2,egger_vater_1895-1217-31	0,1	-
sense3-egger_vater_1895-1217-31	sense3,egger_vater_1895-1217-31	0,1	-
sense4-egger_vater_1895-1217-31	sense4,egger_vater_1895-1217-31	0,1	-
sense5-egger_vater_1895-1217-31	sense5,egger_vater_1895-1217-31	0,1	-
sense6-egger_vater_1895-1217-31	sense6,egger_vater_1895-1217-31	0,1	-
sense0-nn_maehrisches40_1889-79-2	sense0,nn_maehrisches40_1889-79-2	0,1	-
sense1-nn_maehrisches40_1889-79-2	sense1,nn_maehrisches40_1889-79-2	0,1	-
sense2-nn_maehrisches40_1889-79-2	sense2,nn_maehrisches40_1889-79-2	0,1	-
sense3-nn_maehrisches40_1889-79-2	sense3,nn_maehrisches40_1889-79-2	0,1	-
sense4-nn_maehrisches40_1889-79-2	sense4,nn_maehrisches40_1889-79-2	0,1	-
