instanceID	label	comment	annotator
sense0,robert_griechische_1881-1366-6	-	unklar	annotatorA
sense1,robert_griechische_1881-1366-6	-	unklar	annotatorA
sense2,robert_griechische_1881-1366-6	-	unklar	annotatorA
sense3,robert_griechische_1881-1366-6	-	unklar	annotatorA
sense4,robert_griechische_1881-1366-6	-	unklar	annotatorA
sense5,robert_griechische_1881-1366-6	-	unklar	annotatorA
sense6,robert_griechische_1881-1366-6	-	unklar	annotatorA
sense0,2532889X_1965-06-18_01_187.tcf.xml-46-46	0	-	annotatorA
sense1,2532889X_1965-06-18_01_187.tcf.xml-46-46	0	-	annotatorA
sense2,2532889X_1965-06-18_01_187.tcf.xml-46-46	0	-	annotatorA
sense3,2532889X_1965-06-18_01_187.tcf.xml-46-46	0	-	annotatorA
sense4,2532889X_1965-06-18_01_187.tcf.xml-46-46	1	Dominik: moved this comment from headline: Bin nicht sicher, ob ich den Unterschied zwischen C und G verstanden habe, und F verstehe ich nicht. Und ist G auch Name z.B. eines Films/einer Ausstellung?	annotatorA
sense5,2532889X_1965-06-18_01_187.tcf.xml-46-46	0	-	annotatorA
sense6,2532889X_1965-06-18_01_187.tcf.xml-46-46	0	-	annotatorA
sense0,egger_vater_1895-1217-31	0	-	annotatorA
sense1,egger_vater_1895-1217-31	0	-	annotatorA
sense2,egger_vater_1895-1217-31	0	-	annotatorA
sense3,egger_vater_1895-1217-31	0	-	annotatorA
sense4,egger_vater_1895-1217-31	0	-	annotatorA
sense5,egger_vater_1895-1217-31	1	-	annotatorA
sense6,egger_vater_1895-1217-31	0	-	annotatorA
sense0,nn_maehrisches40_1889-79-2	0	-	annotatorA
sense1,nn_maehrisches40_1889-79-2	0	-	annotatorA
sense2,nn_maehrisches40_1889-79-2	0	-	annotatorA
sense3,nn_maehrisches40_1889-79-2	0	-	annotatorA
sense4,nn_maehrisches40_1889-79-2	1	-	annotatorA
sense5,nn_maehrisches40_1889-79-2	0	-	annotatorA
sense6,nn_maehrisches40_1889-79-2	0	-	annotatorA
sense0,26120215_1969_03_25_01_101.tcf.xml-12-9	0	-	annotatorA
sense1,26120215_1969_03_25_01_101.tcf.xml-12-9	0	-	annotatorA
sense2,26120215_1969_03_25_01_101.tcf.xml-12-9	0	-	annotatorA
sense3,26120215_1969_03_25_01_101.tcf.xml-12-9	0	-	annotatorA
sense4,26120215_1969_03_25_01_101.tcf.xml-12-9	0	-	annotatorA
sense5,26120215_1969_03_25_01_101.tcf.xml-12-9	1	-	annotatorA
sense6,26120215_1969_03_25_01_101.tcf.xml-12-9	0	-	annotatorA
sense0,26120215_1973_09_02_01_116.tcf.xml-26-19	0	-	annotatorA
sense1,26120215_1973_09_02_01_116.tcf.xml-26-19	0	-	annotatorA
sense2,26120215_1973_09_02_01_116.tcf.xml-26-19	0	-	annotatorA
sense3,26120215_1973_09_02_01_116.tcf.xml-26-19	0	-	annotatorA
sense4,26120215_1973_09_02_01_116.tcf.xml-26-19	0	-	annotatorA
sense5,26120215_1973_09_02_01_116.tcf.xml-26-19	1	-	annotatorA
sense6,26120215_1973_09_02_01_116.tcf.xml-26-19	0	-	annotatorA
sense0,savigny_system01_1840-2586-21	0	-	annotatorA
sense1,savigny_system01_1840-2586-21	0	-	annotatorA
sense2,savigny_system01_1840-2586-21	0	-	annotatorA
sense3,savigny_system01_1840-2586-21	0	-	annotatorA
sense4,savigny_system01_1840-2586-21	0	-	annotatorA
sense5,savigny_system01_1840-2586-21	0	-	annotatorA
sense6,savigny_system01_1840-2586-21	1	-	annotatorA
sense0,26120215_1988_04_02_01_393.tcf.xml-1-14	0	-	annotatorA
sense1,26120215_1988_04_02_01_393.tcf.xml-1-14	1	-	annotatorA
sense2,26120215_1988_04_02_01_393.tcf.xml-1-14	0	-	annotatorA
sense3,26120215_1988_04_02_01_393.tcf.xml-1-14	0	-	annotatorA
sense4,26120215_1988_04_02_01_393.tcf.xml-1-14	0	-	annotatorA
sense5,26120215_1988_04_02_01_393.tcf.xml-1-14	0	-	annotatorA
sense6,26120215_1988_04_02_01_393.tcf.xml-1-14	0	-	annotatorA
sense0,kotzebue_kleinstaedter_1803-2568-10	0	-	annotatorA
sense1,kotzebue_kleinstaedter_1803-2568-10	0	-	annotatorA
sense2,kotzebue_kleinstaedter_1803-2568-10	0	-	annotatorA
sense3,kotzebue_kleinstaedter_1803-2568-10	0	-	annotatorA
sense4,kotzebue_kleinstaedter_1803-2568-10	0	-	annotatorA
sense5,kotzebue_kleinstaedter_1803-2568-10	1	-	annotatorA
sense6,kotzebue_kleinstaedter_1803-2568-10	0	-	annotatorA
sense0,nn_nrhz133_1848-528-19	0	-	annotatorA
sense1,nn_nrhz133_1848-528-19	0	-	annotatorA
sense2,nn_nrhz133_1848-528-19	0	-	annotatorA
sense3,nn_nrhz133_1848-528-19	0	-	annotatorA
sense4,nn_nrhz133_1848-528-19	0	-	annotatorA
sense5,nn_nrhz133_1848-528-19	1	-	annotatorA
sense6,nn_nrhz133_1848-528-19	0	-	annotatorA
sense0,2532889X_1961-03-01_01_115.tcf.xml-19-3	0	-	annotatorA
sense1,2532889X_1961-03-01_01_115.tcf.xml-19-3	0	-	annotatorA
sense2,2532889X_1961-03-01_01_115.tcf.xml-19-3	0	-	annotatorA
sense3,2532889X_1961-03-01_01_115.tcf.xml-19-3	0	-	annotatorA
sense4,2532889X_1961-03-01_01_115.tcf.xml-19-3	0	-	annotatorA
sense5,2532889X_1961-03-01_01_115.tcf.xml-19-3	1	-	annotatorA
sense6,2532889X_1961-03-01_01_115.tcf.xml-19-3	0	-	annotatorA
sense0,nn_nrhz117_1848-663-18	0	-	annotatorA
sense1,nn_nrhz117_1848-663-18	0	-	annotatorA
sense2,nn_nrhz117_1848-663-18	0	-	annotatorA
sense3,nn_nrhz117_1848-663-18	0	-	annotatorA
sense4,nn_nrhz117_1848-663-18	0	-	annotatorA
sense5,nn_nrhz117_1848-663-18	1	-	annotatorA
sense6,nn_nrhz117_1848-663-18	0	-	annotatorA
sense0,goethe_divan_1819-1436-40	0	-	annotatorA
sense1,goethe_divan_1819-1436-40	0	-	annotatorA
sense2,goethe_divan_1819-1436-40	0	-	annotatorA
sense3,goethe_divan_1819-1436-40	0	-	annotatorA
sense4,goethe_divan_1819-1436-40	0	-	annotatorA
sense5,goethe_divan_1819-1436-40	1	-	annotatorA
sense6,goethe_divan_1819-1436-40	0	-	annotatorA
sense0,2532889X_1946-08-14_01_082.tcf.xml-41-19	0	-	annotatorA
sense1,2532889X_1946-08-14_01_082.tcf.xml-41-19	0	-	annotatorA
sense2,2532889X_1946-08-14_01_082.tcf.xml-41-19	0	-	annotatorA
sense3,2532889X_1946-08-14_01_082.tcf.xml-41-19	0	-	annotatorA
sense4,2532889X_1946-08-14_01_082.tcf.xml-41-19	1	-	annotatorA
sense5,2532889X_1946-08-14_01_082.tcf.xml-41-19	0	-	annotatorA
sense6,2532889X_1946-08-14_01_082.tcf.xml-41-19	0	-	annotatorA
sense0,2532889X_1985-04-03_01_073.tcf.xml-3-6	0	-	annotatorA
sense1,2532889X_1985-04-03_01_073.tcf.xml-3-6	0	-	annotatorA
sense2,2532889X_1985-04-03_01_073.tcf.xml-3-6	0	-	annotatorA
sense3,2532889X_1985-04-03_01_073.tcf.xml-3-6	0	-	annotatorA
sense4,2532889X_1985-04-03_01_073.tcf.xml-3-6	1	-	annotatorA
sense5,2532889X_1985-04-03_01_073.tcf.xml-3-6	0	-	annotatorA
sense6,2532889X_1985-04-03_01_073.tcf.xml-3-6	0	-	annotatorA
sense0,ranke_reformation01_1839-585-20	0	-	annotatorA
sense1,ranke_reformation01_1839-585-20	0	-	annotatorA
sense2,ranke_reformation01_1839-585-20	0	-	annotatorA
